FRST_LETTER	voicing	vulcan	variety	pos	croftian_crossling_concepts	fse
a	1	Askital 	MGV	n.	OBJ.CONC	military
a	1	Asklotau 	MGV	v.	ACT.CONC	blockade
a	1	Asklotaya 	MGV	n.	OBJ.CONC	blockade
a	1	Asteronau 	MGV	v.	ACT.CONC	attach
a	1	Asteronau-mof 	MGV	n.	OBJ.CONC	clevis pin
a	1	Asteronaya 	MGV	n.	OBJ.CONC	attachment
a	1	Asteronaya-sfek 	MGV	n.	OBJ.CONC	attachment point
a	1	Au 	MGV	pron.	OBJ.CONC	them, they
a	1	Aukh 	MGV	n.	OBJ.CONC	gypsum
a	1	Ausham 	MGV	n.	OBJ.CONC	venom
a	1	Aushfa 	MGV	n.	OBJ.CONC	animal
a	1	Aushfa-kelek 	MGV	n.	OBJ.CONC	barn, stable
a	1	Aushfa-palutunatra 	MGV	n.	OBJ.CONC	animal husbandry
a	1	Aushfa-razh 	MGV	n.	OBJ.CONC	burrow
a	1	Aushfa-wadi-hatik ha-vel 	MGV	n.	OBJ.CONC	epizoon
a	1	Aushfa-tal 	MGV	n.	OBJ.CONC	zoology
a	1	Aushfa-talsu 	MGV	n.	OBJ.CONC	zoologist
a	1	Aushfal'esk 	MGV	n.	OBJ.CONC	beast
a	1	Aushfamaluhr 	MGV	adj.	PROP.CONC	animal(istic), beastly, savage
a	1	Aushfatra 	MGV	n.	OBJ.CONC	fauna
a	1	Aushfebihk-dva 	MGV	n.	OBJ.CONC	totemism (towards an animal)
a	1	Aushkel 	MGV	n.	OBJ.CONC	den, lair
a	1	Avaru	anc.	n.	OBJ.CONC	trouble
a	1	Avaru-satalau 	MGV	v.	ACT.CONC	troubleshoot
a	1	Avaru-satalausu 	MGV	n.	OBJ.CONC	troubleshooter
a	1	Avaru-satalaya 	MGV	n.	OBJ.CONC	troubleshooting
a	1	Avon 	MGV	n.	OBJ.CONC	hunger
a	1	Avon-telik 	MGV	v.	ACT.CONC	hunger
a	1	Awek|-| 	MGV	adj.	PROP.CONC	private
a	1	Awek'es 	MGV	n.	OBJ.CONC	privacy, solitude
a	1	Awek-thro-yut 	MGV	n.	OBJ.CONC	driveway
a	1	Awekat-, Awekatik 	MGV	adj.	PROP.CONC	solitary
a	1	Ayau 	MGV	v.	ACT.CONC	tilt
a	1	Ayau-keh-vla 	MGV	n.	OBJ.CONC	rhombus
a	1	Ayau-thonek 	MGV	n.	OBJ.CONC	tiltmeter
a	1	Ayayik keh-vla 	MGV	n.	OBJ.CONC	rhombohedron
a	1	Ayayik leh-dah-muk 	MGV	n.	OBJ.CONC	rhombododecahedron
a	1	Azehl 	MGV	n.	OBJ.CONC	ray
a	1	Azehl-, Azehlik 	MGV	adj.	PROP.CONC	radial
b	1	Ba'tak 	anc.	n.	OBJ.CONC	tradition
b	1	Bablivau 	MGV	v.	ACT.CONC	designate
b	1	Babloputak 	MGV	n.	OBJ.CONC	crusade
b	1	Bah-ker 	anc.	n.	OBJ.CONC	garden
b	1	Bah-tor 	MGV	v.	ACT.CONC	garden
b	1	Bahsu 	MGV	n.	OBJ.CONC	gardener
b	1	Bai-lak-pa	anc.	n.	OBJ.CONC	self-pity
b	1	Bak 	MGV	n.	OBJ.CONC	rib
b	1	Bal 	MGV	n.	OBJ.CONC	group, set
b	1	Bali|-| 	MGV	adj.	PROP.CONC	thick
b	1	Bali-thonek 	MGV	n.	OBJ.CONC	caliper(s)
b	1	Balkra 	anc.	n.	OBJ.CONC	an aromatic casserole
b	1	Banut 	MGV	v.	ACT.CONC	speak of or about
b	1	Bar-got	anc.	n.	OBJ.CONC	herb
b	1	Bar-kas	anc.	n.	OBJ.CONC	spice
b	1	Bashan 	MGV	n.	OBJ.CONC	migration
b	1	Batai 	MGV	adj.	PROP.CONC	sturdy
b	1	Bau-tor 	MGV	v.	ACT.CONC	disregard, ignore
b	1	Be' 	MGV	prep.	SITU.MOD	adjacent to, beside, close to, near, next to, in proximity to
b	1	Be'es 	MGV	n.	OBJ.CONC	nearness, proximity
b	1	Be'ru'lutik 	MGV	adj.	PROP.CONC	adoral
b	1	Be-, Beik 	MGV	adj.	PROP.CONC	adjacent, close, near
b	1	Be-wan-kur 	MGV	adj.	PROP.CONC	off-white
b	1	Beglanau 	MGV	v.	ACT.CONC	notice
b	1	Behsu 	MGV	n.	OBJ.CONC	neighbor
b	1	Beidzhorsu 	MGV	n.	OBJ.CONC	Bajoran
b	1	Bek 	MGV	n.	OBJ.CONC	wait
b	1	Bek-tor 	MGV	v.	ACT.CONC	wait
b	1	Belk	anc.	n.	OBJ.CONC	scout
b	1	Ben 	MGV	pron.	OBJ.CONC	to us
b	1	Ben-gun 	anc.	n.	OBJ.CONC	therapy
b	1	Bes 	MGV	n.	OBJ.CONC	drawing
b	1	Bes-tor 	MGV	v.	ACT.CONC	draw
b	1	Besan 	MGV	n.	OBJ.CONC	chart, map, plot
b	1	Besan-tanaf 	MGV	n.	OBJ.CONC	cartography
b	1	Besau 	MGV	v.	ACT.CONC	chart, map, plot
b	1	Besayek 	MGV	n.	OBJ.CONC	plotter
b	1	Besu 	MGV	n.	OBJ.CONC	companion
b	1	Besu'es 	MGV	n.	OBJ.CONC	companionship
b	1	Betau 	MGV	v.	ACT.CONC	approach, near
b	1	Bezhun 	MGV	n.	OBJ.CONC	eye, oculus
b	1	Bezhun-hassu 	MGV	n.	OBJ.CONC	ophtalmologist
b	1	Bezhun-isach 	MGV	n.	OBJ.CONC	eyelash
b	1	Bezhun-kal 	MGV	n.	OBJ.CONC	eyeball
b	1	Bezhun-masu 	MGV	n.	OBJ.CONC	tears (multiple drops)
b	1	Bezhun-masu-mev 	MGV	n.	OBJ.CONC	lacrimal duct, tear duct
b	1	Bezhun-ripa'shaya 	MGV	n.	OBJ.CONC	cataract
b	1	Bezhun-tal 	MGV	n.	OBJ.CONC	ophtalmology
b	1	Bezhun-thek 	MGV	n.	OBJ.CONC	tear (a single drop)
b	1	Bezhun-wadi 	MGV	n.	OBJ.CONC	cornea
b	1	Bezhun-wan 	MGV	n.	OBJ.CONC	sclera
b	1	Bezhun-zehl 	MGV	n.	OBJ.CONC	eyebrow
b	1	Bi' 	MGV	prep.	SITU.MOD	along
b	1	Bif-, Bifik 	MGV	adj.	PROP.CONC	sure
b	1	Bikuv 	MGV	n.	OBJ.CONC	picture
b	1	Bikuv-kitaun 	MGV	n.	OBJ.CONC	hieroglyphic (writing)
b	1	Bishau 	MGV	v.	ACT.CONC	swarm, teem
b	1	Bladzh 	MGV	n.	OBJ.CONC	camp
b	1	Bladzh-yon 	MGV	n.	OBJ.CONC	campfire
b	1	Bling 	MGV	n.	OBJ.CONC	cymbal
b	1	Bohrau 	MGV	v.	ACT.CONC	cure
b	1	Bol-, Bolik 	MGV	adj.	PROP.CONC	critical, vital
b	1	Bol-falek'es 	MGV	n.	OBJ.CONC	critical temperature
b	1	Bol-mog'es 	MGV	n.	OBJ.CONC	critical volume
b	1	Bol-shivak 	MGV	n.	OBJ.CONC	critical mass
b	1	Bol-sov-masu'es 	MGV	n.	OBJ.CONC	critical humidity
b	1	Bol-suk'es 	MGV	n.	OBJ.CONC	critical size
b	1	Bol-tav 	MGV	n.	OBJ.CONC	critical rate
b	1	Bol-threshan 	MGV	n.	OBJ.CONC	critical speed
b	1	Bol-toruk'es 	MGV	n.	OBJ.CONC	critical voltage
b	1	Bol-vakav'es 	MGV	n.	OBJ.CONC	critical frequency
b	1	Bol-vihish 	MGV	n.	OBJ.CONC	critical pressure
b	1	Bol-vulu 	MGV	n.	OBJ.CONC	critical angle
b	1	Bolau 	MGV	v.	ACT.CONC	need
b	1	Bolaya 	MGV	n.	OBJ.CONC	need
b	1	Bolaya-, Bolayatik 	MGV	adj.	PROP.CONC	essential
b	1	Bosh|-| 	MGV	adj.	PROP.CONC	full
b	1	Bosh-khaf-masu 	MGV	n.	OBJ.CONC	plasma
b	1	Boshak 	MGV	n.	OBJ.CONC	filling
b	1	Boshau 	MGV	v.	ACT.CONC	fill
b	1	Bov 	MGV	n.	OBJ.CONC	average
b	1	Bov-, Bovik 	MGV	adj.	PROP.CONC	average
b	1	Bov-tor 	MGV	v.	ACT.CONC	average
b	1	Brag 	MGV	n.	OBJ.CONC	crypt, tomb
b	1	Bral-tukh 	MGV	n.	OBJ.CONC	gallium
b	1	Brash'es 	MGV	n.	OBJ.CONC	fecundity
b	1	Breth-tukh 	MGV	n.	OBJ.CONC	praseodymium
b	1	Bru 	MGV	n.	OBJ.CONC	lip
b	1	Bru-yonshaya 	MGV	n.	OBJ.CONC	cheilitis
b	1	Bruhd 	MGV	n.	OBJ.CONC	caterpillar
b	1	Budda-dva 	MGV	n.	OBJ.CONC	Buddhism
b	1	Budda-dvasu 	MGV	n.	OBJ.CONC	Buddhist
b	1	Buhfik 	MGV	adj.	PROP.CONC	perfect
b	1	Buhl'es 	MGV	n.	OBJ.CONC	enthusiasm
b	1	Buhl-, Buhlik 	MGV	adj.	PROP.CONC	enthusiastic
b	1	Buhn 	MGV	n.	OBJ.CONC	coin
b	1	Buk 	MGV	n.	OBJ.CONC	fate, destiny
b	1	Bulom-tukh 	MGV	n.	OBJ.CONC	molybdenum
b	1	Bureki 	anc.	n.	OBJ.CONC	a volcanic stone used for construction
b	1	Burun 	MGV	n.	OBJ.CONC	crisis
b	1	Burun-, Burunik 	MGV	adj.	PROP.CONC	critical (in a crisis)
b	1	Burun-palutun-flanapausu 	MGV	n.	OBJ.CONC	critical care specialist
b	1	Burun-palutun-hassu 	MGV	n.	OBJ.CONC	critical care doctor
b	1	Burun-palutun-shal 	MGV	n.	OBJ.CONC	critical care unit
b	1	Burun-palutun-shi'has 	MGV	n.	OBJ.CONC	critical care center
b	1	Burun-palutunik has-golsu 	MGV	n.	OBJ.CONC	critical care nurse
b	1	Busnem 	MGV	n.	OBJ.CONC	abortion
b	1	Busnem-tor 	MGV	v.	ACT.CONC	abort
d	1	D'oh-tor 	MGV	v.	ACT.CONC	confuse, perplex, puzzle
d	1	D'ohan 	MGV	n.	OBJ.CONC	confusion, perplexity, puzzlement
d	1	D'ohik 	MGV	adj.	PROP.CONC	confused, perplexed, puzzled
d	1	Da 	MGV	n.	OBJ.CONC	pebble
d	1	Da-fek 	MGV	n.	OBJ.CONC	axle
d	1	Da-kuv 	MGV	n.	OBJ.CONC	circle
d	1	Da-kuv-falek'es 	MGV	n.	OBJ.CONC	convection
d	1	Da-kuvau 	MGV	v.	ACT.CONC	circulate
d	1	Da-kuvau-katrom 	MGV	n.	OBJ.CONC	circulating current
d	1	Da-kuvau-spol 	MGV	n.	OBJ.CONC	circulating pump
d	1	Da-kuvau-torektra 	MGV	n.	OBJ.CONC	circulatory system
d	1	Da-kuvaya 	MGV	n.	OBJ.CONC	circulation
d	1	Da-kuvayek 	MGV	n.	OBJ.CONC	circulator
d	1	Da-nel 	MGV	n.	OBJ.CONC	cycle
d	1	Da-nel-, Da-nelik 	MGV	adj.	PROP.CONC	cyclic
d	1	Da-rala-hali, Da-rala-hashek 	MGV	n.	OBJ.CONC	helicopter
d	1	Da-sfek 	MGV	n.	OBJ.CONC	axis
d	1	Da-sfek-lerakovayek 	MGV	n.	OBJ.CONC	axial compressor
d	1	Da-sfek-mishu 	MGV	n.	OBJ.CONC	axial engine
d	1	Da-sfek-tavat 	MGV	n.	OBJ.CONC	axial ratio
d	1	Da-sfek-vukharat 	MGV	n.	OBJ.CONC	axial vector
d	1	Da-sfek-yumaya 	MGV	n.	OBJ.CONC	axial flow
d	1	Da-skramek 	MGV	n.	OBJ.CONC	lathe
d	1	Da-tor 	MGV	v.	ACT.CONC	rotate, turn
d	1	Dafel 	MGV	n.	OBJ.CONC	pelvis
d	1	Dafel-, Dafelik 	MGV	adj.	PROP.CONC	pelvic
d	1	Dah'es 	MGV	n.	OBJ.CONC	duality
d	1	Dah-glan 	MGV	n.	OBJ.CONC	double vision, diplopia
d	1	Dah-guv-, Dah-guvik 	MGV	adj.	PROP.CONC	bisexual
d	1	Dah-halek 	MGV	n.	OBJ.CONC	bicycle
