"FRST_LETTER"	"vulcan"	"pronunciation"	"fse"
"36"	"a"	"Abru'es "	" _ - ' bru - es /"	"dominance"
"37"	"a"	"Abru'mesukh--(obs.)ï¿½"	""	"across"
"38"	"a"	"Abru-ahs|-hinek|"	""	"maxilla<ca>(anat.)"
"39"	"a"	"Abru-kapol-nafek"	""	"adrenal gland"
"40"	"a"	"Abru-kar-hinek"	""	"humerus<ca>(anat.)"
"41"	"a"	"Abru-mal"	""	"thigh"
"42"	"a"	"Abru-mal-hinek"	""	"femur, thighbone"
"43"	"a"	"Abru-mes"	""	"crossover<ca>(n.)"
"44"	"a"	"Abru-ralashik"	""	"supersonic"
"45"	"a"	"Abru-ralashik ifis-hali"	""	"supersonic transport (SST)"
"46"	"a"	"Abru-spis"	""	"anticline"
"47"	"a"	"Abru-su'us"	""	"numerator"
"48"	"a"	"Abru-tchakat"	""	"camber<ca>(eng., mech.)"
"49"	"a"	"Abru-tus"	""	"overload<ca>(n.)"
"50"	"a"	"Abru-tus-nelayek"	""	"overload suppressor"
"51"	"a"	"Abru-tus-tor"	""	"overload<ca>(v.)"
"52"	"a"	"Abru-tvi-kovtra"	""	"asthenosphere"
"53"	"a"	"Abru-vulu"	""	"obtuse angle"
"54"	"a"	"Abru-yetural-, Abru-yeturalik"	""	"overdriven<ca>(adj.)"
"55"	"a"	"Abru-zan-mev"	""	"periscope"
"56"	"a"	"Abrukhau"	""	"dominate"
"57"	"a"	"Abrumashen-, abrumashenik"	""	"awash"
"58"	"a"	"Abruneniwau"	""	"supervise"
"59"	"a"	"Abruneniwausu"	""	"supervisor"
"60"	"a"	"Abrupik "	" _ - ' bru - pik /"	"dominant"
"61"	"a"	"Abrupodon"	""	"profit<ca>(n.)"
"62"	"a"	"Abruven-esh-nosh"	""	"orthopnea"
"63"	"a"	"Absakau"	""	"raid<ca>(v.)"
"64"	"a"	"Absakausu"	""	"raider, marauder"
"65"	"a"	"Abu, Abu'"	""	"up"
"66"	"a"	"Abu'le "	" _ - ' bu - le /"	"upward(s)"
"67"	"a"	"Abu'shi"	""	"aloft"
"68"	"a"	"Abu'tvau"	""	"swing up"
"69"	"a"	"Abu-dvun-, Abu-dvunik"	""	"anabatic<ca>(adj.)"
"70"	"a"	"Abu-pla'dor-hinek"	""	"thoracic vertebra"
"71"	"a"	"Abu-to'ovayak"	""	"stalagmite"
"72"	"a"	"Abu-tor"	""	"erect, put up"
"73"	"a"	"Abu-vla-nu'leyik"	""	"upside-down<ca>(adj.)"
"74"	"a"	"Abu-yumaya"	""	"updraft<ca>(n.)"
"75"	"a"	"Abuhish"	""	"upward pressure"
"76"	"a"	"Abukhau "	" _ - bu - ' xa_ /"	"rule over"
"77"	"a"	"Abulau "	" _ - bu - ' la_ /"	"increase<ca>(v.)"
"78"	"a"	"Abulik"	""	"vertical<ca>(adj.)"
"79"	"a"	"Abulik sov-razh"	""	"air pocket"
"80"	"a"	"Abun-dvunek"	""	"erector<ca>(anat.)"
"81"	"a"	"Abunaf "	" _ - bu - ' n_f /"	"uplink<ca>(n.)"
"82"	"a"	"Abunuhal-tor"	""	"pitch<ca>(v., aero.)"
"83"	"a"	"Abunuhalan"	""	"pitch<ca>(n., aero.)"
"84"	"a"	"Abusalan-, Abusalanik"	""	"upwind<ca>(adj.)"
"85"	"a"	"Abuthresha"	""	"throttle up<ca>(v.)"
"86"	"a"	"Abutsuplau"	""	"surrender<ca>(v.)"
"87"	"a"	"Abutsuplaya"	""	"surrender<ca>(n.)"
"88"	"a"	"Abuvenik "	" _ - ' bu - ve - nik /"	"upright"
"89"	"a"	"Achut "	" _ - ' t_ut /"	"brush<ca>(n.)"
"90"	"a"	"Af'traul"	""	"utensil"
"91"	"a"	"Af'tum "	" ' _f - tum /--(anc.)ï¿½"	"kitchen"
"92"	"a"	"Afer-tor "	" _ - fer - ' tor /"	"establish, found<ca>(v.)"
"93"	"a"	"Aferal-, Aferalik"	""	"established, founded<ca>(adj.)"
"94"	"a"	"Aferteraya"	""	"corporation"
"95"	"a"	"Afsakau"	""	"declare, proclaim"
"96"	"a"	"Afsakaya"	""	"declaration, proclamation"
"97"	"a"	"Agreibau"	""	"torture<ca>(v.)"
"98"	"a"	"Agreibaya"	""	"torture<ca>(n.)"
"99"	"a"	"Ahahr-tukh"	""	"rhenium"
"100"	"a"	"Ahkh "	" _'x , _x /--(anc.)ï¿½"	"war<ca>(n.)"
"101"	"a"	"Ahkh-pidsu"	""	"warlord"
"102"	"a"	"Ahkh-zhagralar"	""	"wargames"
"103"	"a"	"Ahkhan "	" _'x - ' _n , _x - /"	"warfare"
"104"	"a"	"Ahkhinahru "	" _'x - i - ' n_r - u , _x - /--(anc.)ï¿½"	"ancient battlefield psionic warrior"
"105"	"a"	"Ahkhsu "	" ' _'x - su , ' _x - /"	"warrior"
"106"	"a"	"Ahklavau"	""	"reveal"
"107"	"a"	"Ahl-tukh"	""	"iridium"
"108"	"a"	"Ahm "	" _'m , _m /"	"name<ca>(n.)"
"109"	"a"	"Ahm-rubah"	""	"name change"
"110"	"a"	"Ahm-tor "	" _'m - ' tor , _m - /"	"name<ca>(v.)"
"111"	"a"	"Ahm-van-kal"	""	"naming ceremony"
"112"	"a"	"Ahn-vahr "	" _'n - ' v_'r , _n - ' v_r /--(anc.)ï¿½"	"suicide dagger"
"113"	"a"	"Ahn-wun "	" _'n - ' wun , _n - /--(anc.)ï¿½"	"strap-like weapon, often with a weighted end"
"114"	"a"	"Ahs "	" _'s , _s /"	"jaw<ca>(n.)"
"115"	"a"	"Aht'lahntik Masutra"	""	"Atlantic Ocean"
"116"	"a"	"Aid "	" a_d /"	"contentment"
"117"	"a"	"Aidihn|-| "	" ' a_d - _n /"	"contented<ca>(adj.)"
"118"	"a"	"Aifa "	" ' a_ - f_ /"	"these"
"119"	"a"	"Aikum "	" ' a_ - kum /"	"moon<ca>(n.)"
"120"	"a"	"Aikum-ek'duv"	""	"lunar eclipse"
"121"	"a"	"Aikum-ha'gel"	""	"moonlight"
"122"	"a"	"Aikum-shen"	""	"moonrise"
"123"	"a"	"Aikum-solek"	""	"lunar regolith"
"124"	"a"	"Aikum-tal"	""	"selenology"
"125"	"a"	"Aikum-tevan"	""	"moonset"
"126"	"a"	"Ailin-tukh"	""	"gabbro"
"127"	"a"	"Ain"	""	"garment"
"128"	"a"	"Aisha "	" ' a_ - __ /"	"cause<ca>(v.)"
"129"	"a"	"Aishan "	" a_ - ' __n /"	"cause<ca>(n.)"
"130"	"a"	"Aitlu "	" a_t - ' lu /"	"desire, want<ca>(v.)"
"131"	"a"	"Aitlun "	" a_t - ' lun /"	"desire, want<ca>(n.)"
"132"	"a"	"Ak"	""	"soon"
"133"	"a"	"Ak'spra "	" ' _k - spr_ /--(NGS)ï¿½"	"heretic, unorthodox believer"
"134"	"a"	"Ak'wik "	" _k - ' wik /"	"surprised<ca>(adj.)"
"135"	"a"	"Ak'wik-abrash"	""	"flash flood"
"136"	"a"	"Ak'wikman"	""	"surprise<ca>(v.)"
"137"	"a"	"Akali|-| "	" _ - ' k_ - li /"	"urgent"
"138"	"a"	"Akan|-|"	""	"alien, ecdemic, exotic<ca>(not native)"
"139"	"a"	"Akan-ha-tal"	""	"xenobiology"
"140"	"a"	"Akan-ha-talsu"	""	"xenobiologist"
"141"	"a"	"Akan-tor"	""	"alienate"
"142"	"a"	"Akanal-, Akanalik"	""	"alienated<ca>(adj.)"
"143"	"a"	"Akansu "	" _ - ' k_n - su /"	"alien<ca>(n.)"
"144"	"a"	"Akarshif "	" _ - k_r - ' _if /"	"a long time"
"145"	"a"	"Akhlami "	" _ - ' xl_ - mi /"	"among us"
"146"	"a"	"Akteibuhl "	" _k - ' te_ - b_l , - b_l /"	"attainment"
"147"	"a"	"Alakolah"	""	"ripple<ca>(v.)"
"148"	"a"	"Alakolan"	""	"ripple<ca>(n.)"
"149"	"a"	"Alem "	" _ - ' lem /"	"salt<ca>(n.)"
"150"	"a"	"Alem'es"	""	"saltiness, salinity"
"151"	"a"	"Alem-flash"	""	"mangrove swamp"
"152"	"a"	"Alem-kov"	""	"halite, rock salt"
"153"	"a"	"Alem-masu"	""	"saltwater<ca>(n.)"
"154"	"a"	"Alem-masu-kastra"	""	"salt(water) marsh"
"155"	"a"	"Alem-sis"	""	"salt depletion"
"156"	"a"	"Alem-solek"	""	"saline soil"
"157"	"a"	"Alem-suk'muzh"	""	"salt lake"
"158"	"a"	"Alem-tukh"	""	"sodium, natrium"
"159"	"a"	"Alemik"	""	"salty, saline"
"160"	"a"	"Alemtra"	""	"sabkha<ca>(geol.)"
"161"	"a"	"Aluk "	" _ - ' luk /"	"fish<ca>(n.)"
"162"	"a"	"Aluk-kak"	""	"fishbowl"
"163"	"a"	"Aluk-kelek"	""	"aquarium"
"164"	"a"	"Aluk-kum-fek"	""	"fishing pole"
"165"	"a"	"Aluk-kum-kik"	""	"fishhook"
"166"	"a"	"Aluk-kum-mashali"	""	"fishing boat"
"167"	"a"	"Aluk-kum-tor"	""	"fish<ca>(v.)"
"168"	"a"	"Aluk-kumsu"	""	"fisherman"
"169"	"a"	"An-bet--(anc.)ï¿½"	""	"gable<ca>(n.)"
"170"	"a"	"An-kharkh "	" _n - ' x_rx /--(obs.)ï¿½"	"fear<ca>(n.)"
"171"	"a"	"An-prele "	" _n - ' pre - le /--(NGS)ï¿½"	"pain control meditation"
"172"	"a"	"Andorsu "	" _n - ' dor - su /"	"Andorian<ca>(person/language)"
"173"	"a"	"Ap'hashau "	" _p - h_ - ' _a_ /"	"ricochet<ca>(v.)"
"174"	"a"	"Ap'hashaya"	""	"ricochet<ca>(n.)"
"175"	"a"	"Apalikau-zehlanaya"	""	"startup sequence"
"176"	"a"	"Apalikaya"	""	"startup, start-up"
"177"	"a"	"Apumeskarau"	""	"take a hold of"
"178"	"a"	"Ar'ka-halek"	""	"flywheel"
"179"	"a"	"Ar'kada "	" _r - ' k_ - d_ /"	"work<ca>(v.)"
"180"	"a"	"Ar'kada-lashi"	""	"workstation"
"181"	"a"	"Ar'kada-pthak"	""	"ergophobia"
"182"	"a"	"Ar'kadan "	" _r - k_ - ' d_n /"	"work, chore, task, job"
"183"	"a"	"Ar'tu "	" ' _r - tu /--(anc.)ï¿½"	"project<ca>(n.)"
"184"	"a"	"Arlanga"	""	"a Vulcan mountain range"
"185"	"a"	"Arlanga-tukh"	""	"yttrium"
"186"	"a"	"Aru "	" _ - ' ru /--(anc.)ï¿½"	"afternoon"
"187"	"a"	"Aru-yem"	""	"dinner, \"afternoon meal\""
"188"	"a"	"Asal "	" _ - ' s_l /"	"morning"
"189"	"a"	"Asal-masu"	""	"dew<ca>(n.)"
"190"	"a"	"Asal-masu-sfek"	""	"dew point"
"191"	"a"	"Asal-masu-thek"	""	"dewdrop"
"192"	"a"	"Asal-masu-thonek"	""	"drosometer"
"193"	"a"	"Asal-yem"	""	"breakfast, \"morning meal\""
"194"	"a"	"Ash'ai "	" __ - ' a_ /"	"sock, stocking"
"195"	"a"	"Ash'ai-zhel"	""	"garter"
"196"	"a"	"Ash'el "	" __ - ' el /--(MGV)ï¿½"	"shoe<ca>(n.)"
"197"	"a"	"Ash'gelfek"	""	"perch<ca>(n.)"
"198"	"a"	"Ash'kwitayek"	""	"pedal<ca>(n.)"
"199"	"a"	"Ash'ya "	" ' __ - j_ /"	"foot"
"200"	"a"	"Ash'ya-dukal"	""	"football<ca>(the ball), soccer ball"
"201"	"a"	"Ash'ya-dukal-torvukh"	""	"football<ca>(the sport), soccer"
"202"	"a"	"Ash'ya-fam-, ash'ya-famik"	""	"apodal, apodous, footless"
"203"	"a"	"Ash'ya-hilek"	""	"spade<ca>(n.)"
"204"	"a"	"Ash'ya-sai-vel"	""	"footwear"
"205"	"a"	"Ash'yaidar "	" __ - ja_ - ' d_r /"	"footprint<ca>(n.)"
"206"	"a"	"Ash'yakhut"	""	"slipper<ca>(n.)"
"207"	"a"	"Ash-tor"	""	"step, tread<ca>(v.)"
"208"	"a"	"Ash-vel "	" __ - ' vel /--(TGV)ï¿½"	"shoe<ca>(n.)"
"209"	"a"	"Ashal-, Ashalik"	""	"(be)loved, darling<ca>(adj.)"
"210"	"a"	"Ashal-veh"	""	"beloved, darling, sweetheart<ca>(n.)"
"211"	"a"	"Ashau "	" _ - ' _a_ /"	"love<ca>(v.)"
"212"	"a"	"Ashau-krel-masu"	""	"love potion"
"213"	"a"	"Ashaun-, Ashaunik"	""	"loving<ca>(adj.)"
"214"	"a"	"Ashausu"	""	"lover"
"215"	"a"	"Ashaya-var"	""	"love story"
"216"	"a"	"Ashen-fau-yut"	""	"causeway"
"217"	"a"	"Ashen-padukau-rala"	""	"elevon"
"218"	"a"	"Ashenau "	" _ - _en - ' a_ /"	"raise, elevate, amplify"
"219"	"a"	"Ashenayek"	""	"elevator<ca>(aero., anat.), amplifier<ca>(electr.)"
"220"	"a"	"Ashenek "	" _ - ' _en - ek /"	"exponent<ca>(math.)"
"221"	"a"	"Ashiv-tor"	""	"repeat<ca>(v.)"
"222"	"a"	"Ashivau "	" _ - _i - ' va_ /"	"iterate"
"223"	"a"	"Ask'er "	" _sk - ' er /"	"army"
"224"	"a"	"Ask'ersu"	""	"soldier"
"225"	"a"	"Ask'ersu-kelek"	""	"barracks"
"226"	"a"	"Ask'ersu-leshek"	""	"troop carrier"
"227"	"a"	"Ask'plak-, Ask'plakik"	""	"tactical<ca>(adj.)"
"228"	"a"	"Ask'plak-galu-wun"	""	"tactical nuclear weapon"
"229"	"a"	"Ask'plak-lansu"	""	"tactical officer"
"230"	"a"	"Ask'plak-lashi"	""	"tactical station"
"231"	"a"	"Ask'plakanu"	""	"tactics"
"232"	"a"	"Aski|-| "	" ' _s - ki /"	"mighty, military<ca>(adj.)"
"233"	"a"	"Askital "	" _sk - i - ' t_l /"	"military<ca>(n.)"
"234"	"a"	"Asklotau"	""	"blockade<ca>(v.)"
"235"	"a"	"Asklotaya"	""	"blockade<ca>(n.)"
"236"	"a"	"Asteronau"	""	"attach"
"237"	"a"	"Asteronau-mof"	""	"clevis pin"
"238"	"a"	"Asteronaya"	""	"attachment"
"239"	"a"	"Asteronaya-sfek"	""	"attachment point"
"240"	"a"	"Au"	""	"them, they"
"241"	"a"	"Aukh "	" a_x /"	"gypsum"
"242"	"a"	"Ausham "	" a__ - ' _m /"	"venom"
"243"	"a"	"Aushfa "	" a__ - ' f_ /"	"animal<ca>(n.)"
"244"	"a"	"Aushfa-kelek"	""	"barn, stable"
"245"	"a"	"Aushfa-palutunatra"	""	"animal husbandry"
"246"	"a"	"Aushfa-razh"	""	"burrow<ca>(n.)"
"247"	"a"	"Aushfa-wadi-hatik ha-vel"	""	"epizoon"
"248"	"a"	"Aushfa-tal"	""	"zoology"
"249"	"a"	"Aushfa-talsu"	""	"zoologist"
"250"	"a"	"Aushfal'esk"	""	"beast"
"251"	"a"	"Aushfamaluhr "	" a__ - ' f_ - m_ - l_r , - l_r , - l_r /"	"animal(istic), beastly, savage<ca>(adj.)"
"252"	"a"	"Aushfatra "	" a__ - ' f_ - tr_ /"	"fauna"
"253"	"a"	"Aushfebihk-dva"	""	"totemism<ca>(towards an animal)"
"254"	"a"	"Aushkel "	" a__ - ' kel /"	"den, lair"
"255"	"a"	"Avaru--(anc.)ï¿½"	""	"trouble<ca>(n.)"
"256"	"a"	"Avaru-satalau"	""	"troubleshoot"
"257"	"a"	"Avaru-satalausu"	""	"troubleshooter"
"258"	"a"	"Avaru-satalaya"	""	"troubleshooting<ca>(n.)"
"259"	"a"	"Avon "	" _ - ' von /"	"hunger<ca>(n.)"
"260"	"a"	"Avon-telik"	""	"hunger<ca>(v.)"
"261"	"a"	"Awek|-| "	" _ - ' wek /"	"private<ca>(adj.)"
"262"	"a"	"Awek'es"	""	"privacy, solitude"
"263"	"a"	"Awek-thro-yut"	""	"driveway"
"264"	"a"	"Awekat-, Awekatik"	""	"solitary"
"265"	"a"	"Ayau "	" _ - ' ja_ /"	"tilt<ca>(v.)"
"266"	"a"	"Ayau-keh-vla"	""	"rhombus"
"267"	"a"	"Ayau-thonek"	""	"tiltmeter"
"268"	"a"	"Ayayik keh-vla"	""	"rhombohedron"
"269"	"a"	"Ayayik leh-dah-muk"	""	"rhombododecahedron"
"270"	"a"	"Azehl"	""	"ray<ca>(math.)"
"271"	"a"	"Azehl-, Azehlik"	""	"radial<ca>(adj.)"
"272"	"b"	"Ba'tak "	" b_ - ' t_k /--(anc.)ï¿½"	"tradition"
"273"	"b"	"Bablivau "	" b_ - bli - ' va_ /"	"designate"
"274"	"b"	"Babloputak "	" b_ - blo - ' put - _k /"	"crusade<ca>(n.)"
"275"	"b"	"Bah-ker "	" ' b_' - ker , ' b_ - /--(anc.)ï¿½"	"garden<ca>(n.)"
"276"	"b"	"Bah-tor "	" b_' - ' tor , b_ - /"	"garden<ca>(v.)"
"277"	"b"	"Bahsu"	""	"gardener"
"278"	"b"	"Bai'--(obs.)ï¿½"	""	"through, via, by means of"
"279"	"b"	"Bai-lak-pa--(anc.)ï¿½"	""	"self-pity"
"280"	"b"	"Bak"	""	"rib"
"281"	"b"	"Bal"	""	"group, set<ca>(n.)"
"282"	"b"	"Bali|-| "	" ' b_ - li /"	"thick"
"283"	"b"	"Bali-thonek"	""	"caliper(s)"
"284"	"b"	"Balkra "	" ' b_l - kr_ , ' b_lk - r_ /--(anc.)ï¿½"	"an aromatic casserole"
"285"	"b"	"Banut "	" b_ - ' nu t /"	"speak of or about"
"286"	"b"	"Bar-got--(anc.)ï¿½"	""	"herb"
"287"	"b"	"Bar-kas--(anc.)ï¿½"	""	"spice"
"288"	"b"	"Bashan "	" b_ - ' __n /"	"migration"
"289"	"b"	"Batai "	" b_ - ' ta_ /"	"sturdy<ca>(adj.)"
"290"	"b"	"Bau-tor"	""	"disregard, ignore"
"291"	"b"	"Be'"	""	"adjacent to, beside, close to, near, next to, in proximity to<ca>(prep.)"
"292"	"b"	"Be'es"	""	"nearness, proximity"
"293"	"b"	"Be'hai'la "	" be - ' ha_ - l_ /--(NGS)ï¿½"	"guest<ca>(n.)"
"294"	"b"	"Be'ru'lutik"	""	"adoral"
"295"	"b"	"Be-, Beik"	""	"adjacent, close, near<ca>(adj.)"
"296"	"b"	"Be-wan-kur"	""	"off-white<ca>(color)"
"297"	"b"	"Beglanau"	""	"notice<ca>(v.)"
"298"	"b"	"Behsu"	""	"neighbor"
"299"	"b"	"Beidzhorsu "	" ' be_ - d_or - su /"	"Bajoran<ca>(person/language)"
"300"	"b"	"Bek"	""	"wait<ca>(n.)"
"301"	"b"	"Bek-tor"	""	"wait<ca>(v.)"
"302"	"b"	"Belaar "	" be - ' l__r /--(NGS)ï¿½"	"Summer<ca>(season)"
"303"	"b"	"Belk--(anc.)ï¿½"	""	"scout (n.)"
"304"	"b"	"Ben"	""	"to us"
"305"	"b"	"Ben-gun "	" ben - ' gun /--(anc.)ï¿½"	"therapy"
"306"	"b"	"Bes"	""	"drawing"
"307"	"b"	"Bes-tor"	""	"draw<ca>(v.)"
"308"	"b"	"Besan"	""	"chart, map, plot<ca>(n.)"
"309"	"b"	"Besan-tanaf"	""	"cartography"
"310"	"b"	"Besau"	""	"chart, map, plot<ca>(v.)"
"311"	"b"	"Besayek"	""	"plotter<ca>(device)"
"312"	"b"	"Besu "	" ' be - su /"	"companion"
"313"	"b"	"Besu'es"	""	"companionship"
"314"	"b"	"Betau"	""	"approach, near<ca>(v.)"
"315"	"b"	"Bezhun "	" be - ' _un /"	"eye, oculus"
"316"	"b"	"Bezhun-hassu"	""	"ophtalmologist"
"317"	"b"	"Bezhun-isach"	""	"eyelash"
"318"	"b"	"Bezhun-kal"	""	"eyeball<ca>(n.)"
"319"	"b"	"Bezhun-masu"	""	"tears<ca>(n., multiple drops)"
"320"	"b"	"Bezhun-masu-mev"	""	"lacrimal duct, tear duct"
"321"	"b"	"Bezhun-ripa'shaya"	""	"cataract<ca>(med.)"
"322"	"b"	"Bezhun-tal"	""	"ophtalmology"
"323"	"b"	"Bezhun-thek"	""	"tear<ca>(n., a single drop)"
"324"	"b"	"Bezhun-wadi"	""	"cornea"
"325"	"b"	"Bezhun-wan"	""	"sclera"
"326"	"b"	"Bezhun-zehl"	""	"eyebrow"
"327"	"b"	"Bi'"	""	"along<ca>(prep.)"
"328"	"b"	"Bif-, Bifik"	""	"sure<ca>(adj.)"
"329"	"b"	"Bikuv "	" bi - ' kuv /"	"picture"
"330"	"b"	"Bikuv-kitaun"	""	"hieroglyphic<ca>(writing)"
"331"	"b"	"Bishau"	""	"swarm, teem<ca>(v.)"
"332"	"b"	"Bladzh"	""	"camp<ca>(n.)"
"333"	"b"	"Bladzh-yon"	""	"campfire"
"334"	"b"	"Bling"	""	"cymbal"
"335"	"b"	"Bohrau"	""	"cure<ca>(v.)"
"336"	"b"	"Bol-, Bolik"	""	"critical, vital"
"337"	"b"	"Bol-falek'es"	""	"critical temperature"
"338"	"b"	"Bol-mog'es"	""	"critical volume"
"339"	"b"	"Bol-shivak"	""	"critical mass"
"340"	"b"	"Bol-sov-masu'es"	""	"critical humidity"
"341"	"b"	"Bol-suk'es"	""	"critical size"
"342"	"b"	"Bol-tav"	""	"critical rate"
"343"	"b"	"Bol-threshan"	""	"critical speed"
"344"	"b"	"Bol-toruk'es"	""	"critical voltage"
"345"	"b"	"Bol-vakav'es"	""	"critical frequency"
"346"	"b"	"Bol-vihish"	""	"critical pressure"
"347"	"b"	"Bol-vulu"	""	"critical angle"
"348"	"b"	"Bolau"	""	"need<ca>(v.)"
"349"	"b"	"Bolaya"	""	"need<ca>(n.)"
"350"	"b"	"Bolaya-, Bolayatik"	""	"essential<ca>(adj.)"
"351"	"b"	"Bosh|-|"	""	"full"
"352"	"b"	"Bosh-khaf-masu"	""	"plasma<ca>(med.)"
"353"	"b"	"Boshak "	" ' bo_ - _k /"	"filling<ca>(n.)"
"354"	"b"	"Boshau "	" bo_ - ' a_ /"	"fill<ca>(v.)"
"355"	"b"	"Bov"	""	"average<ca>(n.)"
"356"	"b"	"Bov-, Bovik"	""	"average<ca>(adj.)"
"357"	"b"	"Bov-tor"	""	"average<ca>(v.)"
"358"	"b"	"Brag"	""	"crypt, tomb"
"359"	"b"	"Bral-tukh"	""	"gallium"
"360"	"b"	"Brash'es"	""	"fecundity"
"361"	"b"	"Breth-tukh"	""	"praseodymium"
"362"	"b"	"Bru"	""	"lip<ca>(n.)"
"363"	"b"	"Bru-yonshaya"	""	"cheilitis"
"364"	"b"	"Bruhd"	""	"caterpillar"
"365"	"b"	"Budda-dva"	""	"Buddhism"
"366"	"b"	"Budda-dvasu"	""	"Buddhist<ca>(n.)"
"367"	"b"	"Buhfik "	" ' b_f - ik , ' b_f - /"	"perfect"
"368"	"b"	"Buhl'es"	""	"enthusiasm"
"369"	"b"	"Buhl-, Buhlik"	""	"enthusiastic"
"370"	"b"	"Buhn"	""	"coin<ca>(n.)"
"371"	"b"	"Buk"	""	"fate, destiny"
"372"	"b"	"Bulom-tukh"	""	"molybdenum"
"373"	"b"	"Bureki "	" bu - ' re - ki /--(anc.)ï¿½"	"a volcanic stone used for construction"
"374"	"b"	"Burun "	" bu - ' run /"	"crisis"
"375"	"b"	"Burun-, Burunik"	""	"critical (in a crisis)"
"376"	"b"	"Burun-palutun-flanapausu"	""	"critical care specialist"
"377"	"b"	"Burun-palutun-hassu"	""	"critical care doctor"
"378"	"b"	"Burun-palutun-shal"	""	"critical care unit"
"379"	"b"	"Burun-palutun-shi'has"	""	"critical care center"
"380"	"b"	"Burun-palutunik has-golsu"	""	"critical care nurse"
"381"	"b"	"Busnem"	""	"abortion<ca>(med.)"
"382"	"b"	"Busnem-tor"	""	"abort<ca>(med.)"
"383"	"d"	"D'mallu "	" d --- ' m_ - __u /ï¿½(NGS)ï¿½"	"large, carnivorous Vulcan plant"
"384"	"d"	"D'oh-tor"	""	"confuse, perplex, puzzle"
"385"	"d"	"D'ohan "	" ' d_ - _n /"	"confusion, perplexity, puzzlement"
"386"	"d"	"D'ohik "	" ' d_ - ik /"	"confused, perplexed, puzzled<ca>(adj.)"
"387"	"d"	"Da"	""	"pebble"
"388"	"d"	"Da'Nikhirch--(NGS)ï¿½"	""	"Eye of Fire, Fire-Eye,<ca>ie.<ca>the Vulcan Sun"
"389"	"d"	"Da-fek "	" ' d_ - fek /"	"axle"
"390"	"d"	"Da-kuv "	" d_ - ' kuv /"	"circle<ca>(n.)"
"391"	"d"	"Da-kuv-falek'es"	""	"convection"
"392"	"d"	"Da-kuvau"	""	"circulate"
"393"	"d"	"Da-kuvau-katrom"	""	"circulating current"
"394"	"d"	"Da-kuvau-spol"	""	"circulating pump"
"395"	"d"	"Da-kuvau-torektra"	""	"circulatory system"
"396"	"d"	"Da-kuvaya"	""	"circulation"
"397"	"d"	"Da-kuvayek"	""	"circulator"
"398"	"d"	"Da-nel"	""	"cycle<ca>(n.)"
"399"	"d"	"Da-nel-, Da-nelik"	""	"cyclic<ca>(adj.)"
"400"	"d"	"Da-rala-hali, Da-rala-hashek"	""	"helicopter"
"401"	"d"	"Da-sfek"	""	"axis"
"402"	"d"	"Da-sfek-lerakovayek"	""	"axial compressor"
"403"	"d"	"Da-sfek-mishu"	""	"axial engine"
"404"	"d"	"Da-sfek-tavat"	""	"axial ratio"
