"FRST_LETTER"	"fse"	"domain"	"vulcan"
"48"	"a"	"Above"	"prep."	"abru'"
"49"	"a"	"Abrachia"	NA	"fam-karlar"
"50"	"a"	"Abrade"	NA	"grashau"
"51"	"a"	"Abranchiate"	NA	"masu-eshanek-famik"
"52"	"a"	"Abrasion"	NA	"grashaya"
"53"	"a"	"Abrasive"	NA	"grashau-, grashauk(adj.); grashayek(n.)"
"54"	"a"	"Abroad"	"adj., adv."	"mesmasutraik"
"55"	"a"	"Abscess"	NA	"pi'tak"
"56"	"a"	"Abscissa"	NA	"pa'ash-sfek-pit"
"57"	"a"	"Abscission"	"bot."	"kas-krus-fosha"
"58"	"a"	"Absence"	NA	"tadek-adir'es"
"59"	"a"	"Absent"	NA	"tadek-adir(anc.)"
"60"	"a"	"Absolute"	"adj."	"ek'es-, ek'esik"
"61"	"a"	"Absolute age"	NA	"ek'es-ya'shakhuv"
"62"	"a"	"Absolute ceiling"	NA	"ek'es-pid-tin"
"63"	"a"	"Absolute coefficient"	NA	"ek'es-kakratulek"
"64"	"a"	"Absolute convergence"	NA	"ek'es-teretaya"
"65"	"a"	"Absolute humidity"	NA	"ek'esik masu'es"
"66"	"a"	"Absolute magnitude"	NA	"ek'esik pul'es"
"67"	"a"	"Absolute majority"	NA	"ek'es-danan"
"68"	"a"	"Absolute power"	NA	"ek'es-tepul"
"69"	"a"	"Absolute pressure"	NA	"ek'es-saris-vihish"
"70"	"a"	"Absolute temperature"	NA	"ek'esik falek'es"
"71"	"a"	"Absolute value"	NA	"ek'es-tala"
"72"	"a"	"Absolute weight"	NA	"ek'es-rasath"
"73"	"a"	"Absolute zero"	NA	"ek'es-ris"
"74"	"a"	"Absorb"	NA	"viseshau"
"75"	"a"	"Absorbent"	NA	"viseshau-, viseshauk(adj.); viseshayek(n.)"
"76"	"a"	"Absorption"	NA	"viseshaya"
"77"	"a"	"Absorption band"	NA	"viseshau-zhel"
"78"	"a"	"Absorption coefficient"	NA	"viseshau-kakratulek"
"79"	"a"	"Absorption edge"	NA	"viseshau-rihk"
"80"	"a"	"Absorption lines"	NA	"viseshau-zehllar"
"81"	"a"	"Absorption spectrum"	NA	"viseshau-kurtra"
"82"	"a"	"Absorption tube"	NA	"viseshau-mev"
"83"	"a"	"Abundance"	NA	"mau-yan'es"
"84"	"a"	"Abundant"	NA	"mau-yan-, mau-yanik"
"85"	"a"	"Abuse"	NA	"tamadaya(n.), tamadau(v.)"
"86"	"a"	"Abut"	NA	"kwenitor"
"87"	"a"	"Abutment"	NA	"kwenikek"
"88"	"a"	"Abyss"	NA	"gosh"
"89"	"a"	"Abyssal"	NA	"gosh-, goshik"
"90"	"a"	"Abyssal-benthic"	NA	"glu-gosh-, glu-goshik"
"91"	"a"	"Abyssal-benthic zone"	NA	"glu-gosh-shal"
"92"	"a"	"Abyssal deposits"	NA	"gosh-titayalar"
"93"	"a"	"Abyssal hill"	NA	"gosh-kunel"
"94"	"a"	"Abyssal plain"	NA	"gosh-eiktra"
"95"	"a"	"Abyssopelagic"	NA	"|glu-|gosh-masutraik"
"96"	"a"	"Abyssopelagic zone"	NA	"|glu-|gosh-masutraik shal"
"97"	"a"	"Academy"	NA	"|tren-|shi'oren, ski'flana-oren(obs.)"
"98"	"a"	"Acataphasia"	NA	"rish-nahp-nosh"
"99"	"a"	"Accelerant"	NA	"sahrau-tukh"
"100"	"a"	"Accelerate"	NA	"sahrau"
"101"	"a"	"Acceleration"	NA	"sahraya"
"102"	"a"	"Acceleration stress"	NA	"sahrau-hishel"
"103"	"a"	"Acceleration tolerance"	NA	"sahrau-wivel'es"
"104"	"a"	"Accelerator"	NA	"sahrayek"
"105"	"a"	"Accelerometer"	NA	"sahrau-thonek"
"106"	"a"	"Accent"	"speech"	"gen-speshan"
"107"	"a"	"Accept"	NA	"nar-tor"
"108"	"a"	"Acceptance"	NA	"naran"
"109"	"a"	"Accepted, to be"	NA	"punar-tor"
"110"	"a"	"Access"	NA	"thro(n.), thro-tor(v.)"
"111"	"a"	"Access panel"	NA	"thro-wein"
"112"	"a"	"Accessible"	NA	"thro-yehat"
"113"	"a"	"Accident"	NA	"kisheya"
"114"	"a"	"Accidental"	"adj."	"kisheik"
"115"	"a"	"Acclimation"	NA	"noshtra-rubilaya"
"116"	"a"	"Accommodate"	NA	"spohkunolau"
"117"	"a"	"Accompaniment"	NA	"sailaya"
"118"	"a"	"Accompanist"	NA	"sailausu"
"119"	"a"	"Accompany"	NA	"sailau"
"120"	"a"	"Accomplice"	NA	"ksaigolsu"
"121"	"a"	"Accomplish"	NA	"wenator"
"122"	"a"	"According to"	NA	"fupa s'"
"123"	"a"	"Accordion"	NA	"uh'kordiuhn"
"124"	"a"	"Account"	"n."	"khrosahp"
"125"	"a"	"Accountant"	NA	"khrosahpsu"
"126"	"a"	"Accretion"	NA	"fito'ovaya"
"127"	"a"	"Accretion disk"	NA	"fito'ov-mathra"
"128"	"a"	"Accumulate"	NA	"hoknau; tabrukau"
"129"	"a"	"Accumulation"	NA	"hoknaya; tabrukaya"
"130"	"a"	"Accumulator"	NA	"kipof(elect.); tabrukayek(mech.)"
"131"	"a"	"Accusation"	NA	"namihfaya"
"132"	"a"	"Accuse"	NA	"namihfau"
"133"	"a"	"Ace"	"top pilot"	"naasu"
"134"	"a"	"Acellular"	NA	"rinalaik"
"135"	"a"	"Acerophobia"	NA	"sfith-pthak"
"136"	"a"	"Acetic acid"	NA	"sfith-masu-sash"
"137"	"a"	"Acetone"	NA	"nen-nalesh|-tukh|"
"138"	"a"	"Acetylene"	NA	"mimo-tukh"
"139"	"a"	"Acetylene tank"	NA	"mimo-tukh-tuhlek"
"140"	"a"	"Acetylene torch"	NA	"mimo-tukh-yonek"
"141"	"a"	"Ache"	NA	"sut(n.); suh(v.)"
"142"	"a"	"Achieve"	NA	"srasha"
"143"	"a"	"Achievement"	NA	"srashiv"
"144"	"a"	"Achluophobia"	NA	"mu'gel-pthak"
"145"	"a"	"Achondrite"	NA	"kzanok"
"146"	"a"	"Achromasia"	NA	"spoh-wadi-nosh"
"147"	"a"	"Acid"	NA	"sash(compound), sash-masu(solution)"
"148"	"a"	"Acid dye"	"n."	"sash-kur-tukh"
"149"	"a"	"Acid rain"	"n."	"sash-sov-masu"
"150"	"a"	"Acid salts"	NA	"sash-alemu"
"151"	"a"	"Acid waste"	NA	"sash-guhsh"
"152"	"a"	"Acidemia"	NA	"pid-sash-nosh"
"153"	"a"	"Acidic"	NA	"sash-, sashik"
"154"	"a"	"Acidity"	NA	"sash'es"
"155"	"a"	"Acidosis"	NA	"ritsuri-sash-nosh"
"156"	"a"	"Acknowledge"	NA	"nafai-tor"
"157"	"a"	"Acknowledg"	"e"	"nafai"
"158"	"a"	"Acknowledg"	"e"	"nafai-glantokaya"
"159"	"a"	"Acolyte"	NA	"odva-dvinsu"
"160"	"a"	"Acorn"	NA	"ei'korn |ok-kov-savas|"
"161"	"a"	"Acoustic amplifier"	NA	"ralash-ashenayek"
"162"	"a"	"Acoustic distortion"	NA	"ralash-saznek"
"163"	"a"	"Acoustic feedback"	NA	"ralash-pla'fun"
"164"	"a"	"Acoustic filter"	NA	"ralash-kapol"
"165"	"a"	"Acoustic guitar"	NA	"el'ruhik gitar"
"166"	"a"	"Acoustic resonance"	NA	"ralash-kusilaya"
"167"	"a"	"Acoustic signature"	NA	"ralash-vestra"
"168"	"a"	"Acoustic spectrum"	NA	"ralash-saktra"
"169"	"a"	"Acoustic tile"	NA	"ralash-visesh-kulk"
"170"	"a"	"Acousticophobia"	NA	"ralash-pthak"
"171"	"a"	"Acoustics"	"study"	"ralash-tal"
"172"	"a"	"Acquire"	NA	"prah"
"173"	"a"	"Acquired behavior"	NA	"prahl-kloshai"
"174"	"a"	"Acquired characteristics"	NA	"prahl-noshtralar"
"175"	"a"	"Acquired Immune Deficiency Syndrome "	"A.I.D.S."	"Kath-Vuk t'Prahl-Tefosh'es-Pafam'es |KV-PTP|"
"176"	"a"	"Acquired immunity"	NA	"prahl-tefosh'es"
"177"	"a"	"Acquisition"	NA	"prai"
"178"	"a"	"Acquisition of signal "	"AOS"	"glantokaya-prai"
"179"	"a"	"Acrobat"	NA	"sagrastil'es-vo'ektau-torpersu"
"180"	"a"	"Acrophobia"	NA	"pidek-pthak"
"181"	"a"	"Acropetal"	NA	"na'umik"
"182"	"a"	"Across"	"prep."	"mes'"
"183"	"a"	"Act"	"n., deed"	"toper"
"184"	"a"	"Act"	"v."	"per-tor(behave, perform); torah(produce an effect)"
"185"	"a"	"Actinic radiation"	NA	"glakuv-saya"
"186"	"a"	"Actinic rays"	NA	"glakuv-ha'zehllar"
"187"	"a"	"Actinium"	NA	"r'dahn-tukh"
"188"	"a"	"Actinobiology"	NA	"saya-fiha-tal"
"189"	"a"	"Actinodermatitis"	NA	"saya-wadi-yonshaya; yel-wadi-yontaya; yel-wadi-yonshaya"
"190"	"a"	"Actinoid"	"zool."	"yel-shidik"
"191"	"a"	"Actinomycosis"	NA	"halek-talvot-has"
"192"	"a"	"Actinotherapy"	NA	"ha'zehl-ben-gun"
"193"	"a"	"Action"	NA	"torai"
"194"	"a"	"Activate"	NA	"vitorau"
"195"	"a"	"Activated carbon"	NA	"vitor-nol-tukh"
"196"	"a"	"Activated charcoal"	NA	"vitor-yonol-tukh"
"197"	"a"	"Activation"	NA	"vitoraya"
"198"	"a"	"Activator"	NA	"torai-vel(elect., mech.); vitorayek(biol., chem.)"
"199"	"a"	"Active"	NA	"torupik"
"200"	"a"	"Active array"	NA	"torupik zehlaya"
"201"	"a"	"Active device"	NA	"torupik el'mish"
"202"	"a"	"Active electrode"	NA	"torupik narafek"
"203"	"a"	"Active fault"	NA	"torupik dvun-zehl"
"204"	"a"	"Active filter"	NA	"torupik kapol"
"205"	"a"	"Active margin"	NA	"torupik rihkal"
"206"	"a"	"Active resistance"	NA	"torupik tehnaya"
"207"	"a"	"Active volcano"	NA	"torupik zul-kunel"
"208"	"a"	"Activity"	NA	"toran"
"209"	"a"	"Activity coefficient"	NA	"toran-kakratulek"
"210"	"a"	"Actor"	NA	"sa-per-ithop(TGV), sa-persu(MGV)"
"211"	"a"	"Actress"	NA	"ko-per-ithop(TGV), ko-persu(MGV)"
"212"	"a"	"Actuate"	NA	"tordvun-tor"
"213"	"a"	"Actuator"	NA	"tordvunek"
"214"	"a"	"Acuity"	NA	"zat'es"
"215"	"a"	"Aculeate"	"biol."	"salum-, salumik"
"216"	"a"	"Acuminate"	"adj."	"wu-sfekik"
"217"	"a"	"Acupria"	"Vulcan \"anemia\""	"fam-khaf-meil |svi'hasular k'yar-khaf-nalalar|"
"218"	"a"	"Acupuncture"	NA	"lum-ben-gun"
"219"	"a"	"Acutance"	NA	"glakuv-zat'es"
"220"	"a"	"Acute"	"adj."	"zat|-|"
"221"	"a"	"Acute angle"	NA	"zat-vulu"
"222"	"a"	"Acylic"	"bot."	"kulanik"
"223"	"a"	"Adage"	NA	"bervun"
"224"	"a"	"Adapt"	NA	"rubilau"
"225"	"a"	"Adaptation"	NA	"rubilaya"
"226"	"a"	"Adapter, Adaptor"	NA	"rubilau-vel"
"227"	"a"	"Adaptive array"	NA	"rubilau-zehlaya"
"228"	"a"	"Adaptive radiation"	NA	"rubilau-saya"
"229"	"a"	"Adaxial"	"biol."	"na-da-sfekik"
"230"	"a"	"Add"	"v."	"hau"
"231"	"a"	"Add on"	NA	"fihau"
"232"	"a"	"Addend"	NA	"hau-vel"
"233"	"a"	"Addict"	NA	"tessausu(n.); tessau(v.)"
"234"	"a"	"Addiction"	NA	"tessaya"
"235"	"a"	"Addition"	NA	"haya"
"236"	"a"	"Additional"	NA	"hayaik"
"237"	"a"	"Additive function"	"math."	"hau-is-kek"
"238"	"a"	"Additive process"	NA	"hau-torek"
"239"	"a"	"Address"	NA	"shi'yavekh(n.); varahmau(v., speak to)"
"240"	"a"	"Adduction"	NA	"na-dvunel, vi'le-dvunel"
"241"	"a"	"Adductor"	NA	"na-dvunek, vi'le-dvunek"
"242"	"a"	"Adendritic"	NA	"wel-gel-famik"
"243"	"a"	"Adenitis"	NA	"pi'nafek-yonshaya"
"244"	"a"	"Adenoid"	NA	"za-han-pi'nafek"
"245"	"a"	"Adept"	"adj."	"ek'renkupik"
"246"	"a"	"Adequate"	NA	"khevsur-, khevsurik"
"247"	"a"	"Adhere"	NA	"terpau"
"248"	"a"	"Adhesion"	NA	"terpaya"
"249"	"a"	"Adhesive"	"n."	"terpayek"
"250"	"a"	"Adhesive tape"	NA	"terzhel"
"251"	"a"	"Adiabatic"	"adj."	"ri-falek'es-di'kizhik"
"252"	"a"	"Adiabatic change"	NA	"ri-falek'es-di'kizhik rubah"
"253"	"a"	"Adiabatic compressibility"	NA	"ri-falek'es-di'kizhik lerakh-yehat'es"
"254"	"a"	"Adiabatic equation"	NA	"ri-falek'es-di'kizhik vo'ihn"
"255"	"a"	"Adiabatic lapse rate"	NA	"ri-falek'es-di'kizhik sov-shen-tav"
"256"	"a"	"Adiabatic process"	NA	"ri-falek'es-di'kizhik torek"
"257"	"a"	"Adiactinic"	NA	"ri-ha'gel-torupik"
"258"	"a"	"Adipose"	NA	"thel'upik"
"259"	"a"	"Adipose tissue"	NA	"thel'upik nalatra"
"260"	"a"	"Adiposity"	NA	"thel'up'es"
"261"	"a"	"Adit"	NA	"ek'tukh-razh; thro-ur(LGV)"
"262"	"a"	"Adjacent"	"adj."	"be-, beik"
"263"	"a"	"Adjacent to"	"prep."	"be'"
"264"	"a"	"Adjective"	NA	"rub-zhit"
"265"	"a"	"Adjust"	NA	"namishau"
"266"	"a"	"Adjustable"	NA	"namishau-yehat"
"267"	"a"	"Adjustment"	NA	"namishaya"
"268"	"a"	"Administer"	NA	"ekhartau"
"269"	"a"	"Administration"	NA	"ekhartaya"
"270"	"a"	"Administrator"	NA	"ekhartausu"
"271"	"a"	"Admiral"	NA	"halitra-lan"
"272"	"a"	"Admiral, Fleet"	NA	"ek'halitra-lan"
"273"	"a"	"Admiral, Rear"	NA	"nik'el-lan"
"274"	"a"	"Admiral, Vice"	NA	"shaltra-lan"
"275"	"a"	"Admire"	NA	"doromnah-tor"
"276"	"a"	"Adnation"	NA	"kaunshaya t'rikahk-kruslar"
"277"	"a"	"Adobe "	"brick"	"uh'dobi, a'dobei |vrel-dok|"
"278"	"a"	"Adopt"	NA	"thanai"
"279"	"a"	"Adopted"	"adj."	"thanayal-, thanayalik"
"280"	"a"	"Adopted child"	NA	"thanayal-kan"
"281"	"a"	"Adoption"	NA	"thanah"
"282"	"a"	"Adoral"	"adj."	"be'ru'lutik"
"283"	"a"	"Adoration"	NA	"kerashaya"
"284"	"a"	"Adore"	NA	"kerashau"
"285"	"a"	"Adrenal gland"	NA	"abru-kapol-nafek"
"286"	"a"	"Adrift"	"adj."	"rikifitan-, rikifitanik"
"287"	"a"	"Adsorb"	NA	"fiterpau"
"288"	"a"	"Adsorbent"	"n."	"fiterpayek"
"289"	"a"	"Adsorption"	NA	"fiterpaya"
"290"	"a"	"Adult"	"n."	"to'oveh"
"291"	"a"	"Advance"	NA	"storilaya(n.), storilau(v.)"
"292"	"a"	"Advanced"	"adj."	"storil|-|"
"293"	"a"	"Advanced tactical fighter "	"ATF"	"storil-ask'plakik puk-hali"
"294"	"a"	"Advantage"	"n."	"plik"
"295"	"a"	"Advection"	NA	"sov-yutik-dvun"
"296"	"a"	"Advection fog"	NA	"ihsek s'lamekh-masu-sov mes'samek-solektra il masutra"
"297"	"a"	"Advent"	"n."	"wak-krus t'okeshtan-bek"
"298"	"a"	"Adventure"	"n."	"dailissak"
"299"	"a"	"Adverb"	NA	"nosh-zhit"
"300"	"a"	"Adversary"	NA	"hahf"
"301"	"a"	"Advertise"	NA	"karbumagau"
"302"	"a"	"Advertisement"	NA	"karbumagaya"
"303"	"a"	"Advice"	NA	"na'shikh(anc.)"
"304"	"a"	"Advise"	NA	"na'shikhau"
"305"	"a"	"Advisor"	NA	"na'shikhausu"
"306"	"a"	"Advocacy"	NA	"nenastarun"
"307"	"a"	"Advocate"	NA	"nenastaribsu(n.); nenastariben(v.)"
"308"	"a"	"Adze"	NA	"lapan-shidek"
"309"	"a"	"Aegis"	NA	"lekva"
"310"	"a"	"Aeolian deposit"	NA	"salan-titaya"
"311"	"a"	"Aeolian tone"	NA	"salan-molu"
"312"	"a"	"Aerate"	NA	"sov-tan-tor"
"313"	"a"	"Aerated concrete"	NA	"sov-tan-nok"
"314"	"a"	"Aeration"	NA	"sov-tanan"
"315"	"a"	"Aerator"	NA	"sov-tanek"
"316"	"a"	"Aerial"	"adj."	"sov-, sovik; hash-, hashik"
"317"	"a"	"Aerial"	"antenna"	"|pi'|kash-gel"
"318"	"a"	"Aerie, Eyrie"	NA	"pid-ki'an |t'skyem-kushel|"
"319"	"a"	"Aerobe"	NA	"sov-ha-vel"
"320"	"a"	"Aerobic"	"adj."	"sov-ladik"
"321"	"a"	"Aerodynamic balance"	NA	"sov-dvun-vo'ektaya"
"322"	"a"	"Aerodynamic braking"	NA	"igen-tukh-vohraun"
"323"	"a"	"Aerodynamic heat transfer"	NA	"sov-dvunik falek-shan"
"324"	"a"	"Aerodynamic heating"	NA	"sov-dvun-falekan"
"325"	"a"	"Aerodynamics"	NA	"sov-dvun-tal"
"326"	"a"	"Aerodyne"	NA	"ras-sov-hali"
"327"	"a"	"Aerofoil"	NA	"aberala"
"328"	"a"	"Aerolite"	NA	"kov-tevlak"
"329"	"a"	"Aerology"	NA	"|ek'|sov-tal"
"330"	"a"	"Aeronautics"	NA	"hash-tal"
"331"	"a"	"Aerophagy"	NA	"sov-yokulan"
"332"	"a"	"Aeroplane"	"obs."	"sov-hashek"
"333"	"a"	"Aerosol"	"n."	"svi-sov-saganalek"
"334"	"a"	"Aerosolization"	NA	"svi-sov-saganaya"
"335"	"a"	"Aerosolize"	NA	"svi-sov-saganau"
"336"	"a"	"Aerosolized"	NA	"svi-sov-saganalik"
"337"	"a"	"Aerospace"	NA	"sov-stukh"
"338"	"a"	"Aerostat"	NA	"ta'hal-sov-hali"
"339"	"a"	"Aerothermodynamics"	NA	"sov-falek-tal"
"340"	"a"	"Aestival"	"adj."	"falek-wakik"
"341"	"a"	"Afebrile"	NA	"tau-fam-, tau-famik"
"342"	"a"	"Affair"	NA	"ukhru-vishan(anc.)"
"343"	"a"	"Affect"	NA	"dau"
"344"	"a"	"Affix"	NA	"terek(n.); terek-tor(v.)"
"345"	"a"	"Afflict"	NA	"rasahdau"
"346"	"a"	"Affliction"	NA	"rasahdaya"
"347"	"a"	"Afforestation"	NA	"laptra-storaya"
"348"	"a"	"Aflagellar"	NA	"dvunel-pi'harr-famik"
"349"	"a"	"Afloat"	"adj."	"markauli"
"350"	"a"	"Afraid"	NA	"kwes|-|"
"351"	"a"	"Africa"	NA	"Ahfrikuh"
"352"	"a"	"African"	NA	"ahfrikan-, ahfrikanik(adj.); ahfrikansu(n.)"
"353"	"a"	"African-American"	NA	"ahfrikuh-uhmerikan-, ahfrikuh-uhmerikanik(adj.); ahfrikuh-uhmerikasu(n.)"
"354"	"a"	"Aft"	NA	"za'le(adv.); za-krus(n.)"
"355"	"a"	"Aft parabolic thruster"	NA	"za-dahkvalu-kwitek"
"356"	"a"	"Aft plasma vent"	NA	"za-snazh-krau"
"357"	"a"	"Aft thruster assembly"	NA	"za-kwitek-feretai"
"358"	"a"	"Aft thruster compartment"	NA	"za-kwitek-sutauk"
"359"	"a"	"Aft thrusters"	NA	"za-kwiteklar"
"360"	"a"	"After"	NA	"po'(prep.); po-(combining form)"
"361"	"a"	"Afterbirth"	NA	"po-tukh"
"362"	"a"	"Afterburner"	NA	"saguhsh-yontayek"
"363"	"a"	"Afterburning"	NA	"saguhsh-yontauk(adj.); saguhsh-yontaya(n.)"
"364"	"a"	"Afterdamp"	NA	"dah-eshu t'nol-tukh"
"365"	"a"	"Aftereffect"	NA	"po-daya"
"366"	"a"	"Afterimage"	NA	"po-glakuv"
"367"	"a"	"Afterlife"	NA	"po-ha'kiv"
"368"	"a"	"Aftermath"	NA	"po-wak"
"369"	"a"	"Afternoon"	NA	"aru(anc.)"
"370"	"a"	"Aftershock"	NA	"po-hutaya"
"371"	"a"	"Afterwards"	NA	"po'le"
"372"	"a"	"Again"	NA	"va'ashiv"
"373"	"a"	"Against"	"prep."	"tehn'"
"374"	"a"	"Agalactia"	NA	"fam-thas-nosh"
"375"	"a"	"Agate"	NA	"grut"
"376"	"a"	"Agateophobia"	NA	"rikohs'es-pthak"
"377"	"a"	"Age"	NA	"ya'shakhuv(n., time lived); pal(n., period/era); ya'shakhvau(v.)"
"378"	"a"	"Agenesis"	NA	"ritveshu"
"379"	"a"	"Agency"	NA	"svisolaizhak(government), svizhak(company)"
"380"	"a"	"Agent"	"person"	"svisolaisu"
"381"	"a"	"Agglutinate"	NA	"navihkau"
"382"	"a"	"Agglutination"	NA	"navihkaya"
"383"	"a"	"Agglutinin"	NA	"vihk-tukh"
"384"	"a"	"Agglutinogen"	NA	"vihk-tukh-torek"
"385"	"a"	"Aggravated"	"adj."	"katachik"
"386"	"a"	"Aggregate"	NA	"karf-kov(n., geol.); karf-tor(v.)"
"387"	"a"	"Aggregation"	NA	"karfak"
"388"	"a"	"Aggression"	NA	"kresan"
"389"	"a"	"Aggressive"	"adj."	"kres-, kresik"
"390"	"a"	"Aggressive behavior"	NA	"kres-kloshai"
"391"	"a"	"Aggressive mimicry"	NA	"kres-va'amaya"
"392"	"a"	"Agile"	NA	"sagrastil-, sagrastilik"
"393"	"a"	"Agility"	NA	"sagrastil'es"
"394"	"a"	"Aging"	"n."	"shakhuvaya"
"395"	"a"	"Agitate"	NA	"pahutau"
"396"	"a"	"Agitated"	"adj."	"pahutalik"
"397"	"a"	"Agliophobia"	NA	"kusut-pthak"
"398"	"a"	"Agnosia"	NA	"fam-naglashaya-nosh"
"399"	"a"	"Ago"	NA	"vesh"
"400"	"a"	"Agony"	NA	"hakusut"
"401"	"a"	"Agoraphobia"	NA	"tu'ashal-pthak"
"402"	"a"	"Agraphia"	NA	"fam-kitaya-nosh"
"403"	"a"	"Agree"	NA	"sep-wafikh(anc.)"
"404"	"a"	"Agreement"	NA	"sep-wafikhan"
"405"	"a"	"Agrestal"	NA	"risokasitalik"
"406"	"a"	"Agriculture"	NA	"urokasaya"
"407"	"a"	"Agrizoophobia"	NA	"kwai-aushfa-pthak"
"408"	"a"	"Agroecosystem"	NA	"urozh-ha-ek'torektra"
"409"	"a"	"Agronomist"	NA	"urozh-solek-talsu"
"410"	"a"	"Agronomy"	NA	"urozh-solek-tal"
"411"	"a"	"Aground"	"adj."	"fisolektal-, fisolektalik"
"412"	"a"	"Ah"	NA	"ii"
"413"	"a"	"Aichmophobia"	NA	"sfek-vel-pthak"
"414"	"a"	"Aid"	NA	"gol'nev(n.), gol-tor(v.); mamut(n., obs.), mamuk(v., obs.)"
"415"	"a"	"Aide"	NA	"gol'nevsu"
"416"	"a"	"Aileron"	NA	"padukau-rala"
"417"	"a"	"Ailment"	NA	"has-mar"
"418"	"a"	"Ailurophobia"	NA	"kaht-pthak"
"419"	"a"	"Aim"	NA	"mokh(n.), mokh-tor(v.)"
"420"	"a"	"Air"	"n."	"sov"
"421"	"a"	"Air absorption"	NA	"sov-vi-seshaya"
"422"	"a"	"Air bladder"	NA	"sov-sa'haf"
"423"	"a"	"Air brake"	"n., aero."	"sov-vohrayek"
"424"	"a"	"Air-breathing"	"adj."	"sov-eshan-, sov-eshanik"
"425"	"a"	"Air brush"	"n."	"sov-achut"
"426"	"a"	"Air cleaner"	NA	"sov-puyek"
"427"	"a"	"Air combat"	NA	"sov-morov"
"428"	"a"	"Air combat manuvering "	"ACM"	"sov-morov-khardvuyan"
"429"	"a"	"Air compressor"	NA	"sov-lerakovayek"
"430"	"a"	"Air conditioner"	NA	"sov-noshek"
"431"	"a"	"Air conditioning"	NA	"sov-noshaya"
"432"	"a"	"Air conditioning duct"	NA	"sov-noshau-mev"
"433"	"a"	"Air dry"	"v."	"sov-psethau"
"434"	"a"	"Air duct"	NA	"sov-mev"
"435"	"a"	"Air embolism"	NA	"sovik khaf-mev-klotaya"
"436"	"a"	"Air filter"	NA	"sov-kapol"
"437"	"a"	"Air force "	"AF"	"sov-halitra"
"438"	"a"	"Air force base "	"AFB"	"sov-halitra-sunena"
"439"	"a"	"Air intake"	NA	"sov-prah-vel"
"440"	"a"	"Air intercept missile "	"AIM"	"sov-fnakaunik yon-kliton"
"441"	"a"	"Air intercept rocket "	"AIR"	"sov-fnakaunik yon-hashek"
"442"	"a"	"Air-launched booster "	"ALB"	"sov-spusau-aborayek"
"443"	"a"	"Air-launched vehicle "	"ALV"	"sov-spusau-hali"
"444"	"a"	"Air mass"	NA	"sov-vak"
