"FRST_LETTER"	"vulcan"	"variety"	"pos"	"croftian_crossling_concepts"	"fse"
"38"	"a"	"Abru-ahs|-hinek| "	"MGV"	"n."	"OBJ.CONC"	"maxilla"
"39"	"a"	"Abru-kapol-nafek "	"MGV"	"n."	"OBJ.CONC"	"adrenal gland"
"40"	"a"	"Abru-kar-hinek "	"MGV"	"n."	"OBJ.CONC"	"humerus"
"41"	"a"	"Abru-mal "	"MGV"	"n."	"OBJ.CONC"	"thigh"
"42"	"a"	"Abru-mal-hinek "	"MGV"	"n."	"OBJ.CONC"	"femur, thighbone"
"43"	"a"	"Abru-mes "	"MGV"	"n."	"OBJ.CONC"	"crossover"
"44"	"a"	"Abru-ralashik "	"MGV"	"adj."	"PROP.CONC"	"supersonic"
"45"	"a"	"Abru-ralashik ifis-hali "	"MGV"	"n."	"OBJ.CONC"	"supersonic transport (SST)"
"46"	"a"	"Abru-spis "	"MGV"	"n."	"OBJ.CONC"	"anticline"
"47"	"a"	"Abru-su'us "	"MGV"	"n."	"OBJ.CONC"	"numerator"
"48"	"a"	"Abru-tchakat "	"MGV"	"n."	"OBJ.CONC"	"camber"
"49"	"a"	"Abru-tus "	"MGV"	"n."	"OBJ.CONC"	"overload"
"50"	"a"	"Abru-tus-nelayek "	"MGV"	"n."	"OBJ.CONC"	"overload suppressor"
"51"	"a"	"Abru-tus-tor "	"MGV"	"v."	"ACT.CONC"	"overload"
"52"	"a"	"Abru-tvi-kovtra "	"MGV"	"n."	"OBJ.CONC"	"asthenosphere"
"53"	"a"	"Abru-vulu "	"MGV"	"n."	"OBJ.CONC"	"obtuse angle"
"54"	"a"	"Abru-yetural-, Abru-yeturalik "	"MGV"	"adj."	"PROP.CONC"	"overdriven"
"55"	"a"	"Abru-zan-mev "	"MGV"	"n."	"OBJ.CONC"	"periscope"
"56"	"a"	"Abrukhau "	"MGV"	"v."	"ACT.CONC"	"dominate"
"57"	"a"	"Abrumashen-, abrumashenik "	"MGV"	"adj."	"PROP.CONC"	"awash"
"58"	"a"	"Abruneniwau "	"MGV"	"v."	"ACT.CONC"	"supervise"
"59"	"a"	"Abruneniwausu "	"MGV"	"n."	"OBJ.CONC"	"supervisor"
"60"	"a"	"Abrupik "	"MGV"	"adj."	"PROP.CONC"	"dominant"
"61"	"a"	"Abrupodon "	"MGV"	"n."	"OBJ.CONC"	"profit"
"62"	"a"	"Abruven-esh-nosh "	"MGV"	"n."	"OBJ.CONC"	"orthopnea"
"63"	"a"	"Absakau "	"MGV"	"v."	"ACT.CONC"	"raid"
"64"	"a"	"Absakausu "	"MGV"	"n."	"OBJ.CONC"	"raider, marauder"
"65"	"a"	"Abu, Abu' "	"MGV"	"prep."	"SITU.MOD"	"up"
"66"	"a"	"Abu'le "	"MGV"	"prep."	"SITU.MOD"	"upward(s)"
"67"	"a"	"Abu'shi "	"MGV"	"adv."	"SITU.MOD"	"aloft"
"68"	"a"	"Abu'tvau "	"MGV"	"v."	"ACT.CONC"	"swing up"
"69"	"a"	"Abu-dvun-, Abu-dvunik "	"MGV"	"adj."	"PROP.CONC"	"anabatic"
"70"	"a"	"Abu-pla'dor-hinek "	"MGV"	"n."	"OBJ.CONC"	"thoracic vertebra"
"71"	"a"	"Abu-to'ovayak "	"MGV"	"n."	"OBJ.CONC"	"stalagmite"
"72"	"a"	"Abu-tor "	"MGV"	"v."	"ACT.CONC"	"erect, put up"
"73"	"a"	"Abu-vla-nu'leyik "	"MGV"	"adj."	"PROP.CONC"	"upside-down"
"74"	"a"	"Abu-yumaya "	"MGV"	"n."	"OBJ.CONC"	"updraft"
"75"	"a"	"Abuhish "	"MGV"	"n."	"OBJ.CONC"	"upward pressure"
"76"	"a"	"Abukhau "	"MGV"	"v."	"ACT.CONC"	"rule over"
"77"	"a"	"Abulau "	"MGV"	"v."	"ACT.CONC"	"increase"
"78"	"a"	"Abulik "	"MGV"	"adj."	"PROP.CONC"	"vertical"
"79"	"a"	"Abulik sov-razh "	"MGV"	"n."	"OBJ.CONC"	"air pocket"
"80"	"a"	"Abun-dvunek "	"MGV"	"n."	"OBJ.CONC"	"erector"
"81"	"a"	"Abunaf "	"MGV"	"n."	"OBJ.CONC"	"uplink"
"82"	"a"	"Abunuhal-tor "	"MGV"	"v."	"ACT.CONC"	"pitch"
"83"	"a"	"Abunuhalan "	"MGV"	"n."	"OBJ.CONC"	"pitch"
"84"	"a"	"Abusalan-, Abusalanik "	"MGV"	"adj."	"PROP.CONC"	"upwind"
"85"	"a"	"Abuthresha "	"MGV"	"v."	"ACT.CONC"	"throttle up"
"86"	"a"	"Abutsuplau "	"MGV"	"v."	"ACT.CONC"	"surrender"
"87"	"a"	"Abutsuplaya "	"MGV"	"n."	"OBJ.CONC"	"surrender"
"88"	"a"	"Abuvenik "	"MGV"	"adj."	"PROP.CONC"	"upright"
"89"	"a"	"Achut "	"MGV"	"n."	"OBJ.CONC"	"brush"
"90"	"a"	"Af'traul "	"MGV"	"n."	"OBJ.CONC"	"utensil"
"91"	"a"	"Af'tum "	"anc."	"n."	"OBJ.CONC"	"kitchen"
"92"	"a"	"Afer-tor "	"MGV"	"v."	"ACT.CONC"	"establish, found"
"93"	"a"	"Aferal-, Aferalik "	"MGV"	"adj."	"PROP.CONC"	"established, founded"
"94"	"a"	"Aferteraya "	"MGV"	"n."	"OBJ.CONC"	"corporation"
"95"	"a"	"Afsakau "	"MGV"	"v."	"ACT.CONC"	"declare, proclaim"
"96"	"a"	"Afsakaya "	"MGV"	"n."	"OBJ.CONC"	"declaration, proclamation"
"97"	"a"	"Agreibau "	"MGV"	"v."	"ACT.CONC"	"torture"
"98"	"a"	"Agreibaya "	"MGV"	"n."	"OBJ.CONC"	"torture"
"99"	"a"	"Ahahr-tukh "	"MGV"	"n."	"OBJ.CONC"	"rhenium"
"100"	"a"	"Ahkh "	"anc."	"n."	"OBJ.CONC"	"war"
"101"	"a"	"Ahkh-pidsu "	"MGV"	"n."	"OBJ.CONC"	"warlord"
"102"	"a"	"Ahkh-zhagralar "	"MGV"	"n."	"OBJ.CONC"	"wargames"
"103"	"a"	"Ahkhan "	"MGV"	"n."	"OBJ.CONC"	"warfare"
"104"	"a"	"Ahkhinahru "	"anc."	"n."	"OBJ.CONC"	"ancient battlefield psionic warrior"
"105"	"a"	"Ahkhsu "	"MGV"	"n."	"OBJ.CONC"	"warrior"
"106"	"a"	"Ahklavau "	"MGV"	"v."	"ACT.CONC"	"reveal"
"107"	"a"	"Ahl-tukh "	"MGV"	"n."	"OBJ.CONC"	"iridium"
"108"	"a"	"Ahm "	"MGV"	"n."	"OBJ.CONC"	"name"
"109"	"a"	"Ahm-rubah "	"MGV"	"n."	"OBJ.CONC"	"name change"
"110"	"a"	"Ahm-tor "	"MGV"	"v."	"ACT.CONC"	"name"
"111"	"a"	"Ahm-van-kal "	"MGV"	"n."	"OBJ.CONC"	"naming ceremony"
"112"	"a"	"Ahn-vahr "	"anc."	"n."	"OBJ.CONC"	"suicide dagger"
"113"	"a"	"Ahn-wun "	"anc."	"n."	"OBJ.CONC"	"strap-like weapon, often with a weighted end"
"114"	"a"	"Ahs "	"MGV"	"n."	"OBJ.CONC"	"jaw"
"115"	"a"	"Aht'lahntik Masutra "	"MGV"	"n."	"OBJ.CONC"	"Atlantic Ocean"
"116"	"a"	"Aid "	"MGV"	"n."	"OBJ.CONC"	"contentment"
"117"	"a"	"Aidihn|-| "	"MGV"	"adj."	"PROP.CONC"	"contented"
"118"	"a"	"Aifa "	"MGV"	"pron."	"SITU.MOD"	"these"
"119"	"a"	"Aikum "	"MGV"	"n."	"OBJ.CONC"	"moon"
"120"	"a"	"Aikum-ek'duv "	"MGV"	"n."	"OBJ.CONC"	"lunar eclipse"
"121"	"a"	"Aikum-ha'gel "	"MGV"	"n."	"OBJ.CONC"	"moonlight"
"122"	"a"	"Aikum-shen "	"MGV"	"n."	"OBJ.CONC"	"moonrise"
"123"	"a"	"Aikum-solek "	"MGV"	"n."	"OBJ.CONC"	"lunar regolith"
"124"	"a"	"Aikum-tal "	"MGV"	"n."	"OBJ.CONC"	"selenology"
"125"	"a"	"Aikum-tevan "	"MGV"	"n."	"OBJ.CONC"	"moonset"
"126"	"a"	"Ailin-tukh "	"MGV"	"n."	"OBJ.CONC"	"gabbro"
"127"	"a"	"Ain "	"MGV"	"n."	"OBJ.CONC"	"garment"
"128"	"a"	"Aisha "	"MGV"	"v."	"ACT.CONC"	"cause"
"129"	"a"	"Aishan "	"MGV"	"n."	"OBJ.CONC"	"cause"
"130"	"a"	"Aitlu "	"MGV"	"v."	"PREDIC.MODAL"	"desire, want"
"131"	"a"	"Aitlun "	"MGV"	"n."	"OBJ.CONC"	"desire, want"
"132"	"a"	"Ak "	"MGV"	"adv."	"ACT.CONC.MOD"	"soon"
"133"	"a"	"Ak'spra "	"NGS"	"n."	"OBJ.CONC"	"heretic, unorthodox believer"
"134"	"a"	"Ak'wik "	"MGV"	"adj."	"PROP.CONC"	"surprised"
"135"	"a"	"Ak'wik-abrash "	"MGV"	"n."	"OBJ.CONC"	"flash flood"
"136"	"a"	"Ak'wikman "	"MGV"	"v."	"ACT.CONC"	"surprise"
"137"	"a"	"Akali|-| "	"MGV"	"adj."	"PROP.CONC"	"urgent"
"138"	"a"	"Akan|-| "	"MGV"	"adj."	"PROP.CONC"	"alien, ecdemic, exotic (not native)"
"139"	"a"	"Akan-ha-tal "	"MGV"	"n."	"OBJ.CONC"	"xenobiology"
"140"	"a"	"Akan-ha-talsu "	"MGV"	"n."	"OBJ.CONC"	"xenobiologist"
"141"	"a"	"Akan-tor "	"MGV"	"v."	"ACT.CONC"	"alienate"
"142"	"a"	"Akanal-, Akanalik "	"MGV"	"adj."	"PROP.CONC"	"alienated"
"143"	"a"	"Akansu "	"MGV"	"n."	"OBJ.CONC"	"alien"
"144"	"a"	"Akarshif "	"MGV"	"adv."	"ACT.CONC.MOD"	"a long time"
"145"	"a"	"Akhlami "	"MGV"	"prep."	"SITU.MOD"	"among us"
"146"	"a"	"Akteibuhl "	"MGV"	"n."	"OBJ.CONC"	"attainment"
"147"	"a"	"Alakolah "	"MGV"	"v."	"ACT.CONC"	"ripple"
"148"	"a"	"Alakolan "	"MGV"	"n."	"OBJ.CONC"	"ripple"
"149"	"a"	"Alem "	"MGV"	"n."	"OBJ.CONC"	"salt"
"150"	"a"	"Alem'es "	"MGV"	"n."	"OBJ.CONC"	"saltiness, salinity"
"151"	"a"	"Alem-flash "	"MGV"	"n."	"OBJ.CONC"	"mangrove swamp"
"152"	"a"	"Alem-kov "	"MGV"	"n."	"OBJ.CONC"	"halite, rock salt"
"153"	"a"	"Alem-masu "	"MGV"	"n."	"OBJ.CONC"	"saltwater"
"154"	"a"	"Alem-masu-kastra "	"MGV"	"n."	"OBJ.CONC"	"salt (water)"
"155"	"a"	"Alem-sis "	"MGV"	"n."	"OBJ.CONC"	"salt depletion"
"156"	"a"	"Alem-solek "	"MGV"	"n."	"OBJ.CONC"	"saline soil"
"157"	"a"	"Alem-suk'muzh "	"MGV"	"n."	"OBJ.CONC"	"salt lake"
"158"	"a"	"Alem-tukh "	"MGV"	"n."	"OBJ.CONC"	"sodium, natrium"
"159"	"a"	"Alemik "	"MGV"	"adj."	"PROP.CONC"	"salty, saline"
"160"	"a"	"Alemtra "	"MGV"	"n."	"OBJ.CONC"	"sabkha"
"161"	"a"	"Aluk "	"MGV"	"n."	"OBJ.CONC"	"fish"
"162"	"a"	"Aluk-kak "	"MGV"	"n."	"OBJ.CONC"	"fishbowl"
"163"	"a"	"Aluk-kelek "	"MGV"	"n."	"OBJ.CONC"	"aquarium"
"164"	"a"	"Aluk-kum-fek "	"MGV"	"n."	"OBJ.CONC"	"fishing pole"
"165"	"a"	"Aluk-kum-kik "	"MGV"	"n."	"OBJ.CONC"	"fishhook"
"166"	"a"	"Aluk-kum-mashali "	"MGV"	"n."	"OBJ.CONC"	"fishing boat"
"167"	"a"	"Aluk-kum-tor "	"MGV"	"v."	"ACT.CONC"	"fish"
"168"	"a"	"Aluk-kumsu "	"MGV"	"n."	"OBJ.CONC"	"fisherman"
"169"	"a"	"An-bet"	"anc."	"n."	"OBJ.CONC"	"gable"
"170"	"a"	"An-kharkh "	"obs."	"n."	"OBJ.CONC"	"fear"
"171"	"a"	"An-prele "	"NGS"	"n."	"OBJ.CONC"	"pain control meditation"
"172"	"a"	"Andorsu "	"MGV"	"n."	"OBJ.CONC"	"Andorian"
"173"	"a"	"Ap'hashau "	"MGV"	"v."	"ACT.CONC"	"ricochet"
"174"	"a"	"Ap'hashaya "	"MGV"	"n."	"OBJ.CONC"	"ricochet"
"175"	"a"	"Apalikau-zehlanaya "	"MGV"	"n."	"OBJ.CONC"	"startup sequence"
"176"	"a"	"Apalikaya "	"MGV"	"n."	"OBJ.CONC"	"startup, start-up"
"177"	"a"	"Apumeskarau "	"MGV"	"v."	"ACT.CONC"	"take a hold of"
"178"	"a"	"Ar'ka-halek "	"MGV"	"n."	"OBJ.CONC"	"flywheel"
"179"	"a"	"Ar'kada "	"MGV"	"v."	"ACT.CONC"	"work"
"180"	"a"	"Ar'kada-lashi "	"MGV"	"n."	"OBJ.CONC"	"workstation"
"181"	"a"	"Ar'kada-pthak "	"MGV"	"n."	"OBJ.CONC"	"ergophobia"
"182"	"a"	"Ar'kadan "	"MGV"	"n."	"OBJ.CONC"	"work, chore, task, job"
"183"	"a"	"Ar'tu "	"anc."	"n."	"OBJ.CONC"	"project"
"184"	"a"	"Arlanga "	"MGV"	"n."	"OBJ.CONC"	"a Vulcan mountain range"
"185"	"a"	"Arlanga-tukh "	"MGV"	"n."	"OBJ.CONC"	"yttrium"
"186"	"a"	"Aru "	"anc."	"n."	"OBJ.CONC"	"afternoon"
"187"	"a"	"Aru-yem "	"MGV"	"n."	"OBJ.CONC"	"dinner, afternoon meal"
"188"	"a"	"Asal "	"MGV"	"n."	"OBJ.CONC"	"morning"
"189"	"a"	"Asal-masu "	"MGV"	"n."	"OBJ.CONC"	"dew"
"190"	"a"	"Asal-masu-sfek "	"MGV"	"n."	"OBJ.CONC"	"dew point"
"191"	"a"	"Asal-masu-thek "	"MGV"	"n."	"OBJ.CONC"	"dewdrop"
"192"	"a"	"Asal-masu-thonek "	"MGV"	"n."	"OBJ.CONC"	"drosometer"
"193"	"a"	"Asal-yem "	"MGV"	"n."	"OBJ.CONC"	"breakfast, morning meal"
"194"	"a"	"Ash'ai "	"MGV"	"n."	"OBJ.CONC"	"sock, stocking"
"195"	"a"	"Ash'ai-zhel "	"MGV"	"n."	"OBJ.CONC"	"garter"
"196"	"a"	"Ash'el "	"MGV"	"n."	"OBJ.CONC"	"shoe"
"197"	"a"	"Ash'gelfek "	"MGV"	"n."	"OBJ.CONC"	"perch"
"198"	"a"	"Ash'kwitayek "	"MGV"	"n."	"OBJ.CONC"	"pedal"
"199"	"a"	"Ash'ya "	"MGV"	"n."	"OBJ.CONC"	"foot"
"200"	"a"	"Ash'ya-dukal "	"MGV"	"n."	"OBJ.CONC"	"football (the ball)"
"201"	"a"	"Ash'ya-dukal-torvukh "	"MGV"	"n."	"OBJ.CONC"	"football (the sport)"
"202"	"a"	"Ash'ya-fam-, ash'ya-famik "	"MGV"	"adj."	"PROP.CONC"	"apodal, apodous, footless"
"203"	"a"	"Ash'ya-hilek "	"MGV"	"n."	"OBJ.CONC"	"spade"
"204"	"a"	"Ash'ya-sai-vel "	"MGV"	"n."	"OBJ.CONC"	"footwear"
"205"	"a"	"Ash'yaidar "	"MGV"	"n."	"OBJ.CONC"	"footprint"
"206"	"a"	"Ash'yakhut "	"MGV"	"n."	"OBJ.CONC"	"slipper"
"207"	"a"	"Ash-tor "	"MGV"	"v."	"ACT.CONC"	"step, tread"
"208"	"a"	"Ash-vel "	"TGV"	"n."	"OBJ.CONC"	"shoe"
"209"	"a"	"Ashal-, Ashalik "	"MGV"	"adj."	"PROP.CONC"	"(be)loved, darling"
"210"	"a"	"Ashal-veh "	"MGV"	"n."	"OBJ.CONC"	"beloved, darling, sweetheart"
"211"	"a"	"Ashau "	"MGV"	"v."	"ACT.CONC"	"love"
"212"	"a"	"Ashau-krel-masu "	"MGV"	"n."	"OBJ.CONC"	"love potion"
"213"	"a"	"Ashaun-, Ashaunik "	"MGV"	"adj."	"ACT.CONC.MOD"	"loving"
"214"	"a"	"Ashausu "	"MGV"	"n."	"OBJ.CONC"	"lover"
"215"	"a"	"Ashaya-var "	"MGV"	"n."	"OBJ.CONC"	"love story"
"216"	"a"	"Ashen-fau-yut "	"MGV"	"n."	"OBJ.CONC"	"causeway"
"217"	"a"	"Ashen-padukau-rala "	"MGV"	"n."	"OBJ.CONC"	"elevon"
"218"	"a"	"Ashenau "	"MGV"	"v."	"ACT.CONC"	"raise, elevate, amplify"
"219"	"a"	"Ashenayek "	"MGV"	"n."	"OBJ.CONC"	"elevator"
"220"	"a"	"Ashenek "	"MGV"	"n."	"OBJ.CONC"	"exponent"
"221"	"a"	"Ashiv-tor "	"MGV"	"v."	"ACT.CONC"	"repeat"
"222"	"a"	"Ashivau "	"MGV"	"v."	"ACT.CONC"	"iterate"
"223"	"a"	"Ask'er "	"MGV"	"n."	"OBJ.CONC"	"army"
"224"	"a"	"Ask'ersu "	"MGV"	"n."	"OBJ.CONC"	"soldier"
"225"	"a"	"Ask'ersu-kelek "	"MGV"	"n."	"OBJ.CONC"	"barracks"
"226"	"a"	"Ask'ersu-leshek "	"MGV"	"n."	"OBJ.CONC"	"troop carrier"
"227"	"a"	"Ask'plak-, Ask'plakik "	"MGV"	"adj."	"PROP.CONC"	"tactical"
"228"	"a"	"Ask'plak-galu-wun "	"MGV"	"n."	"OBJ.CONC"	"tactical nuclear weapon"
"229"	"a"	"Ask'plak-lansu "	"MGV"	"n."	"OBJ.CONC"	"tactical officer"
"230"	"a"	"Ask'plak-lashi "	"MGV"	"n."	"OBJ.CONC"	"tactical station"
"231"	"a"	"Ask'plakanu "	"MGV"	"n."	"OBJ.CONC"	"tactics"
"232"	"a"	"Aski|-| "	"MGV"	"adj."	"PROP.CONC"	"mighty, military"
"233"	"a"	"Askital "	"MGV"	"n."	"OBJ.CONC"	"military"
"234"	"a"	"Asklotau "	"MGV"	"v."	"ACT.CONC"	"blockade"
"235"	"a"	"Asklotaya "	"MGV"	"n."	"OBJ.CONC"	"blockade"
"236"	"a"	"Asteronau "	"MGV"	"v."	"ACT.CONC"	"attach"
"237"	"a"	"Asteronau-mof "	"MGV"	"n."	"OBJ.CONC"	"clevis pin"
"238"	"a"	"Asteronaya "	"MGV"	"n."	"OBJ.CONC"	"attachment"
"239"	"a"	"Asteronaya-sfek "	"MGV"	"n."	"OBJ.CONC"	"attachment point"
"240"	"a"	"Au "	"MGV"	"pron."	"OBJ.CONC"	"them, they"
"241"	"a"	"Aukh "	"MGV"	"n."	"OBJ.CONC"	"gypsum"
"242"	"a"	"Ausham "	"MGV"	"n."	"OBJ.CONC"	"venom"
"243"	"a"	"Aushfa "	"MGV"	"n."	"OBJ.CONC"	"animal"
"244"	"a"	"Aushfa-kelek "	"MGV"	"n."	"OBJ.CONC"	"barn, stable"
"245"	"a"	"Aushfa-palutunatra "	"MGV"	"n."	"OBJ.CONC"	"animal husbandry"
"246"	"a"	"Aushfa-razh "	"MGV"	"n."	"OBJ.CONC"	"burrow"
"247"	"a"	"Aushfa-wadi-hatik ha-vel "	"MGV"	"n."	"OBJ.CONC"	"epizoon"
"248"	"a"	"Aushfa-tal "	"MGV"	"n."	"OBJ.CONC"	"zoology"
"249"	"a"	"Aushfa-talsu "	"MGV"	"n."	"OBJ.CONC"	"zoologist"
"250"	"a"	"Aushfal'esk "	"MGV"	"n."	"OBJ.CONC"	"beast"
"251"	"a"	"Aushfamaluhr "	"MGV"	"adj."	"PROP.CONC"	"animal(istic), beastly, savage"
"252"	"a"	"Aushfatra "	"MGV"	"n."	"OBJ.CONC"	"fauna"
"253"	"a"	"Aushfebihk-dva "	"MGV"	"n."	"OBJ.CONC"	"totemism (towards an animal)"
"254"	"a"	"Aushkel "	"MGV"	"n."	"OBJ.CONC"	"den, lair"
"255"	"a"	"Avaru"	"anc."	"n."	"OBJ.CONC"	"trouble"
"256"	"a"	"Avaru-satalau "	"MGV"	"v."	"ACT.CONC"	"troubleshoot"
"257"	"a"	"Avaru-satalausu "	"MGV"	"n."	"OBJ.CONC"	"troubleshooter"
"258"	"a"	"Avaru-satalaya "	"MGV"	"n."	"OBJ.CONC"	"troubleshooting"
"259"	"a"	"Avon "	"MGV"	"n."	"OBJ.CONC"	"hunger"
"260"	"a"	"Avon-telik "	"MGV"	"v."	"ACT.CONC"	"hunger"
"261"	"a"	"Awek|-| "	"MGV"	"adj."	"PROP.CONC"	"private"
"262"	"a"	"Awek'es "	"MGV"	"n."	"OBJ.CONC"	"privacy, solitude"
"263"	"a"	"Awek-thro-yut "	"MGV"	"n."	"OBJ.CONC"	"driveway"
"264"	"a"	"Awekat-, Awekatik "	"MGV"	"adj."	"PROP.CONC"	"solitary"
"265"	"a"	"Ayau "	"MGV"	"v."	"ACT.CONC"	"tilt"
"266"	"a"	"Ayau-keh-vla "	"MGV"	"n."	"OBJ.CONC"	"rhombus"
"267"	"a"	"Ayau-thonek "	"MGV"	"n."	"OBJ.CONC"	"tiltmeter"
"268"	"a"	"Ayayik keh-vla "	"MGV"	"n."	"OBJ.CONC"	"rhombohedron"
"269"	"a"	"Ayayik leh-dah-muk "	"MGV"	"n."	"OBJ.CONC"	"rhombododecahedron"
"270"	"a"	"Azehl "	"MGV"	"n."	"OBJ.CONC"	"ray"
"271"	"a"	"Azehl-, Azehlik "	"MGV"	"adj."	"PROP.CONC"	"radial"
"272"	"b"	"Ba'tak "	"anc."	"n."	"OBJ.CONC"	"tradition"
"273"	"b"	"Bablivau "	"MGV"	"v."	"ACT.CONC"	"designate"
"274"	"b"	"Babloputak "	"MGV"	"n."	"OBJ.CONC"	"crusade"
"275"	"b"	"Bah-ker "	"anc."	"n."	"OBJ.CONC"	"garden"
"276"	"b"	"Bah-tor "	"MGV"	"v."	"ACT.CONC"	"garden"
"277"	"b"	"Bahsu "	"MGV"	"n."	"OBJ.CONC"	"gardener"
"278"	"b"	"Bai'"	"obs."	"n."	"OBJ.CONC"	"through, via, by means of"
"279"	"b"	"Bai-lak-pa"	"anc."	"n."	"OBJ.CONC"	"self-pity"
"280"	"b"	"Bak "	"MGV"	"n."	"OBJ.CONC"	"rib"
"281"	"b"	"Bal "	"MGV"	"n."	"OBJ.CONC"	"group, set"
"282"	"b"	"Bali|-| "	"MGV"	"adj."	"PROP.CONC"	"thick"
"283"	"b"	"Bali-thonek "	"MGV"	"n."	"OBJ.CONC"	"caliper(s)"
"284"	"b"	"Balkra "	"anc."	"n."	"OBJ.CONC"	"an aromatic casserole"
"285"	"b"	"Banut "	"MGV"	"v."	"ACT.CONC"	"speak of or about"
"286"	"b"	"Bar-got"	"anc."	"n."	"OBJ.CONC"	"herb"
"287"	"b"	"Bar-kas"	"anc."	"n."	"OBJ.CONC"	"spice"
"288"	"b"	"Bashan "	"MGV"	"n."	"OBJ.CONC"	"migration"
"289"	"b"	"Batai "	"MGV"	"adj."	"PROP.CONC"	"sturdy"
"290"	"b"	"Bau-tor "	"MGV"	"v."	"ACT.CONC"	"disregard, ignore"
"291"	"b"	"Be' "	"MGV"	"prep."	"SITU.MOD"	"adjacent to, beside, close to, near, next to, in proximity to"
"292"	"b"	"Be'es "	"MGV"	"n."	"OBJ.CONC"	"nearness, proximity"
"293"	"b"	"Be'hai'la "	"NGS"	"n."	"OBJ.CONC"	"guest"
"294"	"b"	"Be'ru'lutik "	"MGV"	"adj."	"PROP.CONC"	"adoral"
"295"	"b"	"Be-, Beik "	"MGV"	"adj."	"PROP.CONC"	"adjacent, close, near"
"296"	"b"	"Be-wan-kur "	"MGV"	"adj."	"PROP.CONC"	"off-white"
"297"	"b"	"Beglanau "	"MGV"	"v."	"ACT.CONC"	"notice"
"298"	"b"	"Behsu "	"MGV"	"n."	"OBJ.CONC"	"neighbor"
"299"	"b"	"Beidzhorsu "	"MGV"	"n."	"OBJ.CONC"	"Bajoran"
