index	FRST_LETTER	vulcan	pronunciation	variety	pos	croftian_crossling_concepts	fse	misc
31	a	Abrash-pthak 	NA	MGV	n.	OBJ.CONC	antlophobia	
32	a	Abrash-temep 	NA	MGV	n.	OBJ.CONC	floodgate	
33	a	Abrash-temok 	NA	MGV	n.	OBJ.CONC	floodwall	
34	a	Abrash-tor 	NA	MGV	v.	ACT.CONC	flood	
35	a	Abru' 	 _ - ' bru 	MGV	prep.	SITU.MOD	above, over	
36	a	Abru'es 	 _ - ' bru - es 	MGV	n.	OBJ.CONC	dominance	
37	a	Abru'mesukh	NA	obs.	prep.	SITU.MOD	across	
38	a	Abru-ahs|-hinek| 	NA	MGV	n.	OBJ.CONC	maxilla	anat.
39	a	Abru-kapol-nafek 	NA	MGV	n.	OBJ.CONC	adrenal gland	anat.
40	a	Abru-kar-hinek 	NA	MGV	n.	OBJ.CONC	humerus	anat.
41	a	Abru-mal 	NA	MGV	n.	OBJ.CONC	thigh	anat.
42	a	Abru-mal-hinek 	NA	MGV	n.	OBJ.CONC	femur, thighbone	anat.
43	a	Abru-mes 	NA	MGV	n.	OBJ.CONC	crossover	
44	a	Abru-ralashik 	NA	MGV	adj.	PROP.CONC	supersonic	
45	a	Abru-ralashik ifis-hali 	NA	MGV	n.	OBJ.CONC	supersonic transport (SST)	
46	a	Abru-spis 	NA	MGV	n.	OBJ.CONC	anticline	geol.
47	a	Abru-su'us 	NA	MGV	n.	OBJ.CONC	numerator	math.
48	a	Abru-tchakat 	NA	MGV	n.	OBJ.CONC	camber	"mech.;eng."
49	a	Abru-tus 	NA	MGV	n.	OBJ.CONC	overload	
50	a	Abru-tus-nelayek 	NA	MGV	n.	OBJ.CONC	overload suppressor	
51	a	Abru-tus-tor 	NA	MGV	v.	ACT.CONC	overload	
52	a	Abru-tvi-kovtra 	NA	MGV	n.	OBJ.CONC	asthenosphere	
53	a	Abru-vulu 	NA	MGV	n.	OBJ.CONC	obtuse angle	math.
54	a	Abru-yetural-, Abru-yeturalik 	NA	MGV	adj.	PROP.CONC	overdriven	
55	a	Abru-zan-mev 	NA	MGV	n.	OBJ.CONC	periscope	
56	a	Abrukhau 	NA	MGV	v.	ACT.CONC	dominate	
57	a	Abrumashen-, abrumashenik 	NA	MGV	adj.	PROP.CONC	awash	
58	a	Abruneniwau 	NA	MGV	v.	ACT.CONC	supervise	
59	a	Abruneniwausu 	NA	MGV	n.	OBJ.CONC	supervisor	
60	a	Abrupik 	 _ - ' bru - pik 	MGV	adj.	PROP.CONC	dominant	
61	a	Abrupodon 	NA	MGV	n.	OBJ.CONC	profit	
62	a	Abruven-esh-nosh 	NA	MGV	n.	OBJ.CONC	orthopnea	
63	a	Absakau 	NA	MGV	v.	ACT.CONC	raid	
64	a	Absakausu 	NA	MGV	n.	OBJ.CONC	raider, marauder	
65	a	Abu, Abu' 	NA	MGV	prep.	SITU.MOD	up	
66	a	Abu'le 	 _ - ' bu - le 	MGV	prep.	SITU.MOD	upward(s)	
67	a	Abu'shi 	NA	MGV	adv.	SITU.MOD	aloft	
68	a	Abu'tvau 	NA	MGV	v.	ACT.CONC	swing up	
69	a	Abu-dvun-, Abu-dvunik 	NA	MGV	adj.	PROP.CONC	anabatic	
70	a	Abu-pla'dor-hinek 	NA	MGV	n.	OBJ.CONC	thoracic vertebra	anat.
71	a	Abu-to'ovayak 	NA	MGV	n.	OBJ.CONC	stalagmite	
72	a	Abu-tor 	NA	MGV	v.	ACT.CONC	erect, put up	
73	a	Abu-vla-nu'leyik 	NA	MGV	adj.	PROP.CONC	upside-down	
74	a	Abu-yumaya 	NA	MGV	n.	OBJ.CONC	updraft	
75	a	Abuhish 	NA	MGV	n.	OBJ.CONC	upward pressure	
76	a	Abukhau 	 _ - bu - ' xa_ 	MGV	v.	ACT.CONC	rule over	
77	a	Abulau 	 _ - bu - ' la_ 	MGV	v.	ACT.CONC	increase	
78	a	Abulik 	NA	MGV	adj.	PROP.CONC	vertical	
79	a	Abulik sov-razh 	NA	MGV	n.	OBJ.CONC	air pocket	
80	a	Abun-dvunek 	NA	MGV	n.	OBJ.CONC	erector	anat.
81	a	Abunaf 	 _ - bu - ' n_f 	MGV	n.	OBJ.CONC	uplink	
82	a	Abunuhal-tor 	NA	MGV	v.	ACT.CONC	pitch	aero.
83	a	Abunuhalan 	NA	MGV	n.	OBJ.CONC	pitch	aero.
84	a	Abusalan-, Abusalanik 	NA	MGV	adj.	PROP.CONC	upwind	
85	a	Abuthresha 	NA	MGV	v.	ACT.CONC	throttle up	
86	a	Abutsuplau 	NA	MGV	v.	ACT.CONC	surrender	
87	a	Abutsuplaya 	NA	MGV	n.	OBJ.CONC	surrender	
88	a	Abuvenik 	 _ - ' bu - ve - nik 	MGV	adj.	PROP.CONC	upright	
89	a	Achut 	 _ - ' t_ut 	MGV	n.	OBJ.CONC	brush	
90	a	Af'traul 	NA	MGV	n.	OBJ.CONC	utensil	
91	a	Af'tum 	 ' _f - tum 	anc.	n.	OBJ.CONC	kitchen	room
92	a	Afer-tor 	 _ - fer - ' tor 	MGV	v.	ACT.CONC	establish, found	
93	a	Aferal-, Aferalik 	NA	MGV	adj.	PROP.CONC	established, founded	
94	a	Aferteraya 	NA	MGV	n.	OBJ.CONC	corporation	
95	a	Afsakau 	NA	MGV	v.	ACT.CONC	declare, proclaim	
96	a	Afsakaya 	NA	MGV	n.	OBJ.CONC	declaration, proclamation	
97	a	Agreibau 	NA	MGV	v.	ACT.CONC	torture	
98	a	Agreibaya 	NA	MGV	n.	OBJ.CONC	torture	
99	a	Ahahr-tukh 	NA	MGV	n.	OBJ.CONC	rhenium	
100	a	Ahkh 	 _'x , _x 	anc.	n.	OBJ.CONC	war	
101	a	Ahkh-pidsu 	NA	MGV	n.	OBJ.CONC	warlord	
102	a	Ahkh-zhagralar 	NA	MGV	n.	OBJ.CONC	wargames	
103	a	Ahkhan 	 _'x - ' _n , _x - 	MGV	n.	OBJ.CONC	warfare	
104	a	Ahkhinahru 	 _'x - i - ' n_r - u , _x - 	anc.	n.	OBJ.CONC	ancient battlefield psionic warrior	
105	a	Ahkhsu 	 ' _'x - su , ' _x - 	MGV	n.	OBJ.CONC	warrior	
106	a	Ahklavau 	NA	MGV	v.	ACT.CONC	reveal	
107	a	Ahl-tukh 	NA	MGV	n.	OBJ.CONC	iridium	
108	a	Ahm 	 _'m , _m 	MGV	n.	OBJ.CONC	name	
109	a	Ahm-rubah 	NA	MGV	n.	OBJ.CONC	name change	
110	a	Ahm-tor 	 _'m - ' tor , _m - 	MGV	v.	ACT.CONC	name	
111	a	Ahm-van-kal 	NA	MGV	n.	OBJ.CONC	naming ceremony	
112	a	Ahn-vahr 	 _'n - ' v_'r , _n - ' v_r 	anc.	n.	OBJ.CONC	suicide dagger	Vulcan-specific term
113	a	Ahn-wun 	 _'n - ' wun , _n - 	anc.	n.	OBJ.CONC	strap-like weapon, often with a weighted end	Vulcan-specific term
114	a	Ahs 	 _'s , _s 	MGV	n.	OBJ.CONC	jaw	anat.
115	a	Aht'lahntik Masutra 	NA	MGV	n.	OBJ.CONC	Atlantic Ocean	
116	a	Aid 	 a_d 	MGV	n.	OBJ.CONC	contentment	
117	a	Aidihn|-| 	 ' a_d - _n 	MGV	adj.	PROP.CONC	contented	
118	a	Aifa 	 ' a_ - f_ 	MGV	pron.	SITU.MOD	these	
119	a	Aikum 	 ' a_ - kum 	MGV	n.	OBJ.CONC	moon	astronomy
120	a	Aikum-ek'duv 	NA	MGV	n.	OBJ.CONC	lunar eclipse	astronomy
121	a	Aikum-ha'gel 	NA	MGV	n.	OBJ.CONC	moonlight	astronomy
122	a	Aikum-shen 	NA	MGV	n.	OBJ.CONC	moonrise	astronomy
123	a	Aikum-solek 	NA	MGV	n.	OBJ.CONC	lunar regolith	astronomy
124	a	Aikum-tal 	NA	MGV	n.	OBJ.CONC	selenology	study
125	a	Aikum-tevan 	NA	MGV	n.	OBJ.CONC	moonset	astronomy
126	a	Ailin-tukh 	NA	MGV	n.	OBJ.CONC	gabbro	
127	a	Ain 	NA	MGV	n.	OBJ.CONC	garment	
128	a	Aisha 	 ' a_ - __ 	MGV	v.	ACT.CONC	cause	
129	a	Aishan 	 a_ - ' __n 	MGV	n.	OBJ.CONC	cause	
130	a	Aitlu 	 a_t - ' lu 	MGV	v.	PREDIC.MODAL	desire, want	
131	a	Aitlun 	 a_t - ' lun 	MGV	n.	OBJ.CONC	desire, want	
132	a	Ak 	NA	MGV	adv.	ACT.CONC.MOD	soon	
133	a	Ak'spra 	 ' _k - spr_ 	NGS	n.	OBJ.CONC	heretic, unorthodox believer	
134	a	Ak'wik 	 _k - ' wik 	MGV	adj.	PROP.CONC	surprised	
135	a	Ak'wik-abrash 	NA	MGV	n.	OBJ.CONC	flash flood	
136	a	Ak'wikman 	NA	MGV	v.	ACT.CONC	surprise	
137	a	Akali|-| 	 _ - ' k_ - li 	MGV	adj.	PROP.CONC	urgent	
138	a	Akan|-| 	NA	MGV	adj.	PROP.CONC	alien, ecdemic, exotic (not native)	
139	a	Akan-ha-tal 	NA	MGV	n.	OBJ.CONC	xenobiology	study
140	a	Akan-ha-talsu 	NA	MGV	n.	OBJ.CONC	xenobiologist	
141	a	Akan-tor 	NA	MGV	v.	ACT.CONC	alienate	
142	a	Akanal-, Akanalik 	NA	MGV	adj.	PROP.CONC	alienated	
143	a	Akansu 	 _ - ' k_n - su 	MGV	n.	OBJ.CONC	alien	
144	a	Akarshif 	 _ - k_r - ' _if 	MGV	adv.	ACT.CONC.MOD	a long time	
145	a	Akhlami 	 _ - ' xl_ - mi 	MGV	prep.	SITU.MOD	among us	
146	a	Akteibuhl 	 _k - ' te_ - b_l , - b_l 	MGV	n.	OBJ.CONC	attainment	
147	a	Alakolah 	NA	MGV	v.	ACT.CONC	ripple	
148	a	Alakolan 	NA	MGV	n.	OBJ.CONC	ripple	
149	a	Alem 	 _ - ' lem 	MGV	n.	OBJ.CONC	salt	
150	a	Alem'es 	NA	MGV	n.	OBJ.CONC	saltiness, salinity	
151	a	Alem-flash 	NA	MGV	n.	OBJ.CONC	mangrove swamp	
152	a	Alem-kov 	NA	MGV	n.	OBJ.CONC	halite, rock salt	
153	a	Alem-masu 	NA	MGV	n.	OBJ.CONC	saltwater	
154	a	Alem-masu-kastra 	NA	MGV	n.	OBJ.CONC	salt (water)	
155	a	Alem-sis 	NA	MGV	n.	OBJ.CONC	salt depletion	
156	a	Alem-solek 	NA	MGV	n.	OBJ.CONC	saline soil	
157	a	Alem-suk'muzh 	NA	MGV	n.	OBJ.CONC	salt lake	
158	a	Alem-tukh 	NA	MGV	n.	OBJ.CONC	sodium, natrium	
159	a	Alemik 	NA	MGV	adj.	PROP.CONC	salty, saline	
160	a	Alemtra 	NA	MGV	n.	OBJ.CONC	sabkha	geog.
161	a	Aluk 	 _ - ' luk 	MGV	n.	OBJ.CONC	fish	
162	a	Aluk-kak 	NA	MGV	n.	OBJ.CONC	fishbowl	
163	a	Aluk-kelek 	NA	MGV	n.	OBJ.CONC	aquarium	
164	a	Aluk-kum-fek 	NA	MGV	n.	OBJ.CONC	fishing pole	
165	a	Aluk-kum-kik 	NA	MGV	n.	OBJ.CONC	fishhook	
166	a	Aluk-kum-mashali 	NA	MGV	n.	OBJ.CONC	fishing boat	
167	a	Aluk-kum-tor 	NA	MGV	v.	ACT.CONC	fish	
168	a	Aluk-kumsu 	NA	MGV	n.	OBJ.CONC	fisherman	
169	a	An-bet	NA	anc.	n.	OBJ.CONC	gable	
170	a	An-kharkh 	 _n - ' x_rx 	obs.	n.	OBJ.CONC	fear	
171	a	An-prele 	 _n - ' pre - le 	NGS	n.	OBJ.CONC	pain control meditation	
172	a	Andorsu 	 _n - ' dor - su 	MGV	n.	OBJ.CONC	Andorian	being/language
173	a	Ap'hashau 	 _p - h_ - ' _a_ 	MGV	v.	ACT.CONC	ricochet	
174	a	Ap'hashaya 	NA	MGV	n.	OBJ.CONC	ricochet	
175	a	Apalikau-zehlanaya 	NA	MGV	n.	OBJ.CONC	startup sequence	
176	a	Apalikaya 	NA	MGV	n.	OBJ.CONC	startup, start-up	
177	a	Apumeskarau 	NA	MGV	v.	ACT.CONC	take a hold of	
178	a	Ar'ka-halek 	NA	MGV	n.	OBJ.CONC	flywheel	
179	a	Ar'kada 	 _r - ' k_ - d_ 	MGV	v.	ACT.CONC	work	
180	a	Ar'kada-lashi 	NA	MGV	n.	OBJ.CONC	workstation	
181	a	Ar'kada-pthak 	NA	MGV	n.	OBJ.CONC	ergophobia	
182	a	Ar'kadan 	 _r - k_ - ' d_n 	MGV	n.	OBJ.CONC	work, chore, task, job	
183	a	Ar'tu 	 ' _r - tu 	anc.	n.	OBJ.CONC	project	
184	a	Arlanga 	NA	MGV	n.	OBJ.CONC	a Vulcan mountain range	Vulcan-specific term
185	a	Arlanga-tukh 	NA	MGV	n.	OBJ.CONC	yttrium	
186	a	Aru 	 _ - ' ru 	anc.	n.	OBJ.CONC	afternoon	
187	a	Aru-yem 	NA	MGV	n.	OBJ.CONC	dinner, afternoon meal	food
188	a	Asal 	 _ - ' s_l 	MGV	n.	OBJ.CONC	morning	
189	a	Asal-masu 	NA	MGV	n.	OBJ.CONC	dew	
190	a	Asal-masu-sfek 	NA	MGV	n.	OBJ.CONC	dew point	
191	a	Asal-masu-thek 	NA	MGV	n.	OBJ.CONC	dewdrop	
192	a	Asal-masu-thonek 	NA	MGV	n.	OBJ.CONC	drosometer	
193	a	Asal-yem 	NA	MGV	n.	OBJ.CONC	breakfast, morning meal	food
194	a	Ash'ai 	 __ - ' a_ 	MGV	n.	OBJ.CONC	sock, stocking	
195	a	Ash'ai-zhel 	NA	MGV	n.	OBJ.CONC	garter	
196	a	Ash'el 	 __ - ' el 	MGV	n.	OBJ.CONC	shoe	
197	a	Ash'gelfek 	NA	MGV	n.	OBJ.CONC	perch	
198	a	Ash'kwitayek 	NA	MGV	n.	OBJ.CONC	pedal	
199	a	Ash'ya 	 ' __ - j_ 	MGV	n.	OBJ.CONC	foot	
200	a	Ash'ya-dukal 	NA	MGV	n.	OBJ.CONC	football (the ball)	sport
201	a	Ash'ya-dukal-torvukh 	NA	MGV	n.	OBJ.CONC	football (the sport)	sport
202	a	Ash'ya-fam-, ash'ya-famik 	NA	MGV	adj.	PROP.CONC	apodal, apodous, footless	
203	a	Ash'ya-hilek 	NA	MGV	n.	OBJ.CONC	spade	
204	a	Ash'ya-sai-vel 	NA	MGV	n.	OBJ.CONC	footwear	
205	a	Ash'yaidar 	 __ - ja_ - ' d_r 	MGV	n.	OBJ.CONC	footprint	
206	a	Ash'yakhut 	NA	MGV	n.	OBJ.CONC	slipper	
207	a	Ash-tor 	NA	MGV	v.	ACT.CONC	step, tread	
208	a	Ash-vel 	 __ - ' vel 	TGV	n.	OBJ.CONC	shoe	
209	a	Ashal-, Ashalik 	NA	MGV	adj.	PROP.CONC	(be)loved, darling	
210	a	Ashal-veh 	NA	MGV	n.	OBJ.CONC	beloved, darling, sweetheart	
211	a	Ashau 	 _ - ' _a_ 	MGV	v.	ACT.CONC	love	
212	a	Ashau-krel-masu 	NA	MGV	n.	OBJ.CONC	love potion	
213	a	Ashaun-, Ashaunik 	NA	MGV	adj.	ACT.CONC.MOD	loving	
214	a	Ashausu 	NA	MGV	n.	OBJ.CONC	lover	
215	a	Ashaya-var 	NA	MGV	n.	OBJ.CONC	love story	
216	a	Ashen-fau-yut 	NA	MGV	n.	OBJ.CONC	causeway	
217	a	Ashen-padukau-rala 	NA	MGV	n.	OBJ.CONC	elevon	aero.
218	a	Ashenau 	 _ - _en - ' a_ 	MGV	v.	ACT.CONC	raise, elevate, amplify	
219	a	Ashenayek 	NA	MGV	n.	OBJ.CONC	elevator	"anat.;aero."
220	a	Ashenek 	 _ - ' _en - ek 	MGV	n.	OBJ.CONC	exponent	math.
221	a	Ashiv-tor 	NA	MGV	v.	ACT.CONC	repeat	
222	a	Ashivau 	 _ - _i - ' va_ 	MGV	v.	ACT.CONC	iterate	
223	a	Ask'er 	 _sk - ' er 	MGV	n.	OBJ.CONC	army	
224	a	Ask'ersu 	NA	MGV	n.	OBJ.CONC	soldier	
225	a	Ask'ersu-kelek 	NA	MGV	n.	OBJ.CONC	barracks	
226	a	Ask'ersu-leshek 	NA	MGV	n.	OBJ.CONC	troop carrier	
227	a	Ask'plak-, Ask'plakik 	NA	MGV	adj.	PROP.CONC	tactical	
228	a	Ask'plak-galu-wun 	NA	MGV	n.	OBJ.CONC	tactical nuclear weapon	
229	a	Ask'plak-lansu 	NA	MGV	n.	OBJ.CONC	tactical officer	
230	a	Ask'plak-lashi 	NA	MGV	n.	OBJ.CONC	tactical station	
231	a	Ask'plakanu 	NA	MGV	n.	OBJ.CONC	tactics	
232	a	Aski|-| 	 ' _s - ki 	MGV	adj.	PROP.CONC	mighty, military	
233	a	Askital 	 _sk - i - ' t_l 	MGV	n.	OBJ.CONC	military	
234	a	Asklotau 	NA	MGV	v.	ACT.CONC	blockade	
235	a	Asklotaya 	NA	MGV	n.	OBJ.CONC	blockade	
236	a	Asteronau 	NA	MGV	v.	ACT.CONC	attach	
237	a	Asteronau-mof 	NA	MGV	n.	OBJ.CONC	clevis pin	
238	a	Asteronaya 	NA	MGV	n.	OBJ.CONC	attachment	
239	a	Asteronaya-sfek 	NA	MGV	n.	OBJ.CONC	attachment point	
240	a	Au 	NA	MGV	pron.	OBJ.CONC	them, they	
241	a	Aukh 	 a_x 	MGV	n.	OBJ.CONC	gypsum	
242	a	Ausham 	 a__ - ' _m 	MGV	n.	OBJ.CONC	venom	
243	a	Aushfa 	 a__ - ' f_ 	MGV	n.	OBJ.CONC	animal	
244	a	Aushfa-kelek 	NA	MGV	n.	OBJ.CONC	barn, stable	
245	a	Aushfa-palutunatra 	NA	MGV	n.	OBJ.CONC	animal husbandry	
246	a	Aushfa-razh 	NA	MGV	n.	OBJ.CONC	burrow	
247	a	Aushfa-wadi-hatik ha-vel 	NA	MGV	n.	OBJ.CONC	epizoon	zool.
248	a	Aushfa-tal 	NA	MGV	n.	OBJ.CONC	zoology	study
249	a	Aushfa-talsu 	NA	MGV	n.	OBJ.CONC	zoologist	
250	a	Aushfal'esk 	NA	MGV	n.	OBJ.CONC	beast	
251	a	Aushfamaluhr 	 a__ - ' f_ - m_ - l_r , - l_r , - l_r 	MGV	adj.	PROP.CONC	animal(istic), beastly, savage	
252	a	Aushfatra 	 a__ - ' f_ - tr_ 	MGV	n.	OBJ.CONC	fauna	
253	a	Aushfebihk-dva 	NA	MGV	n.	OBJ.CONC	totemism (towards an animal)	
254	a	Aushkel 	 a__ - ' kel 	MGV	n.	OBJ.CONC	den, lair	
255	a	Avaru	NA	anc.	n.	OBJ.CONC	trouble	
256	a	Avaru-satalau 	NA	MGV	v.	ACT.CONC	troubleshoot	
257	a	Avaru-satalausu 	NA	MGV	n.	OBJ.CONC	troubleshooter	
258	a	Avaru-satalaya 	NA	MGV	n.	OBJ.CONC	troubleshooting	
259	a	Avon 	 _ - ' von 	MGV	n.	OBJ.CONC	hunger	
260	a	Avon-telik 	NA	MGV	v.	ACT.CONC	hunger	
261	a	Awek|-| 	 _ - ' wek 	MGV	adj.	PROP.CONC	private	
262	a	Awek'es 	NA	MGV	n.	OBJ.CONC	privacy, solitude	
263	a	Awek-thro-yut 	NA	MGV	n.	OBJ.CONC	driveway	
264	a	Awekat-, Awekatik 	NA	MGV	adj.	PROP.CONC	solitary	
265	a	Ayau 	 _ - ' ja_ 	MGV	v.	ACT.CONC	tilt	
266	a	Ayau-keh-vla 	NA	MGV	n.	OBJ.CONC	rhombus	shape
267	a	Ayau-thonek 	NA	MGV	n.	OBJ.CONC	tiltmeter	
268	a	Ayayik keh-vla 	NA	MGV	n.	OBJ.CONC	rhombohedron	shape
269	a	Ayayik leh-dah-muk 	NA	MGV	n.	OBJ.CONC	rhombododecahedron	shape
270	a	Azehl 	NA	MGV	n.	OBJ.CONC	ray	math.
271	a	Azehl-, Azehlik 	NA	MGV	adj.	PROP.CONC	radial	
272	b	Ba'tak 	 b_ - ' t_k 	anc.	n.	OBJ.CONC	tradition	
273	b	Bablivau 	 b_ - bli - ' va_ 	MGV	v.	ACT.CONC	designate	
274	b	Babloputak 	 b_ - blo - ' put - _k 	MGV	n.	OBJ.CONC	crusade	
275	b	Bah-ker 	 ' b_' - ker , ' b_ - 	anc.	n.	OBJ.CONC	garden	
276	b	Bah-tor 	 b_' - ' tor , b_ - 	MGV	v.	ACT.CONC	garden	
277	b	Bahsu 	NA	MGV	n.	OBJ.CONC	gardener	
278	b	Bai'	NA	obs.	n.	OBJ.CONC	through, via, by means of	
279	b	Bai-lak-pa	NA	anc.	n.	OBJ.CONC	self-pity	
280	b	Bak 	NA	MGV	n.	OBJ.CONC	rib	
281	b	Bal 	NA	MGV	n.	OBJ.CONC	group, set	
282	b	Bali|-| 	 ' b_ - li 	MGV	adj.	PROP.CONC	thick	
283	b	Bali-thonek 	NA	MGV	n.	OBJ.CONC	caliper(s)	
284	b	Balkra 	 ' b_l - kr_ , ' b_lk - r_ 	anc.	n.	OBJ.CONC	an aromatic casserole	Vulcan-specific term
285	b	Banut 	 b_ - ' nu t 	MGV	v.	ACT.CONC	speak of or about	
286	b	Bar-got	NA	anc.	n.	OBJ.CONC	herb	food
287	b	Bar-kas	NA	anc.	n.	OBJ.CONC	spice	food
288	b	Bashan 	 b_ - ' __n 	MGV	n.	OBJ.CONC	migration	
289	b	Batai 	 b_ - ' ta_ 	MGV	adj.	PROP.CONC	sturdy	
290	b	Bau-tor 	NA	MGV	v.	ACT.CONC	disregard, ignore	
291	b	Be' 	NA	MGV	prep.	SITU.MOD	adjacent to, beside, close to, near, next to, in proximity to	
292	b	Be'es 	NA	MGV	n.	OBJ.CONC	nearness, proximity	
293	b	Be'hai'la 	 be - ' ha_ - l_ 	NGS	n.	OBJ.CONC	guest	
294	b	Be'ru'lutik 	NA	MGV	adj.	PROP.CONC	adoral	
295	b	Be-, Beik 	NA	MGV	adj.	PROP.CONC	adjacent, close, near	
296	b	Be-wan-kur 	NA	MGV	adj.	PROP.CONC	off-white	color
297	b	Beglanau 	NA	MGV	v.	ACT.CONC	notice	
298	b	Behsu 	NA	MGV	n.	OBJ.CONC	neighbor	
299	b	Beidzhorsu 	 ' be_ - d_or - su 	MGV	n.	OBJ.CONC	Bajoran	being/language
300	b	Bek 	NA	MGV	n.	OBJ.CONC	wait	
301	b	Bek-tor 	NA	MGV	v.	ACT.CONC	wait	
302	b	Belaar 	 be - ' l__r 	NGS	n.	OBJ.CONC	Summer (season)	
303	b	Belk	NA	anc.	n.	OBJ.CONC	scout	
304	b	Ben 	NA	MGV	pron.	OBJ.CONC	to us	
305	b	Ben-gun 	 ben - ' gun 	anc.	n.	OBJ.CONC	therapy	
306	b	Bes 	NA	MGV	n.	OBJ.CONC	drawing	
307	b	Bes-tor 	NA	MGV	v.	ACT.CONC	draw	
308	b	Besan 	NA	MGV	n.	OBJ.CONC	chart, map, plot	
309	b	Besan-tanaf 	NA	MGV	n.	OBJ.CONC	cartography	
310	b	Besau 	NA	MGV	v.	ACT.CONC	chart, map, plot	
311	b	Besayek 	NA	MGV	n.	OBJ.CONC	plotter	device
312	b	Besu 	 ' be - su 	MGV	n.	OBJ.CONC	companion	
313	b	Besu'es 	NA	MGV	n.	OBJ.CONC	companionship	
314	b	Betau 	NA	MGV	v.	ACT.CONC	approach, near	
315	b	Bezhun 	 be - ' _un 	MGV	n.	OBJ.CONC	eye, oculus	
316	b	Bezhun-hassu 	NA	MGV	n.	OBJ.CONC	ophtalmologist	
317	b	Bezhun-isach 	NA	MGV	n.	OBJ.CONC	eyelash	anat.
318	b	Bezhun-kal 	NA	MGV	n.	OBJ.CONC	eyeball	anat.
319	b	Bezhun-masu 	NA	MGV	n.	OBJ.CONC	tears (multiple drops)	
320	b	Bezhun-masu-mev 	NA	MGV	n.	OBJ.CONC	lacrimal duct, tear duct	anat.
321	b	Bezhun-ripa'shaya 	NA	MGV	n.	OBJ.CONC	cataract	med.
322	b	Bezhun-tal 	NA	MGV	n.	OBJ.CONC	ophtalmology	study
323	b	Bezhun-thek 	NA	MGV	n.	OBJ.CONC	tear (a single drop)	
324	b	Bezhun-wadi 	NA	MGV	n.	OBJ.CONC	cornea	anat.
325	b	Bezhun-wan 	NA	MGV	n.	OBJ.CONC	sclera	anat.
326	b	Bezhun-zehl 	NA	MGV	n.	OBJ.CONC	eyebrow	anat.
327	b	Bi' 	NA	MGV	prep.	SITU.MOD	along	
328	b	Bif-, Bifik 	NA	MGV	adj.	PROP.CONC	sure	
329	b	Bikuv 	 bi - ' kuv 	MGV	n.	OBJ.CONC	picture	
330	b	Bikuv-kitaun 	NA	MGV	n.	OBJ.CONC	hieroglyphic (writing)	
331	b	Bishau 	NA	MGV	v.	ACT.CONC	swarm, teem	
332	b	Bladzh 	NA	MGV	n.	OBJ.CONC	camp	
333	b	Bladzh-yon 	NA	MGV	n.	OBJ.CONC	campfire	
