"FRST_LETTER"	"fse"	"vulcan"
"95"	"a"	"Abyssopelagic"	"|glu-|gosh-masutraik"
"96"	"a"	"Abyssopelagic zone"	"|glu-|gosh-masutraik shal"
"97"	"a"	"Academy"	"|tren-|shi'oren, ski'flana-oren(obs.)"
"98"	"a"	"Acataphasia"	"rish-nahp-nosh"
"99"	"a"	"Accelerant"	"sahrau-tukh"
"100"	"a"	"Accelerate"	"sahrau"
"101"	"a"	"Acceleration"	"sahraya"
"102"	"a"	"Acceleration stress"	"sahrau-hishel"
"103"	"a"	"Acceleration tolerance"	"sahrau-wivel'es"
"104"	"a"	"Accelerator"	"sahrayek"
"105"	"a"	"Accelerometer"	"sahrau-thonek"
"106"	"a"	"Accent(speech)"	"gen-speshan"
"107"	"a"	"Accept"	"nar-tor"
"108"	"a"	"Acceptance"	"naran"
"109"	"a"	"Accepted, to be"	"punar-tor"
"110"	"a"	"Access"	"thro(n.), thro-tor(v.)"
"111"	"a"	"Access panel"	"thro-wein"
"112"	"a"	"Accessible"	"thro-yehat"
"113"	"a"	"Accident"	"kisheya"
"114"	"a"	"Accidental(adj.)"	"kisheik"
"115"	"a"	"Acclimation"	"noshtra-rubilaya"
"116"	"a"	"Accommodate"	"spohkunolau"
"117"	"a"	"Accompaniment"	"sailaya"
"118"	"a"	"Accompanist"	"sailausu"
"119"	"a"	"Accompany"	"sailau"
"120"	"a"	"Accomplice"	"ksaigolsu"
"121"	"a"	"Accomplish"	"wenator"
"122"	"a"	"According to"	"fupa s'"
"123"	"a"	"Accordion"	"uh'kordiuhn"
"124"	"a"	"Account(n.)"	"khrosahp"
"125"	"a"	"Accountant"	"khrosahpsu"
"126"	"a"	"Accretion"	"fito'ovaya"
"127"	"a"	"Accretion disk"	"fito'ov-mathra"
"128"	"a"	"Accumulate"	"hoknau; tabrukau"
"129"	"a"	"Accumulation"	"hoknaya; tabrukaya"
"130"	"a"	"Accumulator"	"kipof(elect.); tabrukayek(mech.)"
"131"	"a"	"Accusation"	"namihfaya"
"132"	"a"	"Accuse"	"namihfau"
"133"	"a"	"Ace(top pilot)"	"naasu"
"134"	"a"	"Acellular"	"rinalaik"
"135"	"a"	"Acerophobia"	"sfith-pthak"
"136"	"a"	"Acetic acid"	"sfith-masu-sash"
"137"	"a"	"Acetone"	"nen-nalesh|-tukh|"
"138"	"a"	"Acetylene"	"mimo-tukh"
"139"	"a"	"Acetylene tank"	"mimo-tukh-tuhlek"
"140"	"a"	"Acetylene torch"	"mimo-tukh-yonek"
"141"	"a"	"Ache"	"sut(n.); suh(v.)"
"142"	"a"	"Achieve"	"srasha"
"143"	"a"	"Achievement"	"srashiv"
"144"	"a"	"Achluophobia"	"mu'gel-pthak"
"145"	"a"	"Achondrite"	"kzanok"
"146"	"a"	"Achromasia"	"spoh-wadi-nosh"
"147"	"a"	"Acid"	"sash(compound), sash-masu(solution)"
"148"	"a"	"Acid dye(n.)"	"sash-kur-tukh"
"149"	"a"	"Acid rain(n.)"	"sash-sov-masu"
"150"	"a"	"Acid salts"	"sash-alemu"
"151"	"a"	"Acid waste"	"sash-guhsh"
"152"	"a"	"Acidemia"	"pid-sash-nosh"
"153"	"a"	"Acidic"	"sash-, sashik"
"154"	"a"	"Acidity"	"sash'es"
"155"	"a"	"Acidosis"	"ritsuri-sash-nosh"
"156"	"a"	"Acknowledge"	"nafai-tor"
"157"	"a"	"Acknowledg(e)ment"	"nafai"
"158"	"a"	"Acknowledg(e)ment signal"	"nafai-glantokaya"
"159"	"a"	"Acolyte"	"odva-dvinsu"
"160"	"a"	"Acorn"	"ei'korn |ok-kov-savas|"
"161"	"a"	"Acoustic amplifier"	"ralash-ashenayek"
"162"	"a"	"Acoustic distortion"	"ralash-saznek"
"163"	"a"	"Acoustic feedback"	"ralash-pla'fun"
"164"	"a"	"Acoustic filter"	"ralash-kapol"
"165"	"a"	"Acoustic guitar"	"el'ruhik gitar"
"166"	"a"	"Acoustic resonance"	"ralash-kusilaya"
"167"	"a"	"Acoustic signature"	"ralash-vestra"
"168"	"a"	"Acoustic spectrum"	"ralash-saktra"
"169"	"a"	"Acoustic tile"	"ralash-visesh-kulk"
"170"	"a"	"Acousticophobia"	"ralash-pthak"
"171"	"a"	"Acoustics(study)"	"ralash-tal"
"172"	"a"	"Acquire"	"prah"
"173"	"a"	"Acquired behavior"	"prahl-kloshai"
"174"	"a"	"Acquired characteristics"	"prahl-noshtralar"
"175"	"a"	"Acquired Immune Deficiency Syndrome (A.I.D.S.)"	"Kath-Vuk t'Prahl-Tefosh'es-Pafam'es |KV-PTP|"
"176"	"a"	"Acquired immunity"	"prahl-tefosh'es"
"177"	"a"	"Acquisition"	"prai"
"178"	"a"	"Acquisition of signal (AOS)"	"glantokaya-prai"
"179"	"a"	"Acrobat"	"sagrastil'es-vo'ektau-torpersu"
"180"	"a"	"Acrophobia"	"pidek-pthak"
"181"	"a"	"Acropetal"	"na'umik"
"182"	"a"	"Across(prep.)"	"mes'"
"183"	"a"	"Act(n., deed)"	"toper"
"184"	"a"	"Act(v.)"	"per-tor(behave, perform); torah(produce an effect)"
"185"	"a"	"Actinic radiation"	"glakuv-saya"
"186"	"a"	"Actinic rays"	"glakuv-ha'zehllar"
"187"	"a"	"Actinium"	"r'dahn-tukh"
"188"	"a"	"Actinobiology"	"saya-fiha-tal"
"189"	"a"	"Actinodermatitis"	"saya-wadi-yonshaya; yel-wadi-yontaya; yel-wadi-yonshaya"
"190"	"a"	"Actinoid(zool.)"	"yel-shidik"
"191"	"a"	"Actinomycosis"	"halek-talvot-has"
"192"	"a"	"Actinotherapy"	"ha'zehl-ben-gun"
"193"	"a"	"Action"	"torai"
"194"	"a"	"Activate"	"vitorau"
"195"	"a"	"Activated carbon"	"vitor-nol-tukh"
"196"	"a"	"Activated charcoal"	"vitor-yonol-tukh"
"197"	"a"	"Activation"	"vitoraya"
"198"	"a"	"Activator"	"torai-vel(elect., mech.); vitorayek(biol., chem.)"
"199"	"a"	"Active"	"torupik"
"200"	"a"	"Active array"	"torupik zehlaya"
"201"	"a"	"Active device"	"torupik el'mish"
"202"	"a"	"Active electrode"	"torupik narafek"
"203"	"a"	"Active fault"	"torupik dvun-zehl"
"204"	"a"	"Active filter"	"torupik kapol"
"205"	"a"	"Active margin"	"torupik rihkal"
"206"	"a"	"Active resistance"	"torupik tehnaya"
"207"	"a"	"Active volcano"	"torupik zul-kunel"
"208"	"a"	"Activity"	"toran"
"209"	"a"	"Activity coefficient"	"toran-kakratulek"
"210"	"a"	"Actor"	"sa-per-ithop(TGV), sa-persu(MGV)"
"211"	"a"	"Actress"	"ko-per-ithop(TGV), ko-persu(MGV)"
"212"	"a"	"Actuate"	"tordvun-tor"
"213"	"a"	"Actuator"	"tordvunek"
"214"	"a"	"Acuity"	"zat'es"
"215"	"a"	"Aculeate(biol.)"	"salum-, salumik"
"216"	"a"	"Acuminate(adj.)"	"wu-sfekik"
"217"	"a"	"Acupria(Vulcan \"anemia\")"	"fam-khaf-meil |svi'hasular k'yar-khaf-nalalar|"
"218"	"a"	"Acupuncture"	"lum-ben-gun"
"219"	"a"	"Acutance"	"glakuv-zat'es"
"220"	"a"	"Acute(adj.)"	"zat|-|"
"221"	"a"	"Acute angle"	"zat-vulu"
"222"	"a"	"Acylic(bot.)"	"kulanik"
"223"	"a"	"Adage"	"bervun"
"224"	"a"	"Adapt"	"rubilau"
"225"	"a"	"Adaptation"	"rubilaya"
"226"	"a"	"Adapter, Adaptor"	"rubilau-vel"
"227"	"a"	"Adaptive array"	"rubilau-zehlaya"
"228"	"a"	"Adaptive radiation"	"rubilau-saya"
"229"	"a"	"Adaxial(biol.)"	"na-da-sfekik"
"230"	"a"	"Add(v.)"	"hau"
"231"	"a"	"Add on"	"fihau"
"232"	"a"	"Addend"	"hau-vel"
"233"	"a"	"Addict"	"tessausu(n.); tessau(v.)"
"234"	"a"	"Addiction"	"tessaya"
"235"	"a"	"Addition"	"haya"
"236"	"a"	"Additional"	"hayaik"
"237"	"a"	"Additive function(math.)"	"hau-is-kek"
"238"	"a"	"Additive process"	"hau-torek"
"239"	"a"	"Address"	"shi'yavekh(n.); varahmau(v., speak to)"
"240"	"a"	"Adduction"	"na-dvunel, vi'le-dvunel"
"241"	"a"	"Adductor"	"na-dvunek, vi'le-dvunek"
"242"	"a"	"Adendritic"	"wel-gel-famik"
"243"	"a"	"Adenitis"	"pi'nafek-yonshaya"
"244"	"a"	"Adenoid"	"za-han-pi'nafek"
"245"	"a"	"Adept(adj.)"	"ek'renkupik"
"246"	"a"	"Adequate"	"khevsur-, khevsurik"
"247"	"a"	"Adhere"	"terpau"
"248"	"a"	"Adhesion"	"terpaya"
"249"	"a"	"Adhesive(n.)"	"terpayek"
"250"	"a"	"Adhesive tape"	"terzhel"
"251"	"a"	"Adiabatic(adj.)"	"ri-falek'es-di'kizhik"
"252"	"a"	"Adiabatic change"	"ri-falek'es-di'kizhik rubah"
"253"	"a"	"Adiabatic compressibility"	"ri-falek'es-di'kizhik lerakh-yehat'es"
"254"	"a"	"Adiabatic equation"	"ri-falek'es-di'kizhik vo'ihn"
"255"	"a"	"Adiabatic lapse rate"	"ri-falek'es-di'kizhik sov-shen-tav"
"256"	"a"	"Adiabatic process"	"ri-falek'es-di'kizhik torek"
"257"	"a"	"Adiactinic"	"ri-ha'gel-torupik"
"258"	"a"	"Adipose"	"thel'upik"
"259"	"a"	"Adipose tissue"	"thel'upik nalatra"
"260"	"a"	"Adiposity"	"thel'up'es"
"261"	"a"	"Adit"	"ek'tukh-razh; thro-ur(LGV)"
"262"	"a"	"Adjacent(adj.)"	"be-, beik"
"263"	"a"	"Adjacent to(prep.)"	"be'"
"264"	"a"	"Adjective"	"rub-zhit"
"265"	"a"	"Adjust"	"namishau"
"266"	"a"	"Adjustable"	"namishau-yehat"
"267"	"a"	"Adjustment"	"namishaya"
"268"	"a"	"Administer"	"ekhartau"
"269"	"a"	"Administration"	"ekhartaya"
"270"	"a"	"Administrator"	"ekhartausu"
"271"	"a"	"Admiral"	"halitra-lan"
"272"	"a"	"Admiral, Fleet"	"ek'halitra-lan"
"273"	"a"	"Admiral, Rear"	"nik'el-lan"
"274"	"a"	"Admiral, Vice"	"shaltra-lan"
"275"	"a"	"Admire"	"doromnah-tor"
"276"	"a"	"Adnation"	"kaunshaya t'rikahk-kruslar"
"277"	"a"	"Adobe (brick)"	"uh'dobi, a'dobei |vrel-dok|"
"278"	"a"	"Adopt"	"thanai"
"279"	"a"	"Adopted(adj.)"	"thanayal-, thanayalik"
"280"	"a"	"Adopted child"	"thanayal-kan"
"281"	"a"	"Adoption"	"thanah"
"282"	"a"	"Adoral(adj.)"	"be'ru'lutik"
"283"	"a"	"Adoration"	"kerashaya"
"284"	"a"	"Adore"	"kerashau"
"285"	"a"	"Adrenal gland"	"abru-kapol-nafek"
"286"	"a"	"Adrift(adj.)"	"rikifitan-, rikifitanik"
"287"	"a"	"Adsorb"	"fiterpau"
"288"	"a"	"Adsorbent(n.)"	"fiterpayek"
"289"	"a"	"Adsorption"	"fiterpaya"
"290"	"a"	"Adult(n.)"	"to'oveh"
"291"	"a"	"Advance"	"storilaya(n.), storilau(v.)"
"292"	"a"	"Advanced(adj.)"	"storil|-|"
"293"	"a"	"Advanced tactical fighter (ATF)"	"storil-ask'plakik puk-hali"
"294"	"a"	"Advantage(n.)"	"plik"
"295"	"a"	"Advection"	"sov-yutik-dvun"
"296"	"a"	"Advection fog"	"ihsek s'lamekh-masu-sov mes'samek-solektra il masutra"
"297"	"a"	"Advent(n.)"	"wak-krus t'okeshtan-bek"
"298"	"a"	"Adventure(n.)"	"dailissak"
"299"	"a"	"Adverb"	"nosh-zhit"
"300"	"a"	"Adversary"	"hahf"
"301"	"a"	"Advertise"	"karbumagau"
"302"	"a"	"Advertisement"	"karbumagaya"
"303"	"a"	"Advice"	"na'shikh(anc.)"
"304"	"a"	"Advise"	"na'shikhau"
"305"	"a"	"Advisor"	"na'shikhausu"
"306"	"a"	"Advocacy"	"nenastarun"
"307"	"a"	"Advocate"	"nenastaribsu(n.); nenastariben(v.)"
"308"	"a"	"Adze"	"lapan-shidek"
"309"	"a"	"Aegis"	"lekva"
"310"	"a"	"Aeolian deposit"	"salan-titaya"
"311"	"a"	"Aeolian tone"	"salan-molu"
"312"	"a"	"Aerate"	"sov-tan-tor"
"313"	"a"	"Aerated concrete"	"sov-tan-nok"
"314"	"a"	"Aeration"	"sov-tanan"
"315"	"a"	"Aerator"	"sov-tanek"
"316"	"a"	"Aerial(adj.)"	"sov-, sovik; hash-, hashik"
"317"	"a"	"Aerial(antenna)"	"|pi'|kash-gel"
"318"	"a"	"Aerie, Eyrie"	"pid-ki'an |t'skyem-kushel|"
"319"	"a"	"Aerobe"	"sov-ha-vel"
"320"	"a"	"Aerobic(adj.)"	"sov-ladik"
"321"	"a"	"Aerodynamic balance"	"sov-dvun-vo'ektaya"
"322"	"a"	"Aerodynamic braking"	"igen-tukh-vohraun"
"323"	"a"	"Aerodynamic heat transfer"	"sov-dvunik falek-shan"
"324"	"a"	"Aerodynamic heating"	"sov-dvun-falekan"
"325"	"a"	"Aerodynamics"	"sov-dvun-tal"
"326"	"a"	"Aerodyne"	"ras-sov-hali"
"327"	"a"	"Aerofoil"	"aberala"
"328"	"a"	"Aerolite"	"kov-tevlak"
"329"	"a"	"Aerology"	"|ek'|sov-tal"
"330"	"a"	"Aeronautics"	"hash-tal"
"331"	"a"	"Aerophagy"	"sov-yokulan"
"332"	"a"	"Aeroplane(obs.)"	"sov-hashek"
"333"	"a"	"Aerosol(n.)"	"svi-sov-saganalek"
"334"	"a"	"Aerosolization"	"svi-sov-saganaya"
"335"	"a"	"Aerosolize"	"svi-sov-saganau"
"336"	"a"	"Aerosolized"	"svi-sov-saganalik"
"337"	"a"	"Aerospace"	"sov-stukh"
"338"	"a"	"Aerostat"	"ta'hal-sov-hali"
"339"	"a"	"Aerothermodynamics"	"sov-falek-tal"
"340"	"a"	"Aestival(adj.)"	"falek-wakik"
"341"	"a"	"Afebrile"	"tau-fam-, tau-famik"
"342"	"a"	"Affair"	"ukhru-vishan(anc.)"
"343"	"a"	"Affect"	"dau"
"344"	"a"	"Affix"	"terek(n.); terek-tor(v.)"
"345"	"a"	"Afflict"	"rasahdau"
"346"	"a"	"Affliction"	"rasahdaya"
"347"	"a"	"Afforestation"	"laptra-storaya"
"348"	"a"	"Aflagellar"	"dvunel-pi'harr-famik"
"349"	"a"	"Afloat(adj.)"	"markauli"
"350"	"a"	"Afraid"	"kwes|-|"
"351"	"a"	"Africa"	"Ahfrikuh"
"352"	"a"	"African"	"ahfrikan-, ahfrikanik(adj.); ahfrikansu(n.)"
"353"	"a"	"African-American"	"ahfrikuh-uhmerikan-, ahfrikuh-uhmerikanik(adj.); ahfrikuh-uhmerikasu(n.)"
"354"	"a"	"Aft"	"za'le(adv.); za-krus(n.)"
"355"	"a"	"Aft parabolic thruster"	"za-dahkvalu-kwitek"
"356"	"a"	"Aft plasma vent"	"za-snazh-krau"
"357"	"a"	"Aft thruster assembly"	"za-kwitek-feretai"
"358"	"a"	"Aft thruster compartment"	"za-kwitek-sutauk"
"359"	"a"	"Aft thrusters"	"za-kwiteklar"
"360"	"a"	"After"	"po'(prep.); po-(combining form)"
"361"	"a"	"Afterbirth"	"po-tukh"
"362"	"a"	"Afterburner"	"saguhsh-yontayek"
"363"	"a"	"Afterburning"	"saguhsh-yontauk(adj.); saguhsh-yontaya(n.)"
"364"	"a"	"Afterdamp"	"dah-eshu t'nol-tukh"
"365"	"a"	"Aftereffect"	"po-daya"
"366"	"a"	"Afterimage"	"po-glakuv"
"367"	"a"	"Afterlife"	"po-ha'kiv"
"368"	"a"	"Aftermath"	"po-wak"
"369"	"a"	"Afternoon"	"aru(anc.)"
"370"	"a"	"Aftershock"	"po-hutaya"
"371"	"a"	"Afterwards"	"po'le"
"372"	"a"	"Again"	"va'ashiv"
"373"	"a"	"Against(prep.)"	"tehn'"
"374"	"a"	"Agalactia"	"fam-thas-nosh"
"375"	"a"	"Agate"	"grut"
"376"	"a"	"Agateophobia"	"rikohs'es-pthak"
"377"	"a"	"Age"	"ya'shakhuv(n., time lived); pal(n., period/era); ya'shakhvau(v.)"
"378"	"a"	"Agenesis"	"ritveshu"
"379"	"a"	"Agency"	"svisolaizhak(government), svizhak(company)"
"380"	"a"	"Agent(person)"	"svisolaisu"
"381"	"a"	"Agglutinate"	"navihkau"
"382"	"a"	"Agglutination"	"navihkaya"
"383"	"a"	"Agglutinin"	"vihk-tukh"
"384"	"a"	"Agglutinogen"	"vihk-tukh-torek"
"385"	"a"	"Aggravated(adj.)"	"katachik"
"386"	"a"	"Aggregate"	"karf-kov(n., geol.); karf-tor(v.)"
"387"	"a"	"Aggregation"	"karfak"
"388"	"a"	"Aggression"	"kresan"
"389"	"a"	"Aggressive(adj.)"	"kres-, kresik"
"390"	"a"	"Aggressive behavior"	"kres-kloshai"
"391"	"a"	"Aggressive mimicry"	"kres-va'amaya"
"392"	"a"	"Agile"	"sagrastil-, sagrastilik"
"393"	"a"	"Agility"	"sagrastil'es"
"394"	"a"	"Aging(n.)"	"shakhuvaya"
"395"	"a"	"Agitate"	"pahutau"
"396"	"a"	"Agitated(adj.)"	"pahutalik"
"397"	"a"	"Agliophobia"	"kusut-pthak"
"398"	"a"	"Agnosia"	"fam-naglashaya-nosh"
"399"	"a"	"Ago"	"vesh"
"400"	"a"	"Agony"	"hakusut"
"401"	"a"	"Agoraphobia"	"tu'ashal-pthak"
"402"	"a"	"Agraphia"	"fam-kitaya-nosh"
"403"	"a"	"Agree"	"sep-wafikh(anc.)"
"404"	"a"	"Agreement"	"sep-wafikhan"
"405"	"a"	"Agrestal"	"risokasitalik"
"406"	"a"	"Agriculture"	"urokasaya"
"407"	"a"	"Agrizoophobia"	"kwai-aushfa-pthak"
"408"	"a"	"Agroecosystem"	"urozh-ha-ek'torektra"
"409"	"a"	"Agronomist"	"urozh-solek-talsu"
"410"	"a"	"Agronomy"	"urozh-solek-tal"
"411"	"a"	"Aground(adj.)"	"fisolektal-, fisolektalik"
"412"	"a"	"Ah"	"ii"
"413"	"a"	"Aichmophobia"	"sfek-vel-pthak"
"414"	"a"	"Aid"	"gol'nev(n.), gol-tor(v.); mamut(n., obs.), mamuk(v., obs.)"
"415"	"a"	"Aide"	"gol'nevsu"
"416"	"a"	"Aileron"	"padukau-rala"
"417"	"a"	"Ailment"	"has-mar"
"418"	"a"	"Ailurophobia"	"kaht-pthak"
"419"	"a"	"Aim"	"mokh(n.), mokh-tor(v.)"
"420"	"a"	"Air(n.)"	"sov"
"421"	"a"	"Air absorption"	"sov-vi-seshaya"
"422"	"a"	"Air bladder"	"sov-sa'haf"
"423"	"a"	"Air brake(n., aero.)"	"sov-vohrayek"
"424"	"a"	"Air-breathing(adj.)"	"sov-eshan-, sov-eshanik"
"425"	"a"	"Air brush(n.)"	"sov-achut"
"426"	"a"	"Air cleaner"	"sov-puyek"
"427"	"a"	"Air combat"	"sov-morov"
"428"	"a"	"Air combat manuvering (ACM)"	"sov-morov-khardvuyan"
"429"	"a"	"Air compressor"	"sov-lerakovayek"
"430"	"a"	"Air conditioner"	"sov-noshek"
"431"	"a"	"Air conditioning"	"sov-noshaya"
"432"	"a"	"Air conditioning duct"	"sov-noshau-mev"
"433"	"a"	"Air dry(v.)"	"sov-psethau"
"434"	"a"	"Air duct"	"sov-mev"
"435"	"a"	"Air embolism"	"sovik khaf-mev-klotaya"
"436"	"a"	"Air filter"	"sov-kapol"
"437"	"a"	"Air force (AF)"	"sov-halitra"
"438"	"a"	"Air force base (AFB)"	"sov-halitra-sunena"
"439"	"a"	"Air intake"	"sov-prah-vel"
"440"	"a"	"Air intercept missile (AIM)"	"sov-fnakaunik yon-kliton"
"441"	"a"	"Air intercept rocket (AIR)"	"sov-fnakaunik yon-hashek"
"442"	"a"	"Air-launched booster (ALB)"	"sov-spusau-aborayek"
"443"	"a"	"Air-launched vehicle (ALV)"	"sov-spusau-hali"
"444"	"a"	"Air mass"	"sov-vak"
"445"	"a"	"Air pocket"	"abulik sov-razh"
"446"	"a"	"Air pressure"	"sov-vihish"
"447"	"a"	"Air pump"	"sov-spol"
"448"	"a"	"Air purifier"	"sov-dromek"
"449"	"a"	"Air raid"	"sov-absakaya"
"450"	"a"	"Air raid shelter"	"rau-nol t'sov-absakaya"
"451"	"a"	"Air raid siren"	"she-vikayek t'sov-absakaya"
"452"	"a"	"Air shaft"	"sov-ur"
"453"	"a"	"Air sickness"	"hash-has-mar"
"454"	"a"	"Air speed"	"fna-sov-threshan"
"455"	"a"	"Air start(v.)"	"sov-palikau"
"456"	"a"	"Air superiority"	"sov-ekilabu'es"
"457"	"a"	"Air support(military)"	"sasov-nenikaya"
"458"	"a"	"Air-to-air missile (AAM)"	"sov-sovik yon-kliton"
"459"	"a"	"Air-to-air refueling"	"sov-sovik hal-tukhaya"
"460"	"a"	"Air-to-ground missile (AGM)"	"sov-solektraik yon-kliton"
"461"	"a"	"Air traffic control (ATC)"	"hash-halakiv-tash"
"462"	"a"	"Air traffic controller"	"hash-halakiv-tashsu"
"463"	"a"	"Air valve"	"sov-spunek"
"464"	"a"	"Airborne warning and control system (AWACS)"	"hashanik vikaun-tashan-torektra |HVTT|"
"465"	"a"	"Aircraft"	"sov-hali"
"466"	"a"	"Aircraft carrier"	"sov-hali-leshek"
"467"	"a"	"Airdrop(n.)"	"sov-nut"
"468"	"a"	"Airfield"	"shi'sov-hali"
"469"	"a"	"Airflow"	"sov-yumaya"
"470"	"a"	"Airfoil"	"aberala"
"471"	"a"	"Airframe"	"sov-hali-veltra(aircraft), hash-hali-veltra(missile, rocket, etc.)"
"472"	"a"	"Airglow"	"sov-min"
"473"	"a"	"Airless"	"sov-fam-, sov-famik"
"474"	"a"	"Airline"	"sov-ifis-krozhak"
"475"	"a"	"Airliner"	"sov-su-yata"
"476"	"a"	"Airlock"	"fna-svep"
"477"	"a"	"Airman(pilot)"	"hashsu"
"478"	"a"	"Airmanship"	"hash-renkup'es"
"479"	"a"	"Airplane"	"sov-hashek"
"480"	"a"	"Airplane crash"	"sov-hashek-tevul"
"481"	"a"	"Airport"	"shi'sov-hali"
"482"	"a"	"Airship"	"|tepuhik| pa-sov-hali"
"483"	"a"	"Airshow"	"sov-hali-gluvaya"
