"FRST_LETTER"	"vulcan"	"pronunciation"	"variety"	"fse"	"domain"
"71"	"a"	"Abu-to'ovayak "	NA	"MGV"	" stalagmite"	NA
"72"	"a"	"Abu-tor "	NA	"MGV"	" erect, put up"	NA
"73"	"a"	"Abu-vla-nu'leyik "	NA	"MGV"	" upside-down"	"adj."
"74"	"a"	"Abu-yumaya "	NA	"MGV"	" updraft"	"n."
"75"	"a"	"Abuhish "	NA	"MGV"	" upward pressure"	NA
"76"	"a"	"Abukhau "	" _ - bu - ' xa_ "	"MGV"	" rule over"	NA
"77"	"a"	"Abulau "	" _ - bu - ' la_ "	"MGV"	" increase"	"v."
"78"	"a"	"Abulik "	NA	"MGV"	" vertical"	"adj."
"79"	"a"	"Abulik sov-razh "	NA	"MGV"	" air pocket"	NA
"80"	"a"	"Abun-dvunek "	NA	"MGV"	" erector"	"anat."
"81"	"a"	"Abunaf "	" _ - bu - ' n_f "	"MGV"	" uplink"	"n."
"82"	"a"	"Abunuhal-tor "	NA	"MGV"	" pitch"	"v., aero."
"83"	"a"	"Abunuhalan "	NA	"MGV"	" pitch"	"n., aero."
"84"	"a"	"Abusalan-, Abusalanik "	NA	"MGV"	" upwind"	"adj."
"85"	"a"	"Abuthresha "	NA	"MGV"	" throttle up"	"v."
"86"	"a"	"Abutsuplau "	NA	"MGV"	" surrender"	"v."
"87"	"a"	"Abutsuplaya "	NA	"MGV"	" surrender"	"n."
"88"	"a"	"Abuvenik "	" _ - ' bu - ve - nik "	"MGV"	" upright"	NA
"89"	"a"	"Achut "	" _ - ' t_ut "	"MGV"	" brush"	"n."
"90"	"a"	"Af'traul "	NA	"MGV"	" utensil"	NA
"91"	"a"	"Af'tum "	" ' _f - tum "	"anc."	" kitchen"	NA
"92"	"a"	"Afer-tor "	" _ - fer - ' tor "	"MGV"	" establish, found"	"v."
"93"	"a"	"Aferal-, Aferalik "	NA	"MGV"	" established, founded"	"adj."
"94"	"a"	"Aferteraya "	NA	"MGV"	" corporation"	NA
"95"	"a"	"Afsakau "	NA	"MGV"	" declare, proclaim"	NA
"96"	"a"	"Afsakaya "	NA	"MGV"	" declaration, proclamation"	NA
"97"	"a"	"Agreibau "	NA	"MGV"	" torture"	"v."
"98"	"a"	"Agreibaya "	NA	"MGV"	" torture"	"n."
"99"	"a"	"Ahahr-tukh "	NA	"MGV"	" rhenium"	NA
"100"	"a"	"Ahkh "	" _'x , _x "	"anc."	" war"	"n."
"101"	"a"	"Ahkh-pidsu "	NA	"MGV"	" warlord"	NA
"102"	"a"	"Ahkh-zhagralar "	NA	"MGV"	" wargames"	NA
"103"	"a"	"Ahkhan "	" _'x - ' _n , _x - "	"MGV"	" warfare"	NA
"104"	"a"	"Ahkhinahru "	" _'x - i - ' n_r - u , _x - "	"anc."	" ancient battlefield psionic warrior"	NA
"105"	"a"	"Ahkhsu "	" ' _'x - su , ' _x - "	"MGV"	" warrior"	NA
"106"	"a"	"Ahklavau "	NA	"MGV"	" reveal"	NA
"107"	"a"	"Ahl-tukh "	NA	"MGV"	" iridium"	NA
"108"	"a"	"Ahm "	" _'m , _m "	"MGV"	" name"	"n."
"109"	"a"	"Ahm-rubah "	NA	"MGV"	" name change"	NA
"110"	"a"	"Ahm-tor "	" _'m - ' tor , _m - "	"MGV"	" name"	"v."
"111"	"a"	"Ahm-van-kal "	NA	"MGV"	" naming ceremony"	NA
"112"	"a"	"Ahn-vahr "	" _'n - ' v_'r , _n - ' v_r "	"anc."	" suicide dagger"	NA
"113"	"a"	"Ahn-wun "	" _'n - ' wun , _n - "	"anc."	" strap-like weapon, often with a weighted end"	NA
"114"	"a"	"Ahs "	" _'s , _s "	"MGV"	" jaw"	"n."
"115"	"a"	"Aht'lahntik Masutra "	NA	"MGV"	" Atlantic Ocean"	NA
"116"	"a"	"Aid "	" a_d "	"MGV"	" contentment"	NA
"117"	"a"	"Aidihn|-| "	" ' a_d - _n "	"MGV"	" contented"	"adj."
"118"	"a"	"Aifa "	" ' a_ - f_ "	"MGV"	" these"	NA
"119"	"a"	"Aikum "	" ' a_ - kum "	"MGV"	" moon"	"n."
"120"	"a"	"Aikum-ek'duv "	NA	"MGV"	" lunar eclipse"	NA
"121"	"a"	"Aikum-ha'gel "	NA	"MGV"	" moonlight"	NA
"122"	"a"	"Aikum-shen "	NA	"MGV"	" moonrise"	NA
"123"	"a"	"Aikum-solek "	NA	"MGV"	" lunar regolith"	NA
"124"	"a"	"Aikum-tal "	NA	"MGV"	" selenology"	NA
"125"	"a"	"Aikum-tevan "	NA	"MGV"	" moonset"	NA
"126"	"a"	"Ailin-tukh "	NA	"MGV"	" gabbro"	NA
"127"	"a"	"Ain "	NA	"MGV"	" garment"	NA
"128"	"a"	"Aisha "	" ' a_ - __ "	"MGV"	" cause"	"v."
"129"	"a"	"Aishan "	" a_ - ' __n "	"MGV"	" cause"	"n."
"130"	"a"	"Aitlu "	" a_t - ' lu "	"MGV"	" desire, want"	"v."
"131"	"a"	"Aitlun "	" a_t - ' lun "	"MGV"	" desire, want"	"n."
"132"	"a"	"Ak "	NA	"MGV"	" soon"	NA
"133"	"a"	"Ak'spra "	" ' _k - spr_ "	"NGS"	" heretic, unorthodox believer"	NA
"134"	"a"	"Ak'wik "	" _k - ' wik "	"MGV"	" surprised"	"adj."
"135"	"a"	"Ak'wik-abrash "	NA	"MGV"	" flash flood"	NA
"136"	"a"	"Ak'wikman "	NA	"MGV"	" surprise"	"v."
"137"	"a"	"Akali|-| "	" _ - ' k_ - li "	"MGV"	" urgent"	NA
"138"	"a"	"Akan|-| "	NA	"MGV"	" alien, ecdemic, exotic"	"not native"
"139"	"a"	"Akan-ha-tal "	NA	"MGV"	" xenobiology"	NA
"140"	"a"	"Akan-ha-talsu "	NA	"MGV"	" xenobiologist"	NA
"141"	"a"	"Akan-tor "	NA	"MGV"	" alienate"	NA
"142"	"a"	"Akanal-, Akanalik "	NA	"MGV"	" alienated"	"adj."
"143"	"a"	"Akansu "	" _ - ' k_n - su "	"MGV"	" alien"	"n."
"144"	"a"	"Akarshif "	" _ - k_r - ' _if "	"MGV"	" a long time"	NA
"145"	"a"	"Akhlami "	" _ - ' xl_ - mi "	"MGV"	" among us"	NA
"146"	"a"	"Akteibuhl "	" _k - ' te_ - b_l , - b_l "	"MGV"	" attainment"	NA
"147"	"a"	"Alakolah "	NA	"MGV"	" ripple"	"v."
"148"	"a"	"Alakolan "	NA	"MGV"	" ripple"	"n."
"149"	"a"	"Alem "	" _ - ' lem "	"MGV"	" salt"	"n."
"150"	"a"	"Alem'es "	NA	"MGV"	" saltiness, salinity"	NA
"151"	"a"	"Alem-flash "	NA	"MGV"	" mangrove swamp"	NA
"152"	"a"	"Alem-kov "	NA	"MGV"	" halite, rock salt"	NA
"153"	"a"	"Alem-masu "	NA	"MGV"	" saltwater"	"n."
"154"	"a"	"Alem-masu-kastra "	NA	"MGV"	" salt"	"water"
"155"	"a"	"Alem-sis "	NA	"MGV"	" salt depletion"	NA
"156"	"a"	"Alem-solek "	NA	"MGV"	" saline soil"	NA
"157"	"a"	"Alem-suk'muzh "	NA	"MGV"	" salt lake"	NA
"158"	"a"	"Alem-tukh "	NA	"MGV"	" sodium, natrium"	NA
"159"	"a"	"Alemik "	NA	"MGV"	" salty, saline"	NA
"160"	"a"	"Alemtra "	NA	"MGV"	" sabkha"	"geol."
"161"	"a"	"Aluk "	" _ - ' luk "	"MGV"	" fish"	"n."
"162"	"a"	"Aluk-kak "	NA	"MGV"	" fishbowl"	NA
"163"	"a"	"Aluk-kelek "	NA	"MGV"	" aquarium"	NA
"164"	"a"	"Aluk-kum-fek "	NA	"MGV"	" fishing pole"	NA
"165"	"a"	"Aluk-kum-kik "	NA	"MGV"	" fishhook"	NA
"166"	"a"	"Aluk-kum-mashali "	NA	"MGV"	" fishing boat"	NA
"167"	"a"	"Aluk-kum-tor "	NA	"MGV"	" fish"	"v."
"168"	"a"	"Aluk-kumsu "	NA	"MGV"	" fisherman"	NA
"169"	"a"	"An-bet"	NA	"anc."	" gable"	"n."
"170"	"a"	"An-kharkh "	" _n - ' x_rx "	"obs."	" fear"	"n."
"171"	"a"	"An-prele "	" _n - ' pre - le "	"NGS"	" pain control meditation"	NA
"172"	"a"	"Andorsu "	" _n - ' dor - su "	"MGV"	" Andorian"	"person/language"
"173"	"a"	"Ap'hashau "	" _p - h_ - ' _a_ "	"MGV"	" ricochet"	"v."
"174"	"a"	"Ap'hashaya "	NA	"MGV"	" ricochet"	"n."
"175"	"a"	"Apalikau-zehlanaya "	NA	"MGV"	" startup sequence"	NA
"176"	"a"	"Apalikaya "	NA	"MGV"	" startup, start-up"	NA
"177"	"a"	"Apumeskarau "	NA	"MGV"	" take a hold of"	NA
"178"	"a"	"Ar'ka-halek "	NA	"MGV"	" flywheel"	NA
"179"	"a"	"Ar'kada "	" _r - ' k_ - d_ "	"MGV"	" work"	"v."
"180"	"a"	"Ar'kada-lashi "	NA	"MGV"	" workstation"	NA
"181"	"a"	"Ar'kada-pthak "	NA	"MGV"	" ergophobia"	NA
"182"	"a"	"Ar'kadan "	" _r - k_ - ' d_n "	"MGV"	" work, chore, task, job"	NA
"183"	"a"	"Ar'tu "	" ' _r - tu "	"anc."	" project"	"n."
"184"	"a"	"Arlanga "	NA	"MGV"	" a Vulcan mountain range"	NA
"185"	"a"	"Arlanga-tukh "	NA	"MGV"	" yttrium"	NA
"186"	"a"	"Aru "	" _ - ' ru "	"anc."	" afternoon"	NA
"187"	"a"	"Aru-yem "	NA	"MGV"	" dinner, \"afternoon meal\""	NA
"188"	"a"	"Asal "	" _ - ' s_l "	"MGV"	" morning"	NA
"189"	"a"	"Asal-masu "	NA	"MGV"	" dew"	"n."
"190"	"a"	"Asal-masu-sfek "	NA	"MGV"	" dew point"	NA
"191"	"a"	"Asal-masu-thek "	NA	"MGV"	" dewdrop"	NA
"192"	"a"	"Asal-masu-thonek "	NA	"MGV"	" drosometer"	NA
"193"	"a"	"Asal-yem "	NA	"MGV"	" breakfast, \"morning meal\""	NA
"194"	"a"	"Ash'ai "	" __ - ' a_ "	"MGV"	" sock, stocking"	NA
"195"	"a"	"Ash'ai-zhel "	NA	"MGV"	" garter"	NA
"196"	"a"	"Ash'el "	" __ - ' el "	"MGV"	" shoe"	"n."
"197"	"a"	"Ash'gelfek "	NA	"MGV"	" perch"	"n."
"198"	"a"	"Ash'kwitayek "	NA	"MGV"	" pedal"	"n."
"199"	"a"	"Ash'ya "	" ' __ - j_ "	"MGV"	" foot"	NA
"200"	"a"	"Ash'ya-dukal "	NA	"MGV"	" football"	"the ball"
"201"	"a"	"Ash'ya-dukal-torvukh "	NA	"MGV"	" football"	"the sport"
"202"	"a"	"Ash'ya-fam-, ash'ya-famik "	NA	"MGV"	" apodal, apodous, footless"	NA
"203"	"a"	"Ash'ya-hilek "	NA	"MGV"	" spade"	"n."
"204"	"a"	"Ash'ya-sai-vel "	NA	"MGV"	" footwear"	NA
"205"	"a"	"Ash'yaidar "	" __ - ja_ - ' d_r "	"MGV"	" footprint"	"n."
"206"	"a"	"Ash'yakhut "	NA	"MGV"	" slipper"	"n."
"207"	"a"	"Ash-tor "	NA	"MGV"	" step, tread"	"v."
"208"	"a"	"Ash-vel "	" __ - ' vel "	"TGV"	" shoe"	"n."
"209"	"a"	"Ashal-, Ashalik "	NA	"MGV"	" "	"be"
"210"	"a"	"Ashal-veh "	NA	"MGV"	" beloved, darling, sweetheart"	"n."
"211"	"a"	"Ashau "	" _ - ' _a_ "	"MGV"	" love"	"v."
"212"	"a"	"Ashau-krel-masu "	NA	"MGV"	" love potion"	NA
"213"	"a"	"Ashaun-, Ashaunik "	NA	"MGV"	" loving"	"adj."
"214"	"a"	"Ashausu "	NA	"MGV"	" lover"	NA
"215"	"a"	"Ashaya-var "	NA	"MGV"	" love story"	NA
"216"	"a"	"Ashen-fau-yut "	NA	"MGV"	" causeway"	NA
"217"	"a"	"Ashen-padukau-rala "	NA	"MGV"	" elevon"	NA
"218"	"a"	"Ashenau "	" _ - _en - ' a_ "	"MGV"	" raise, elevate, amplify"	NA
"219"	"a"	"Ashenayek "	NA	"MGV"	" elevator"	"aero., anat."
"220"	"a"	"Ashenek "	" _ - ' _en - ek "	"MGV"	" exponent"	"math."
"221"	"a"	"Ashiv-tor "	NA	"MGV"	" repeat"	"v."
"222"	"a"	"Ashivau "	" _ - _i - ' va_ "	"MGV"	" iterate"	NA
"223"	"a"	"Ask'er "	" _sk - ' er "	"MGV"	" army"	NA
"224"	"a"	"Ask'ersu "	NA	"MGV"	" soldier"	NA
"225"	"a"	"Ask'ersu-kelek "	NA	"MGV"	" barracks"	NA
"226"	"a"	"Ask'ersu-leshek "	NA	"MGV"	" troop carrier"	NA
"227"	"a"	"Ask'plak-, Ask'plakik "	NA	"MGV"	" tactical"	"adj."
"228"	"a"	"Ask'plak-galu-wun "	NA	"MGV"	" tactical nuclear weapon"	NA
"229"	"a"	"Ask'plak-lansu "	NA	"MGV"	" tactical officer"	NA
"230"	"a"	"Ask'plak-lashi "	NA	"MGV"	" tactical station"	NA
"231"	"a"	"Ask'plakanu "	NA	"MGV"	" tactics"	NA
"232"	"a"	"Aski|-| "	" ' _s - ki "	"MGV"	" mighty, military"	"adj."
"233"	"a"	"Askital "	" _sk - i - ' t_l "	"MGV"	" military"	"n."
"234"	"a"	"Asklotau "	NA	"MGV"	" blockade"	"v."
"235"	"a"	"Asklotaya "	NA	"MGV"	" blockade"	"n."
"236"	"a"	"Asteronau "	NA	"MGV"	" attach"	NA
"237"	"a"	"Asteronau-mof "	NA	"MGV"	" clevis pin"	NA
"238"	"a"	"Asteronaya "	NA	"MGV"	" attachment"	NA
"239"	"a"	"Asteronaya-sfek "	NA	"MGV"	" attachment point"	NA
"240"	"a"	"Au "	NA	"MGV"	" them, they"	NA
"241"	"a"	"Aukh "	" a_x "	"MGV"	" gypsum"	NA
"242"	"a"	"Ausham "	" a__ - ' _m "	"MGV"	" venom"	NA
"243"	"a"	"Aushfa "	" a__ - ' f_ "	"MGV"	" animal"	"n."
"244"	"a"	"Aushfa-kelek "	NA	"MGV"	" barn, stable"	NA
"245"	"a"	"Aushfa-palutunatra "	NA	"MGV"	" animal husbandry"	NA
"246"	"a"	"Aushfa-razh "	NA	"MGV"	" burrow"	"n."
"247"	"a"	"Aushfa-wadi-hatik ha-vel "	NA	"MGV"	" epizoon"	NA
"248"	"a"	"Aushfa-tal "	NA	"MGV"	" zoology"	NA
"249"	"a"	"Aushfa-talsu "	NA	"MGV"	" zoologist"	NA
"250"	"a"	"Aushfal'esk "	NA	"MGV"	" beast"	NA
"251"	"a"	"Aushfamaluhr "	" a__ - ' f_ - m_ - l_r , - l_r , - l_r "	"MGV"	" animal"	"istic"
"252"	"a"	"Aushfatra "	" a__ - ' f_ - tr_ "	"MGV"	" fauna"	NA
"253"	"a"	"Aushfebihk-dva "	NA	"MGV"	" totemism"	"towards an animal"
"254"	"a"	"Aushkel "	" a__ - ' kel "	"MGV"	" den, lair"	NA
"255"	"a"	"Avaru"	NA	"anc."	" trouble"	"n."
"256"	"a"	"Avaru-satalau "	NA	"MGV"	" troubleshoot"	NA
"257"	"a"	"Avaru-satalausu "	NA	"MGV"	" troubleshooter"	NA
"258"	"a"	"Avaru-satalaya "	NA	"MGV"	" troubleshooting"	"n."
"259"	"a"	"Avon "	" _ - ' von "	"MGV"	" hunger"	"n."
"260"	"a"	"Avon-telik "	NA	"MGV"	" hunger"	"v."
"261"	"a"	"Awek|-| "	" _ - ' wek "	"MGV"	" private"	"adj."
"262"	"a"	"Awek'es "	NA	"MGV"	" privacy, solitude"	NA
"263"	"a"	"Awek-thro-yut "	NA	"MGV"	" driveway"	NA
"264"	"a"	"Awekat-, Awekatik "	NA	"MGV"	" solitary"	NA
"265"	"a"	"Ayau "	" _ - ' ja_ "	"MGV"	" tilt"	"v."
"266"	"a"	"Ayau-keh-vla "	NA	"MGV"	" rhombus"	NA
"267"	"a"	"Ayau-thonek "	NA	"MGV"	" tiltmeter"	NA
"268"	"a"	"Ayayik keh-vla "	NA	"MGV"	" rhombohedron"	NA
"269"	"a"	"Ayayik leh-dah-muk "	NA	"MGV"	" rhombododecahedron"	NA
"270"	"a"	"Azehl "	NA	"MGV"	" ray"	"math."
"271"	"a"	"Azehl-, Azehlik "	NA	"MGV"	" radial"	"adj."
"272"	"b"	"Ba'tak "	" b_ - ' t_k "	"anc."	" tradition"	NA
"273"	"b"	"Bablivau "	" b_ - bli - ' va_ "	"MGV"	" designate"	NA
"274"	"b"	"Babloputak "	" b_ - blo - ' put - _k "	"MGV"	" crusade"	"n."
"275"	"b"	"Bah-ker "	" ' b_' - ker , ' b_ - "	"anc."	" garden"	"n."
"276"	"b"	"Bah-tor "	" b_' - ' tor , b_ - "	"MGV"	" garden"	"v."
"277"	"b"	"Bahsu "	NA	"MGV"	" gardener"	NA
"278"	"b"	"Bai'"	NA	"obs."	" through, via, by means of"	NA
"279"	"b"	"Bai-lak-pa"	NA	"anc."	" self-pity"	NA
"280"	"b"	"Bak "	NA	"MGV"	" rib"	NA
"281"	"b"	"Bal "	NA	"MGV"	" group, set"	"n."
"282"	"b"	"Bali|-| "	" ' b_ - li "	"MGV"	" thick"	NA
"283"	"b"	"Bali-thonek "	NA	"MGV"	" caliper"	"s"
"284"	"b"	"Balkra "	" ' b_l - kr_ , ' b_lk - r_ "	"anc."	" an aromatic casserole"	NA
"285"	"b"	"Banut "	" b_ - ' nu t "	"MGV"	" speak of or about"	NA
"286"	"b"	"Bar-got"	NA	"anc."	" herb"	NA
"287"	"b"	"Bar-kas"	NA	"anc."	" spice"	NA
"288"	"b"	"Bashan "	" b_ - ' __n "	"MGV"	" migration"	NA
"289"	"b"	"Batai "	" b_ - ' ta_ "	"MGV"	" sturdy"	"adj."
"290"	"b"	"Bau-tor "	NA	"MGV"	" disregard, ignore"	NA
"291"	"b"	"Be' "	NA	"MGV"	" adjacent to, beside, close to, near, next to, in proximity to"	"prep."
"292"	"b"	"Be'es "	NA	"MGV"	" nearness, proximity"	NA
"293"	"b"	"Be'hai'la "	" be - ' ha_ - l_ "	"NGS"	" guest"	"n."
"294"	"b"	"Be'ru'lutik "	NA	"MGV"	" adoral"	NA
"295"	"b"	"Be-, Beik "	NA	"MGV"	" adjacent, close, near"	"adj."
"296"	"b"	"Be-wan-kur "	NA	"MGV"	" off-white"	"color"
"297"	"b"	"Beglanau "	NA	"MGV"	" notice"	"v."
"298"	"b"	"Behsu "	NA	"MGV"	" neighbor"	NA
"299"	"b"	"Beidzhorsu "	" ' be_ - d_or - su "	"MGV"	" Bajoran"	"person/language"
"300"	"b"	"Bek "	NA	"MGV"	" wait"	"n."
"301"	"b"	"Bek-tor "	NA	"MGV"	" wait"	"v."
"302"	"b"	"Belaar "	" be - ' l__r "	"NGS"	" Summer"	"season"
"303"	"b"	"Belk"	NA	"anc."	" scout "	"n."
"304"	"b"	"Ben "	NA	"MGV"	" to us"	NA
"305"	"b"	"Ben-gun "	" ben - ' gun "	"anc."	" therapy"	NA
"306"	"b"	"Bes "	NA	"MGV"	" drawing"	NA
"307"	"b"	"Bes-tor "	NA	"MGV"	" draw"	"v."
"308"	"b"	"Besan "	NA	"MGV"	" chart, map, plot"	"n."
"309"	"b"	"Besan-tanaf "	NA	"MGV"	" cartography"	NA
"310"	"b"	"Besau "	NA	"MGV"	" chart, map, plot"	"v."
"311"	"b"	"Besayek "	NA	"MGV"	" plotter"	"device"
"312"	"b"	"Besu "	" ' be - su "	"MGV"	" companion"	NA
"313"	"b"	"Besu'es "	NA	"MGV"	" companionship"	NA
"314"	"b"	"Betau "	NA	"MGV"	" approach, near"	"v."
"315"	"b"	"Bezhun "	" be - ' _un "	"MGV"	" eye, oculus"	NA
"316"	"b"	"Bezhun-hassu "	NA	"MGV"	" ophtalmologist"	NA
"317"	"b"	"Bezhun-isach "	NA	"MGV"	" eyelash"	NA
"318"	"b"	"Bezhun-kal "	NA	"MGV"	" eyeball"	"n."
"319"	"b"	"Bezhun-masu "	NA	"MGV"	" tears"	"n., multiple drops"
"320"	"b"	"Bezhun-masu-mev "	NA	"MGV"	" lacrimal duct, tear duct"	NA
"321"	"b"	"Bezhun-ripa'shaya "	NA	"MGV"	" cataract"	"med."
"322"	"b"	"Bezhun-tal "	NA	"MGV"	" ophtalmology"	NA
"323"	"b"	"Bezhun-thek "	NA	"MGV"	" tear"	"n., a single drop"
"324"	"b"	"Bezhun-wadi "	NA	"MGV"	" cornea"	NA
"325"	"b"	"Bezhun-wan "	NA	"MGV"	" sclera"	NA
"326"	"b"	"Bezhun-zehl "	NA	"MGV"	" eyebrow"	NA
"327"	"b"	"Bi' "	NA	"MGV"	" along"	"prep."
"328"	"b"	"Bif-, Bifik "	NA	"MGV"	" sure"	"adj."
"329"	"b"	"Bikuv "	" bi - ' kuv "	"MGV"	" picture"	NA
"330"	"b"	"Bikuv-kitaun "	NA	"MGV"	" hieroglyphic"	"writing"
"331"	"b"	"Bishau "	NA	"MGV"	" swarm, teem"	"v."
"332"	"b"	"Bladzh "	NA	"MGV"	" camp"	"n."
"333"	"b"	"Bladzh-yon "	NA	"MGV"	" campfire"	NA
"334"	"b"	"Bling "	NA	"MGV"	" cymbal"	NA
"335"	"b"	"Bohrau "	NA	"MGV"	" cure"	"v."
"336"	"b"	"Bol-, Bolik "	NA	"MGV"	" critical, vital"	NA
"337"	"b"	"Bol-falek'es "	NA	"MGV"	" critical temperature"	NA
"338"	"b"	"Bol-mog'es "	NA	"MGV"	" critical volume"	NA
"339"	"b"	"Bol-shivak "	NA	"MGV"	" critical mass"	NA
"340"	"b"	"Bol-sov-masu'es "	NA	"MGV"	" critical humidity"	NA
"341"	"b"	"Bol-suk'es "	NA	"MGV"	" critical size"	NA
"342"	"b"	"Bol-tav "	NA	"MGV"	" critical rate"	NA
"343"	"b"	"Bol-threshan "	NA	"MGV"	" critical speed"	NA
"344"	"b"	"Bol-toruk'es "	NA	"MGV"	" critical voltage"	NA
