"FRST_LETTER"	"voicing"	"vulcan"	"variety"	"pos"	"croftian_crossling_concepts"	"fse"
"112"	"a"	"voiced"	"Ahn-wun "	"anc."	"n."	"OBJ.CONC"	"strap-like weapon, often with a weighted end"
"113"	"a"	"voiced"	"Ahs "	"MGV"	"n."	"OBJ.CONC"	"jaw"
"114"	"a"	"voiced"	"Aht'lahntik Masutra "	"MGV"	"n."	"OBJ.CONC"	"Atlantic Ocean"
"115"	"a"	"voiced"	"Aid "	"MGV"	"n."	"OBJ.CONC"	"contentment"
"116"	"a"	"voiced"	"Aidihn|-| "	"MGV"	"adj."	"PROP.CONC"	"contented"
"117"	"a"	"voiced"	"Aifa "	"MGV"	"pron."	"SITU.MOD"	"these"
"118"	"a"	"voiced"	"Aikum "	"MGV"	"n."	"OBJ.CONC"	"moon"
"119"	"a"	"voiced"	"Aikum-ek'duv "	"MGV"	"n."	"OBJ.CONC"	"lunar eclipse"
"120"	"a"	"voiced"	"Aikum-ha'gel "	"MGV"	"n."	"OBJ.CONC"	"moonlight"
"121"	"a"	"voiced"	"Aikum-shen "	"MGV"	"n."	"OBJ.CONC"	"moonrise"
"122"	"a"	"voiced"	"Aikum-solek "	"MGV"	"n."	"OBJ.CONC"	"lunar regolith"
"123"	"a"	"voiced"	"Aikum-tal "	"MGV"	"n."	"OBJ.CONC"	"selenology"
"124"	"a"	"voiced"	"Aikum-tevan "	"MGV"	"n."	"OBJ.CONC"	"moonset"
"125"	"a"	"voiced"	"Ailin-tukh "	"MGV"	"n."	"OBJ.CONC"	"gabbro"
"126"	"a"	"voiced"	"Ain "	"MGV"	"n."	"OBJ.CONC"	"garment"
"127"	"a"	"voiced"	"Aisha "	"MGV"	"v."	"ACT.CONC"	"cause"
"128"	"a"	"voiced"	"Aishan "	"MGV"	"n."	"OBJ.CONC"	"cause"
"129"	"a"	"voiced"	"Aitlu "	"MGV"	"v."	"PREDIC.MODAL"	"desire, want"
"130"	"a"	"voiced"	"Aitlun "	"MGV"	"n."	"OBJ.CONC"	"desire, want"
"131"	"a"	"voiced"	"Ak "	"MGV"	"adv."	"ACT.CONC.MOD"	"soon"
"132"	"a"	"voiced"	"Ak'wik "	"MGV"	"adj."	"PROP.CONC"	"surprised"
"133"	"a"	"voiced"	"Ak'wik-abrash "	"MGV"	"n."	"OBJ.CONC"	"flash flood"
"134"	"a"	"voiced"	"Ak'wikman "	"MGV"	"v."	"ACT.CONC"	"surprise"
"135"	"a"	"voiced"	"Akali|-| "	"MGV"	"adj."	"PROP.CONC"	"urgent"
"136"	"a"	"voiced"	"Akan|-| "	"MGV"	"adj."	"PROP.CONC"	"alien, ecdemic, exotic (not native)"
"137"	"a"	"voiced"	"Akan-ha-tal "	"MGV"	"n."	"OBJ.CONC"	"xenobiology"
"138"	"a"	"voiced"	"Akan-ha-talsu "	"MGV"	"n."	"OBJ.CONC"	"xenobiologist"
"139"	"a"	"voiced"	"Akan-tor "	"MGV"	"v."	"ACT.CONC"	"alienate"
"140"	"a"	"voiced"	"Akanal-, Akanalik "	"MGV"	"adj."	"PROP.CONC"	"alienated"
"141"	"a"	"voiced"	"Akansu "	"MGV"	"n."	"OBJ.CONC"	"alien"
"142"	"a"	"voiced"	"Akarshif "	"MGV"	"adv."	"ACT.CONC.MOD"	"a long time"
"143"	"a"	"voiced"	"Akhlami "	"MGV"	"prep."	"SITU.MOD"	"among us"
"144"	"a"	"voiced"	"Akteibuhl "	"MGV"	"n."	"OBJ.CONC"	"attainment"
"145"	"a"	"voiced"	"Alakolah "	"MGV"	"v."	"ACT.CONC"	"ripple"
"146"	"a"	"voiced"	"Alakolan "	"MGV"	"n."	"OBJ.CONC"	"ripple"
"147"	"a"	"voiced"	"Alem "	"MGV"	"n."	"OBJ.CONC"	"salt"
"148"	"a"	"voiced"	"Alem'es "	"MGV"	"n."	"OBJ.CONC"	"saltiness, salinity"
"149"	"a"	"voiced"	"Alem-flash "	"MGV"	"n."	"OBJ.CONC"	"mangrove swamp"
"150"	"a"	"voiced"	"Alem-kov "	"MGV"	"n."	"OBJ.CONC"	"halite, rock salt"
"151"	"a"	"voiced"	"Alem-masu "	"MGV"	"n."	"OBJ.CONC"	"saltwater"
"152"	"a"	"voiced"	"Alem-masu-kastra "	"MGV"	"n."	"OBJ.CONC"	"salt (water)"
"153"	"a"	"voiced"	"Alem-sis "	"MGV"	"n."	"OBJ.CONC"	"salt depletion"
"154"	"a"	"voiced"	"Alem-solek "	"MGV"	"n."	"OBJ.CONC"	"saline soil"
"155"	"a"	"voiced"	"Alem-suk'muzh "	"MGV"	"n."	"OBJ.CONC"	"salt lake"
"156"	"a"	"voiced"	"Alem-tukh "	"MGV"	"n."	"OBJ.CONC"	"sodium, natrium"
"157"	"a"	"voiced"	"Alemik "	"MGV"	"adj."	"PROP.CONC"	"salty, saline"
"158"	"a"	"voiced"	"Alemtra "	"MGV"	"n."	"OBJ.CONC"	"sabkha"
"159"	"a"	"voiced"	"Aluk "	"MGV"	"n."	"OBJ.CONC"	"fish"
"160"	"a"	"voiced"	"Aluk-kak "	"MGV"	"n."	"OBJ.CONC"	"fishbowl"
"161"	"a"	"voiced"	"Aluk-kelek "	"MGV"	"n."	"OBJ.CONC"	"aquarium"
"162"	"a"	"voiced"	"Aluk-kum-fek "	"MGV"	"n."	"OBJ.CONC"	"fishing pole"
"163"	"a"	"voiced"	"Aluk-kum-kik "	"MGV"	"n."	"OBJ.CONC"	"fishhook"
"164"	"a"	"voiced"	"Aluk-kum-mashali "	"MGV"	"n."	"OBJ.CONC"	"fishing boat"
"165"	"a"	"voiced"	"Aluk-kum-tor "	"MGV"	"v."	"ACT.CONC"	"fish"
"166"	"a"	"voiced"	"Aluk-kumsu "	"MGV"	"n."	"OBJ.CONC"	"fisherman"
"167"	"a"	"voiced"	"An-bet"	"anc."	"n."	"OBJ.CONC"	"gable"
"168"	"a"	"voiced"	"Andorsu "	"MGV"	"n."	"OBJ.CONC"	"Andorian"
"169"	"a"	"voiced"	"Ap'hashau "	"MGV"	"v."	"ACT.CONC"	"ricochet"
"170"	"a"	"voiced"	"Ap'hashaya "	"MGV"	"n."	"OBJ.CONC"	"ricochet"
"171"	"a"	"voiced"	"Apalikau-zehlanaya "	"MGV"	"n."	"OBJ.CONC"	"startup sequence"
"172"	"a"	"voiced"	"Apalikaya "	"MGV"	"n."	"OBJ.CONC"	"startup, start-up"
"173"	"a"	"voiced"	"Apumeskarau "	"MGV"	"v."	"ACT.CONC"	"take a hold of"
"174"	"a"	"voiced"	"Ar'ka-halek "	"MGV"	"n."	"OBJ.CONC"	"flywheel"
"175"	"a"	"voiced"	"Ar'kada "	"MGV"	"v."	"ACT.CONC"	"work"
"176"	"a"	"voiced"	"Ar'kada-lashi "	"MGV"	"n."	"OBJ.CONC"	"workstation"
"177"	"a"	"voiced"	"Ar'kada-pthak "	"MGV"	"n."	"OBJ.CONC"	"ergophobia"
"178"	"a"	"voiced"	"Ar'kadan "	"MGV"	"n."	"OBJ.CONC"	"work, chore, task, job"
"179"	"a"	"voiced"	"Ar'tu "	"anc."	"n."	"OBJ.CONC"	"project"
"180"	"a"	"voiced"	"Arlanga "	"MGV"	"n."	"OBJ.CONC"	"a Vulcan mountain range"
"181"	"a"	"voiced"	"Arlanga-tukh "	"MGV"	"n."	"OBJ.CONC"	"yttrium"
"182"	"a"	"voiced"	"Aru "	"anc."	"n."	"OBJ.CONC"	"afternoon"
"183"	"a"	"voiced"	"Aru-yem "	"MGV"	"n."	"OBJ.CONC"	"dinner, afternoon meal"
"184"	"a"	"voiced"	"Asal "	"MGV"	"n."	"OBJ.CONC"	"morning"
"185"	"a"	"voiced"	"Asal-masu "	"MGV"	"n."	"OBJ.CONC"	"dew"
"186"	"a"	"voiced"	"Asal-masu-sfek "	"MGV"	"n."	"OBJ.CONC"	"dew point"
"187"	"a"	"voiced"	"Asal-masu-thek "	"MGV"	"n."	"OBJ.CONC"	"dewdrop"
"188"	"a"	"voiced"	"Asal-masu-thonek "	"MGV"	"n."	"OBJ.CONC"	"drosometer"
"189"	"a"	"voiced"	"Asal-yem "	"MGV"	"n."	"OBJ.CONC"	"breakfast, morning meal"
"190"	"a"	"voiced"	"Ash'ai "	"MGV"	"n."	"OBJ.CONC"	"sock, stocking"
"191"	"a"	"voiced"	"Ash'ai-zhel "	"MGV"	"n."	"OBJ.CONC"	"garter"
"192"	"a"	"voiced"	"Ash'el "	"MGV"	"n."	"OBJ.CONC"	"shoe"
"193"	"a"	"voiced"	"Ash'gelfek "	"MGV"	"n."	"OBJ.CONC"	"perch"
"194"	"a"	"voiced"	"Ash'kwitayek "	"MGV"	"n."	"OBJ.CONC"	"pedal"
"195"	"a"	"voiced"	"Ash'ya "	"MGV"	"n."	"OBJ.CONC"	"foot"
"196"	"a"	"voiced"	"Ash'ya-dukal "	"MGV"	"n."	"OBJ.CONC"	"football (the ball)"
"197"	"a"	"voiced"	"Ash'ya-dukal-torvukh "	"MGV"	"n."	"OBJ.CONC"	"football (the sport)"
"198"	"a"	"voiced"	"Ash'ya-fam-, ash'ya-famik "	"MGV"	"adj."	"PROP.CONC"	"apodal, apodous, footless"
"199"	"a"	"voiced"	"Ash'ya-hilek "	"MGV"	"n."	"OBJ.CONC"	"spade"
"200"	"a"	"voiced"	"Ash'ya-sai-vel "	"MGV"	"n."	"OBJ.CONC"	"footwear"
"201"	"a"	"voiced"	"Ash'yaidar "	"MGV"	"n."	"OBJ.CONC"	"footprint"
"202"	"a"	"voiced"	"Ash'yakhut "	"MGV"	"n."	"OBJ.CONC"	"slipper"
"203"	"a"	"voiced"	"Ash-tor "	"MGV"	"v."	"ACT.CONC"	"step, tread"
"204"	"a"	"voiced"	"Ashal-, Ashalik "	"MGV"	"adj."	"PROP.CONC"	"(be)loved, darling"
"205"	"a"	"voiced"	"Ashal-veh "	"MGV"	"n."	"OBJ.CONC"	"beloved, darling, sweetheart"
"206"	"a"	"voiced"	"Ashau "	"MGV"	"v."	"ACT.CONC"	"love"
"207"	"a"	"voiced"	"Ashau-krel-masu "	"MGV"	"n."	"OBJ.CONC"	"love potion"
"208"	"a"	"voiced"	"Ashaun-, Ashaunik "	"MGV"	"adj."	"ACT.CONC.MOD"	"loving"
"209"	"a"	"voiced"	"Ashausu "	"MGV"	"n."	"OBJ.CONC"	"lover"
"210"	"a"	"voiced"	"Ashaya-var "	"MGV"	"n."	"OBJ.CONC"	"love story"
"211"	"a"	"voiced"	"Ashen-fau-yut "	"MGV"	"n."	"OBJ.CONC"	"causeway"
"212"	"a"	"voiced"	"Ashen-padukau-rala "	"MGV"	"n."	"OBJ.CONC"	"elevon"
"213"	"a"	"voiced"	"Ashenau "	"MGV"	"v."	"ACT.CONC"	"raise, elevate, amplify"
"214"	"a"	"voiced"	"Ashenayek "	"MGV"	"n."	"OBJ.CONC"	"elevator"
"215"	"a"	"voiced"	"Ashenek "	"MGV"	"n."	"OBJ.CONC"	"exponent"
"216"	"a"	"voiced"	"Ashiv-tor "	"MGV"	"v."	"ACT.CONC"	"repeat"
"217"	"a"	"voiced"	"Ashivau "	"MGV"	"v."	"ACT.CONC"	"iterate"
"218"	"a"	"voiced"	"Ask'er "	"MGV"	"n."	"OBJ.CONC"	"army"
"219"	"a"	"voiced"	"Ask'ersu "	"MGV"	"n."	"OBJ.CONC"	"soldier"
"220"	"a"	"voiced"	"Ask'ersu-kelek "	"MGV"	"n."	"OBJ.CONC"	"barracks"
"221"	"a"	"voiced"	"Ask'ersu-leshek "	"MGV"	"n."	"OBJ.CONC"	"troop carrier"
"222"	"a"	"voiced"	"Ask'plak-, Ask'plakik "	"MGV"	"adj."	"PROP.CONC"	"tactical"
"223"	"a"	"voiced"	"Ask'plak-galu-wun "	"MGV"	"n."	"OBJ.CONC"	"tactical nuclear weapon"
"224"	"a"	"voiced"	"Ask'plak-lansu "	"MGV"	"n."	"OBJ.CONC"	"tactical officer"
"225"	"a"	"voiced"	"Ask'plak-lashi "	"MGV"	"n."	"OBJ.CONC"	"tactical station"
"226"	"a"	"voiced"	"Ask'plakanu "	"MGV"	"n."	"OBJ.CONC"	"tactics"
"227"	"a"	"voiced"	"Aski|-| "	"MGV"	"adj."	"PROP.CONC"	"mighty, military"
"228"	"a"	"voiced"	"Askital "	"MGV"	"n."	"OBJ.CONC"	"military"
"229"	"a"	"voiced"	"Asklotau "	"MGV"	"v."	"ACT.CONC"	"blockade"
"230"	"a"	"voiced"	"Asklotaya "	"MGV"	"n."	"OBJ.CONC"	"blockade"
"231"	"a"	"voiced"	"Asteronau "	"MGV"	"v."	"ACT.CONC"	"attach"
"232"	"a"	"voiced"	"Asteronau-mof "	"MGV"	"n."	"OBJ.CONC"	"clevis pin"
"233"	"a"	"voiced"	"Asteronaya "	"MGV"	"n."	"OBJ.CONC"	"attachment"
"234"	"a"	"voiced"	"Asteronaya-sfek "	"MGV"	"n."	"OBJ.CONC"	"attachment point"
"235"	"a"	"voiced"	"Au "	"MGV"	"pron."	"OBJ.CONC"	"them, they"
"236"	"a"	"voiced"	"Aukh "	"MGV"	"n."	"OBJ.CONC"	"gypsum"
"237"	"a"	"voiced"	"Ausham "	"MGV"	"n."	"OBJ.CONC"	"venom"
"238"	"a"	"voiced"	"Aushfa "	"MGV"	"n."	"OBJ.CONC"	"animal"
"239"	"a"	"voiced"	"Aushfa-kelek "	"MGV"	"n."	"OBJ.CONC"	"barn, stable"
"240"	"a"	"voiced"	"Aushfa-palutunatra "	"MGV"	"n."	"OBJ.CONC"	"animal husbandry"
"241"	"a"	"voiced"	"Aushfa-razh "	"MGV"	"n."	"OBJ.CONC"	"burrow"
"242"	"a"	"voiced"	"Aushfa-wadi-hatik ha-vel "	"MGV"	"n."	"OBJ.CONC"	"epizoon"
"243"	"a"	"voiced"	"Aushfa-tal "	"MGV"	"n."	"OBJ.CONC"	"zoology"
"244"	"a"	"voiced"	"Aushfa-talsu "	"MGV"	"n."	"OBJ.CONC"	"zoologist"
"245"	"a"	"voiced"	"Aushfal'esk "	"MGV"	"n."	"OBJ.CONC"	"beast"
"246"	"a"	"voiced"	"Aushfamaluhr "	"MGV"	"adj."	"PROP.CONC"	"animal(istic), beastly, savage"
"247"	"a"	"voiced"	"Aushfatra "	"MGV"	"n."	"OBJ.CONC"	"fauna"
"248"	"a"	"voiced"	"Aushfebihk-dva "	"MGV"	"n."	"OBJ.CONC"	"totemism (towards an animal)"
"249"	"a"	"voiced"	"Aushkel "	"MGV"	"n."	"OBJ.CONC"	"den, lair"
"250"	"a"	"voiced"	"Avaru"	"anc."	"n."	"OBJ.CONC"	"trouble"
"251"	"a"	"voiced"	"Avaru-satalau "	"MGV"	"v."	"ACT.CONC"	"troubleshoot"
"252"	"a"	"voiced"	"Avaru-satalausu "	"MGV"	"n."	"OBJ.CONC"	"troubleshooter"
"253"	"a"	"voiced"	"Avaru-satalaya "	"MGV"	"n."	"OBJ.CONC"	"troubleshooting"
"254"	"a"	"voiced"	"Avon "	"MGV"	"n."	"OBJ.CONC"	"hunger"
"255"	"a"	"voiced"	"Avon-telik "	"MGV"	"v."	"ACT.CONC"	"hunger"
"256"	"a"	"voiced"	"Awek|-| "	"MGV"	"adj."	"PROP.CONC"	"private"
"257"	"a"	"voiced"	"Awek'es "	"MGV"	"n."	"OBJ.CONC"	"privacy, solitude"
"258"	"a"	"voiced"	"Awek-thro-yut "	"MGV"	"n."	"OBJ.CONC"	"driveway"
"259"	"a"	"voiced"	"Awekat-, Awekatik "	"MGV"	"adj."	"PROP.CONC"	"solitary"
"260"	"a"	"voiced"	"Ayau "	"MGV"	"v."	"ACT.CONC"	"tilt"
"261"	"a"	"voiced"	"Ayau-keh-vla "	"MGV"	"n."	"OBJ.CONC"	"rhombus"
"262"	"a"	"voiced"	"Ayau-thonek "	"MGV"	"n."	"OBJ.CONC"	"tiltmeter"
"263"	"a"	"voiced"	"Ayayik keh-vla "	"MGV"	"n."	"OBJ.CONC"	"rhombohedron"
