"FRST_LETTER"	"vulcan"	"pronunciation"	"variety"	"pos"	"fse"	"misc"
"44"	"a"	"Abru-ralashik "	NA	"MGV"	NA	" supersonic"	""
"45"	"a"	"Abru-ralashik ifis-hali "	NA	"MGV"	NA	" supersonic transport "	"SST"
"46"	"a"	"Abru-spis "	NA	"MGV"	NA	" anticline"	""
"47"	"a"	"Abru-su'us "	NA	"MGV"	NA	" numerator"	""
"48"	"a"	"Abru-tchakat "	NA	"MGV"	NA	" camber"	"mech.;eng."
"49"	"a"	"Abru-tus "	NA	"MGV"	"n."	" overload"	""
"50"	"a"	"Abru-tus-nelayek "	NA	"MGV"	NA	" overload suppressor"	""
"51"	"a"	"Abru-tus-tor "	NA	"MGV"	"v."	" overload"	""
"52"	"a"	"Abru-tvi-kovtra "	NA	"MGV"	NA	" asthenosphere"	""
"53"	"a"	"Abru-vulu "	NA	"MGV"	NA	" obtuse angle"	""
"54"	"a"	"Abru-yetural-, Abru-yeturalik "	NA	"MGV"	"adj."	" overdriven"	""
"55"	"a"	"Abru-zan-mev "	NA	"MGV"	NA	" periscope"	""
"56"	"a"	"Abrukhau "	NA	"MGV"	NA	" dominate"	""
"57"	"a"	"Abrumashen-, abrumashenik "	NA	"MGV"	NA	" awash"	""
"58"	"a"	"Abruneniwau "	NA	"MGV"	NA	" supervise"	""
"59"	"a"	"Abruneniwausu "	NA	"MGV"	NA	" supervisor"	""
"60"	"a"	"Abrupik "	" _ - ' bru - pik "	"MGV"	NA	" dominant"	""
"61"	"a"	"Abrupodon "	NA	"MGV"	"n."	" profit"	""
"62"	"a"	"Abruven-esh-nosh "	NA	"MGV"	NA	" orthopnea"	""
"63"	"a"	"Absakau "	NA	"MGV"	"v."	" raid"	""
"64"	"a"	"Absakausu "	NA	"MGV"	NA	" raider, marauder"	""
"65"	"a"	"Abu, Abu' "	NA	"MGV"	NA	" up"	""
"66"	"a"	"Abu'le "	" _ - ' bu - le "	"MGV"	NA	" upward"	"s"
"67"	"a"	"Abu'shi "	NA	"MGV"	NA	" aloft"	""
"68"	"a"	"Abu'tvau "	NA	"MGV"	NA	" swing up"	""
"69"	"a"	"Abu-dvun-, Abu-dvunik "	NA	"MGV"	"adj."	" anabatic"	""
"70"	"a"	"Abu-pla'dor-hinek "	NA	"MGV"	NA	" thoracic vertebra"	""
"71"	"a"	"Abu-to'ovayak "	NA	"MGV"	NA	" stalagmite"	""
"72"	"a"	"Abu-tor "	NA	"MGV"	NA	" erect, put up"	""
"73"	"a"	"Abu-vla-nu'leyik "	NA	"MGV"	"adj."	" upside-down"	""
"74"	"a"	"Abu-yumaya "	NA	"MGV"	"n."	" updraft"	""
"75"	"a"	"Abuhish "	NA	"MGV"	NA	" upward pressure"	""
"76"	"a"	"Abukhau "	" _ - bu - ' xa_ "	"MGV"	NA	" rule over"	""
"77"	"a"	"Abulau "	" _ - bu - ' la_ "	"MGV"	"v."	" increase"	""
"78"	"a"	"Abulik "	NA	"MGV"	"adj."	" vertical"	""
"79"	"a"	"Abulik sov-razh "	NA	"MGV"	NA	" air pocket"	""
"80"	"a"	"Abun-dvunek "	NA	"MGV"	NA	" erector"	"anat."
"81"	"a"	"Abunaf "	" _ - bu - ' n_f "	"MGV"	"n."	" uplink"	""
"82"	"a"	"Abunuhal-tor "	NA	"MGV"	"v."	" pitch"	"aero."
"83"	"a"	"Abunuhalan "	NA	"MGV"	"n."	" pitch"	"aero."
"84"	"a"	"Abusalan-, Abusalanik "	NA	"MGV"	"adj."	" upwind"	""
"85"	"a"	"Abuthresha "	NA	"MGV"	"v."	" throttle up"	""
"86"	"a"	"Abutsuplau "	NA	"MGV"	"v."	" surrender"	""
"87"	"a"	"Abutsuplaya "	NA	"MGV"	"n."	" surrender"	""
"88"	"a"	"Abuvenik "	" _ - ' bu - ve - nik "	"MGV"	NA	" upright"	""
"89"	"a"	"Achut "	" _ - ' t_ut "	"MGV"	"n."	" brush"	""
"90"	"a"	"Af'traul "	NA	"MGV"	NA	" utensil"	""
"91"	"a"	"Af'tum "	" ' _f - tum "	"anc."	NA	" kitchen"	""
"92"	"a"	"Afer-tor "	" _ - fer - ' tor "	"MGV"	"v."	" establish, found"	""
"93"	"a"	"Aferal-, Aferalik "	NA	"MGV"	"adj."	" established, founded"	""
"94"	"a"	"Aferteraya "	NA	"MGV"	NA	" corporation"	""
"95"	"a"	"Afsakau "	NA	"MGV"	NA	" declare, proclaim"	""
"96"	"a"	"Afsakaya "	NA	"MGV"	NA	" declaration, proclamation"	""
"97"	"a"	"Agreibau "	NA	"MGV"	"v."	" torture"	""
"98"	"a"	"Agreibaya "	NA	"MGV"	"n."	" torture"	""
"99"	"a"	"Ahahr-tukh "	NA	"MGV"	NA	" rhenium"	""
"100"	"a"	"Ahkh "	" _'x , _x "	"anc."	"n."	" war"	""
"101"	"a"	"Ahkh-pidsu "	NA	"MGV"	NA	" warlord"	""
"102"	"a"	"Ahkh-zhagralar "	NA	"MGV"	NA	" wargames"	""
"103"	"a"	"Ahkhan "	" _'x - ' _n , _x - "	"MGV"	NA	" warfare"	""
"104"	"a"	"Ahkhinahru "	" _'x - i - ' n_r - u , _x - "	"anc."	NA	" ancient battlefield psionic warrior"	""
"105"	"a"	"Ahkhsu "	" ' _'x - su , ' _x - "	"MGV"	NA	" warrior"	""
"106"	"a"	"Ahklavau "	NA	"MGV"	NA	" reveal"	""
"107"	"a"	"Ahl-tukh "	NA	"MGV"	NA	" iridium"	""
"108"	"a"	"Ahm "	" _'m , _m "	"MGV"	"n."	" name"	""
"109"	"a"	"Ahm-rubah "	NA	"MGV"	NA	" name change"	""
"110"	"a"	"Ahm-tor "	" _'m - ' tor , _m - "	"MGV"	"v."	" name"	""
"111"	"a"	"Ahm-van-kal "	NA	"MGV"	NA	" naming ceremony"	""
"112"	"a"	"Ahn-vahr "	" _'n - ' v_'r , _n - ' v_r "	"anc."	NA	" suicide dagger"	""
"113"	"a"	"Ahn-wun "	" _'n - ' wun , _n - "	"anc."	NA	" strap-like weapon, often with a weighted end"	""
"114"	"a"	"Ahs "	" _'s , _s "	"MGV"	"n."	" jaw"	""
"115"	"a"	"Aht'lahntik Masutra "	NA	"MGV"	NA	" Atlantic Ocean"	""
"116"	"a"	"Aid "	" a_d "	"MGV"	NA	" contentment"	""
"117"	"a"	"Aidihn|-| "	" ' a_d - _n "	"MGV"	"adj."	" contented"	""
"118"	"a"	"Aifa "	" ' a_ - f_ "	"MGV"	NA	" these"	""
"119"	"a"	"Aikum "	" ' a_ - kum "	"MGV"	"n."	" moon"	""
"120"	"a"	"Aikum-ek'duv "	NA	"MGV"	NA	" lunar eclipse"	""
"121"	"a"	"Aikum-ha'gel "	NA	"MGV"	NA	" moonlight"	""
"122"	"a"	"Aikum-shen "	NA	"MGV"	NA	" moonrise"	""
"123"	"a"	"Aikum-solek "	NA	"MGV"	NA	" lunar regolith"	""
"124"	"a"	"Aikum-tal "	NA	"MGV"	NA	" selenology"	""
"125"	"a"	"Aikum-tevan "	NA	"MGV"	NA	" moonset"	""
"126"	"a"	"Ailin-tukh "	NA	"MGV"	NA	" gabbro"	""
"127"	"a"	"Ain "	NA	"MGV"	NA	" garment"	""
"128"	"a"	"Aisha "	" ' a_ - __ "	"MGV"	"v."	" cause"	""
"129"	"a"	"Aishan "	" a_ - ' __n "	"MGV"	"n."	" cause"	""
"130"	"a"	"Aitlu "	" a_t - ' lu "	"MGV"	"v."	" desire, want"	""
"131"	"a"	"Aitlun "	" a_t - ' lun "	"MGV"	"n."	" desire, want"	""
"132"	"a"	"Ak "	NA	"MGV"	NA	" soon"	""
"133"	"a"	"Ak'spra "	" ' _k - spr_ "	"NGS"	NA	" heretic, unorthodox believer"	""
"134"	"a"	"Ak'wik "	" _k - ' wik "	"MGV"	"adj."	" surprised"	""
"135"	"a"	"Ak'wik-abrash "	NA	"MGV"	NA	" flash flood"	""
"136"	"a"	"Ak'wikman "	NA	"MGV"	"v."	" surprise"	""
"137"	"a"	"Akali|-| "	" _ - ' k_ - li "	"MGV"	NA	" urgent"	""
"138"	"a"	"Akan|-| "	NA	"MGV"	NA	" alien, ecdemic, exotic"	"not native"
"139"	"a"	"Akan-ha-tal "	NA	"MGV"	NA	" xenobiology"	""
"140"	"a"	"Akan-ha-talsu "	NA	"MGV"	NA	" xenobiologist"	""
"141"	"a"	"Akan-tor "	NA	"MGV"	NA	" alienate"	""
"142"	"a"	"Akanal-, Akanalik "	NA	"MGV"	"adj."	" alienated"	""
"143"	"a"	"Akansu "	" _ - ' k_n - su "	"MGV"	"n."	" alien"	""
"144"	"a"	"Akarshif "	" _ - k_r - ' _if "	"MGV"	NA	" a long time"	""
"145"	"a"	"Akhlami "	" _ - ' xl_ - mi "	"MGV"	NA	" among us"	""
"146"	"a"	"Akteibuhl "	" _k - ' te_ - b_l , - b_l "	"MGV"	NA	" attainment"	""
"147"	"a"	"Alakolah "	NA	"MGV"	"v."	" ripple"	""
"148"	"a"	"Alakolan "	NA	"MGV"	"n."	" ripple"	""
"149"	"a"	"Alem "	" _ - ' lem "	"MGV"	"n."	" salt"	""
"150"	"a"	"Alem'es "	NA	"MGV"	NA	" saltiness, salinity"	""
"151"	"a"	"Alem-flash "	NA	"MGV"	NA	" mangrove swamp"	""
"152"	"a"	"Alem-kov "	NA	"MGV"	NA	" halite, rock salt"	""
"153"	"a"	"Alem-masu "	NA	"MGV"	"n."	" saltwater"	""
"154"	"a"	"Alem-masu-kastra "	NA	"MGV"	NA	" salt"	"water"
"155"	"a"	"Alem-sis "	NA	"MGV"	NA	" salt depletion"	""
"156"	"a"	"Alem-solek "	NA	"MGV"	NA	" saline soil"	""
"157"	"a"	"Alem-suk'muzh "	NA	"MGV"	NA	" salt lake"	""
"158"	"a"	"Alem-tukh "	NA	"MGV"	NA	" sodium, natrium"	""
"159"	"a"	"Alemik "	NA	"MGV"	NA	" salty, saline"	""
"160"	"a"	"Alemtra "	NA	"MGV"	NA	" sabkha"	"geol."
"161"	"a"	"Aluk "	" _ - ' luk "	"MGV"	"n."	" fish"	""
"162"	"a"	"Aluk-kak "	NA	"MGV"	NA	" fishbowl"	""
"163"	"a"	"Aluk-kelek "	NA	"MGV"	NA	" aquarium"	""
"164"	"a"	"Aluk-kum-fek "	NA	"MGV"	NA	" fishing pole"	""
"165"	"a"	"Aluk-kum-kik "	NA	"MGV"	NA	" fishhook"	""
"166"	"a"	"Aluk-kum-mashali "	NA	"MGV"	NA	" fishing boat"	""
"167"	"a"	"Aluk-kum-tor "	NA	"MGV"	"v."	" fish"	""
"168"	"a"	"Aluk-kumsu "	NA	"MGV"	NA	" fisherman"	""
"169"	"a"	"An-bet"	NA	"anc."	"n."	" gable"	""
"170"	"a"	"An-kharkh "	" _n - ' x_rx "	"obs."	"n."	" fear"	""
"171"	"a"	"An-prele "	" _n - ' pre - le "	"NGS"	NA	" pain control meditation"	""
"172"	"a"	"Andorsu "	" _n - ' dor - su "	"MGV"	NA	" Andorian"	"person/language"
"173"	"a"	"Ap'hashau "	" _p - h_ - ' _a_ "	"MGV"	"v."	" ricochet"	""
"174"	"a"	"Ap'hashaya "	NA	"MGV"	"n."	" ricochet"	""
"175"	"a"	"Apalikau-zehlanaya "	NA	"MGV"	NA	" startup sequence"	""
"176"	"a"	"Apalikaya "	NA	"MGV"	NA	" startup, start-up"	""
"177"	"a"	"Apumeskarau "	NA	"MGV"	NA	" take a hold of"	""
"178"	"a"	"Ar'ka-halek "	NA	"MGV"	NA	" flywheel"	""
"179"	"a"	"Ar'kada "	" _r - ' k_ - d_ "	"MGV"	"v."	" work"	""
"180"	"a"	"Ar'kada-lashi "	NA	"MGV"	NA	" workstation"	""
"181"	"a"	"Ar'kada-pthak "	NA	"MGV"	NA	" ergophobia"	""
"182"	"a"	"Ar'kadan "	" _r - k_ - ' d_n "	"MGV"	NA	" work, chore, task, job"	""
"183"	"a"	"Ar'tu "	" ' _r - tu "	"anc."	"n."	" project"	""
"184"	"a"	"Arlanga "	NA	"MGV"	NA	" a Vulcan mountain range"	""
"185"	"a"	"Arlanga-tukh "	NA	"MGV"	NA	" yttrium"	""
"186"	"a"	"Aru "	" _ - ' ru "	"anc."	NA	" afternoon"	""
"187"	"a"	"Aru-yem "	NA	"MGV"	NA	" dinner, \"afternoon meal\""	""
"188"	"a"	"Asal "	" _ - ' s_l "	"MGV"	NA	" morning"	""
"189"	"a"	"Asal-masu "	NA	"MGV"	"n."	" dew"	""
"190"	"a"	"Asal-masu-sfek "	NA	"MGV"	NA	" dew point"	""
"191"	"a"	"Asal-masu-thek "	NA	"MGV"	NA	" dewdrop"	""
"192"	"a"	"Asal-masu-thonek "	NA	"MGV"	NA	" drosometer"	""
"193"	"a"	"Asal-yem "	NA	"MGV"	NA	" breakfast, \"morning meal\""	""
"194"	"a"	"Ash'ai "	" __ - ' a_ "	"MGV"	NA	" sock, stocking"	""
"195"	"a"	"Ash'ai-zhel "	NA	"MGV"	NA	" garter"	""
"196"	"a"	"Ash'el "	" __ - ' el "	"MGV"	"n."	" shoe"	""
"197"	"a"	"Ash'gelfek "	NA	"MGV"	"n."	" perch"	""
"198"	"a"	"Ash'kwitayek "	NA	"MGV"	"n."	" pedal"	""
"199"	"a"	"Ash'ya "	" ' __ - j_ "	"MGV"	NA	" foot"	""
"200"	"a"	"Ash'ya-dukal "	NA	"MGV"	NA	" football"	"the ball"
"201"	"a"	"Ash'ya-dukal-torvukh "	NA	"MGV"	NA	" football"	"the sport"
"202"	"a"	"Ash'ya-fam-, ash'ya-famik "	NA	"MGV"	NA	" apodal, apodous, footless"	""
"203"	"a"	"Ash'ya-hilek "	NA	"MGV"	"n."	" spade"	""
"204"	"a"	"Ash'ya-sai-vel "	NA	"MGV"	NA	" footwear"	""
"205"	"a"	"Ash'yaidar "	" __ - ja_ - ' d_r "	"MGV"	"n."	" footprint"	""
"206"	"a"	"Ash'yakhut "	NA	"MGV"	"n."	" slipper"	""
"207"	"a"	"Ash-tor "	NA	"MGV"	"v."	" step, tread"	""
"208"	"a"	"Ash-vel "	" __ - ' vel "	"TGV"	"n."	" shoe"	""
"209"	"a"	"Ashal-, Ashalik "	NA	"MGV"	NA	" "	"be"
"210"	"a"	"Ashal-veh "	NA	"MGV"	"n."	" beloved, darling, sweetheart"	""
"211"	"a"	"Ashau "	" _ - ' _a_ "	"MGV"	"v."	" love"	""
"212"	"a"	"Ashau-krel-masu "	NA	"MGV"	NA	" love potion"	""
"213"	"a"	"Ashaun-, Ashaunik "	NA	"MGV"	"adj."	" loving"	""
"214"	"a"	"Ashausu "	NA	"MGV"	NA	" lover"	""
"215"	"a"	"Ashaya-var "	NA	"MGV"	NA	" love story"	""
"216"	"a"	"Ashen-fau-yut "	NA	"MGV"	NA	" causeway"	""
"217"	"a"	"Ashen-padukau-rala "	NA	"MGV"	NA	" elevon"	""
"218"	"a"	"Ashenau "	" _ - _en - ' a_ "	"MGV"	NA	" raise, elevate, amplify"	""
"219"	"a"	"Ashenayek "	NA	"MGV"	NA	" elevator"	"anat.;aero."
"220"	"a"	"Ashenek "	" _ - ' _en - ek "	"MGV"	NA	" exponent"	"math."
"221"	"a"	"Ashiv-tor "	NA	"MGV"	"v."	" repeat"	""
"222"	"a"	"Ashivau "	" _ - _i - ' va_ "	"MGV"	NA	" iterate"	""
"223"	"a"	"Ask'er "	" _sk - ' er "	"MGV"	NA	" army"	""
"224"	"a"	"Ask'ersu "	NA	"MGV"	NA	" soldier"	""
"225"	"a"	"Ask'ersu-kelek "	NA	"MGV"	NA	" barracks"	""
"226"	"a"	"Ask'ersu-leshek "	NA	"MGV"	NA	" troop carrier"	""
"227"	"a"	"Ask'plak-, Ask'plakik "	NA	"MGV"	"adj."	" tactical"	""
"228"	"a"	"Ask'plak-galu-wun "	NA	"MGV"	NA	" tactical nuclear weapon"	""
"229"	"a"	"Ask'plak-lansu "	NA	"MGV"	NA	" tactical officer"	""
"230"	"a"	"Ask'plak-lashi "	NA	"MGV"	NA	" tactical station"	""
"231"	"a"	"Ask'plakanu "	NA	"MGV"	NA	" tactics"	""
"232"	"a"	"Aski|-| "	" ' _s - ki "	"MGV"	"adj."	" mighty, military"	""
"233"	"a"	"Askital "	" _sk - i - ' t_l "	"MGV"	"n."	" military"	""
"234"	"a"	"Asklotau "	NA	"MGV"	"v."	" blockade"	""
"235"	"a"	"Asklotaya "	NA	"MGV"	"n."	" blockade"	""
"236"	"a"	"Asteronau "	NA	"MGV"	NA	" attach"	""
"237"	"a"	"Asteronau-mof "	NA	"MGV"	NA	" clevis pin"	""
"238"	"a"	"Asteronaya "	NA	"MGV"	NA	" attachment"	""
"239"	"a"	"Asteronaya-sfek "	NA	"MGV"	NA	" attachment point"	""
"240"	"a"	"Au "	NA	"MGV"	NA	" them, they"	""
"241"	"a"	"Aukh "	" a_x "	"MGV"	NA	" gypsum"	""
"242"	"a"	"Ausham "	" a__ - ' _m "	"MGV"	NA	" venom"	""
"243"	"a"	"Aushfa "	" a__ - ' f_ "	"MGV"	"n."	" animal"	""
"244"	"a"	"Aushfa-kelek "	NA	"MGV"	NA	" barn, stable"	""
"245"	"a"	"Aushfa-palutunatra "	NA	"MGV"	NA	" animal husbandry"	""
"246"	"a"	"Aushfa-razh "	NA	"MGV"	"n."	" burrow"	""
"247"	"a"	"Aushfa-wadi-hatik ha-vel "	NA	"MGV"	NA	" epizoon"	""
"248"	"a"	"Aushfa-tal "	NA	"MGV"	NA	" zoology"	""
"249"	"a"	"Aushfa-talsu "	NA	"MGV"	NA	" zoologist"	""
"250"	"a"	"Aushfal'esk "	NA	"MGV"	NA	" beast"	""
"251"	"a"	"Aushfamaluhr "	" a__ - ' f_ - m_ - l_r , - l_r , - l_r "	"MGV"	NA	" animal"	"istic"
"252"	"a"	"Aushfatra "	" a__ - ' f_ - tr_ "	"MGV"	NA	" fauna"	""
"253"	"a"	"Aushfebihk-dva "	NA	"MGV"	NA	" totemism"	"towards an animal"
"254"	"a"	"Aushkel "	" a__ - ' kel "	"MGV"	NA	" den, lair"	""
"255"	"a"	"Avaru"	NA	"anc."	"n."	" trouble"	""
"256"	"a"	"Avaru-satalau "	NA	"MGV"	NA	" troubleshoot"	""
"257"	"a"	"Avaru-satalausu "	NA	"MGV"	NA	" troubleshooter"	""
"258"	"a"	"Avaru-satalaya "	NA	"MGV"	"n."	" troubleshooting"	""
"259"	"a"	"Avon "	" _ - ' von "	"MGV"	"n."	" hunger"	""
"260"	"a"	"Avon-telik "	NA	"MGV"	"v."	" hunger"	""
"261"	"a"	"Awek|-| "	" _ - ' wek "	"MGV"	"adj."	" private"	""
"262"	"a"	"Awek'es "	NA	"MGV"	NA	" privacy, solitude"	""
"263"	"a"	"Awek-thro-yut "	NA	"MGV"	NA	" driveway"	""
"264"	"a"	"Awekat-, Awekatik "	NA	"MGV"	NA	" solitary"	""
"265"	"a"	"Ayau "	" _ - ' ja_ "	"MGV"	"v."	" tilt"	""
"266"	"a"	"Ayau-keh-vla "	NA	"MGV"	NA	" rhombus"	""
"267"	"a"	"Ayau-thonek "	NA	"MGV"	NA	" tiltmeter"	""
"268"	"a"	"Ayayik keh-vla "	NA	"MGV"	NA	" rhombohedron"	""
"269"	"a"	"Ayayik leh-dah-muk "	NA	"MGV"	NA	" rhombododecahedron"	""
"270"	"a"	"Azehl "	NA	"MGV"	NA	" ray"	"math."
"271"	"a"	"Azehl-, Azehlik "	NA	"MGV"	"adj."	" radial"	""
"272"	"b"	"Ba'tak "	" b_ - ' t_k "	"anc."	NA	" tradition"	""
"273"	"b"	"Bablivau "	" b_ - bli - ' va_ "	"MGV"	NA	" designate"	""
"274"	"b"	"Babloputak "	" b_ - blo - ' put - _k "	"MGV"	"n."	" crusade"	""
"275"	"b"	"Bah-ker "	" ' b_' - ker , ' b_ - "	"anc."	"n."	" garden"	""
"276"	"b"	"Bah-tor "	" b_' - ' tor , b_ - "	"MGV"	"v."	" garden"	""
"277"	"b"	"Bahsu "	NA	"MGV"	NA	" gardener"	""
"278"	"b"	"Bai'"	NA	"obs."	NA	" through, via, by means of"	""
"279"	"b"	"Bai-lak-pa"	NA	"anc."	NA	" self-pity"	""
"280"	"b"	"Bak "	NA	"MGV"	NA	" rib"	""
"281"	"b"	"Bal "	NA	"MGV"	"n."	" group, set"	""
"282"	"b"	"Bali|-| "	" ' b_ - li "	"MGV"	NA	" thick"	""
"283"	"b"	"Bali-thonek "	NA	"MGV"	NA	" caliper"	"s"
"284"	"b"	"Balkra "	" ' b_l - kr_ , ' b_lk - r_ "	"anc."	NA	" an aromatic casserole"	""
"285"	"b"	"Banut "	" b_ - ' nu t "	"MGV"	NA	" speak of or about"	""
"286"	"b"	"Bar-got"	NA	"anc."	NA	" herb"	""
"287"	"b"	"Bar-kas"	NA	"anc."	NA	" spice"	""
"288"	"b"	"Bashan "	" b_ - ' __n "	"MGV"	NA	" migration"	""
"289"	"b"	"Batai "	" b_ - ' ta_ "	"MGV"	"adj."	" sturdy"	""
"290"	"b"	"Bau-tor "	NA	"MGV"	NA	" disregard, ignore"	""
"291"	"b"	"Be' "	NA	"MGV"	"prep."	" adjacent to, beside, close to, near, next to, in proximity to"	""
"292"	"b"	"Be'es "	NA	"MGV"	NA	" nearness, proximity"	""
"293"	"b"	"Be'hai'la "	" be - ' ha_ - l_ "	"NGS"	"n."	" guest"	""
"294"	"b"	"Be'ru'lutik "	NA	"MGV"	NA	" adoral"	""
"295"	"b"	"Be-, Beik "	NA	"MGV"	"adj."	" adjacent, close, near"	""
"296"	"b"	"Be-wan-kur "	NA	"MGV"	NA	" off-white"	"color"
"297"	"b"	"Beglanau "	NA	"MGV"	"v."	" notice"	""
"298"	"b"	"Behsu "	NA	"MGV"	NA	" neighbor"	""
"299"	"b"	"Beidzhorsu "	" ' be_ - d_or - su "	"MGV"	NA	" Bajoran"	"person/language"
"300"	"b"	"Bek "	NA	"MGV"	"n."	" wait"	""
"301"	"b"	"Bek-tor "	NA	"MGV"	"v."	" wait"	""
"302"	"b"	"Belaar "	" be - ' l__r "	"NGS"	NA	" Summer"	"season"
"303"	"b"	"Belk"	NA	"anc."	"n."	" scout "	""
"304"	"b"	"Ben "	NA	"MGV"	NA	" to us"	""
"305"	"b"	"Ben-gun "	" ben - ' gun "	"anc."	NA	" therapy"	""
"306"	"b"	"Bes "	NA	"MGV"	NA	" drawing"	""
"307"	"b"	"Bes-tor "	NA	"MGV"	"v."	" draw"	""
"308"	"b"	"Besan "	NA	"MGV"	"n."	" chart, map, plot"	""
"309"	"b"	"Besan-tanaf "	NA	"MGV"	NA	" cartography"	""
"310"	"b"	"Besau "	NA	"MGV"	"v."	" chart, map, plot"	""
"311"	"b"	"Besayek "	NA	"MGV"	NA	" plotter"	"device"
"312"	"b"	"Besu "	" ' be - su "	"MGV"	NA	" companion"	""
"313"	"b"	"Besu'es "	NA	"MGV"	NA	" companionship"	""
"314"	"b"	"Betau "	NA	"MGV"	"v."	" approach, near"	""
"315"	"b"	"Bezhun "	" be - ' _un "	"MGV"	NA	" eye, oculus"	""
"316"	"b"	"Bezhun-hassu "	NA	"MGV"	NA	" ophtalmologist"	""
"317"	"b"	"Bezhun-isach "	NA	"MGV"	NA	" eyelash"	""
"318"	"b"	"Bezhun-kal "	NA	"MGV"	"n."	" eyeball"	""
"319"	"b"	"Bezhun-masu "	NA	"MGV"	"n."	" tears"	"multiple drops"
"320"	"b"	"Bezhun-masu-mev "	NA	"MGV"	NA	" lacrimal duct, tear duct"	""
"321"	"b"	"Bezhun-ripa'shaya "	NA	"MGV"	NA	" cataract"	"med."
"322"	"b"	"Bezhun-tal "	NA	"MGV"	NA	" ophtalmology"	""
"323"	"b"	"Bezhun-thek "	NA	"MGV"	"n."	" tear"	"a single drop"
"324"	"b"	"Bezhun-wadi "	NA	"MGV"	NA	" cornea"	""
"325"	"b"	"Bezhun-wan "	NA	"MGV"	NA	" sclera"	""
