FRST_LETTER	WORD-FSE
a	Absence -- tadek-adir'es
a	Absent -- tadek-adir (anc.)
a	Absolute (adj.) -- ek'es-, ek'esik
a	Absolute age -- ek'es-ya'shakhuv
a	Absolute ceiling -- ek'es-pid-tin
a	Absolute coefficient -- ek'es-kakratulek
a	Absolute convergence -- ek'es-teretaya
a	Absolute humidity -- ek'esik masu'es
a	Absolute magnitude -- ek'esik pul'es
a	Absolute majority -- ek'es-danan
a	Absolute power -- ek'es-tepul
a	Absolute pressure -- ek'es-saris-vihish
a	Absolute temperature -- ek'esik falek'es
a	Absolute value -- ek'es-tala
a	Absolute weight -- ek'es-rasath
a	Absolute zero -- ek'es-ris
a	Absorb -- viseshau
a	"Absorbent -- viseshau-, viseshauk (adj.); viseshayek (n.)"
a	Absorption -- viseshaya
a	Absorption band -- viseshau-zhel
a	Absorption coefficient -- viseshau-kakratulek
a	Absorption edge -- viseshau-rihk
a	Absorption lines -- viseshau-zehllar
a	Absorption spectrum -- viseshau-kurtra
a	Absorption tube -- viseshau-mev
a	Abundance -- mau-yan'es
a	Abundant -- mau-yan-, mau-yanik
a	Abuse -- tamadaya (n.), tamadau (v.)
a	Abut -- kwenitor
a	Abutment -- kwenikek
a	Abyss -- gosh
a	Abyssal -- gosh-, goshik
a	Abyssal-benthic -- glu-gosh-, glu-goshik
a	Abyssal-benthic zone -- glu-gosh-shal
a	Abyssal deposits -- gosh-titayalar
a	Abyssal hill -- gosh-kunel
a	Abyssal plain -- gosh-eiktra
a	Abyssopelagic -- |glu-|gosh-masutraik
a	Abyssopelagic zone -- |glu-|gosh-masutraik shal
a	Academy -- |tren-|shi'oren, ski'flana-oren (obs.)
a	Acataphasia -- rish-nahp-nosh
a	Accelerant -- sahrau-tukh
a	Accelerate -- sahrau
a	Acceleration -- sahraya
a	Acceleration stress -- sahrau-hishel
a	Acceleration tolerance -- sahrau-wivel'es
a	Accelerator -- sahrayek
a	Accelerometer -- sahrau-thonek
a	Accent (speech) -- gen-speshan
a	Accept -- nar-tor
a	Acceptance -- naran
a	Accepted, to be -- punar-tor
a	Access -- thro (n.), thro-tor (v.)
a	Access panel -- thro-wein
a	Accessible -- thro-yehat
a	Accident -- kisheya
a	Accidental (adj.) -- kisheik
a	Acclimation -- noshtra-rubilaya
a	Accommodate -- spohkunolau
a	Accompaniment -- sailaya
a	Accompanist -- sailausu
a	Accompany -- sailau
a	Accomplice -- ksaigolsu
a	Accomplish -- wenator
a	According to -- fupa s'
a	Accordion -- uh'kordiuhn
a	Account (n.) -- khrosahp
a	Accountant -- khrosahpsu
a	Accretion -- fito'ovaya
a	Accretion disk -- fito'ov-mathra
a	"Accumulate -- hoknau; tabrukau"
a	"Accumulation -- hoknaya; tabrukaya"
a	"Accumulator -- kipof (elect.); tabrukayek (mech.)"
a	Accusation -- namihfaya
a	Accuse -- namihfau
a	Ace (top pilot) -- naasu
a	Acellular -- rinalaik
a	Acerophobia -- sfith-pthak
a	Acetic acid -- sfith-masu-sash
a	Acetone -- nen-nalesh|-tukh|
a	Acetylene -- mimo-tukh
a	Acetylene tank -- mimo-tukh-tuhlek
a	Acetylene torch -- mimo-tukh-yonek
a	"Ache -- sut (n.); suh (v.)"
a	Achieve -- srasha
a	Achievement -- srashiv
a	Achluophobia -- mu'gel-pthak
a	Achondrite -- kzanok
a	Achromasia -- spoh-wadi-nosh
a	Acid -- sash (compound), sash-masu (solution)
a	Acid dye (n.) -- sash-kur-tukh
a	Acid rain (n.) -- sash-sov-masu
a	Acid salts -- sash-alemu
a	Acid waste -- sash-guhsh
a	Acidemia -- pid-sash-nosh
a	Acidic -- sash-, sashik
a	Acidity -- sash'es
a	Acidosis -- ritsuri-sash-nosh
a	Acknowledge -- nafai-tor
a	Acknowledg(e)ment -- nafai
a	Acknowledg(e)ment signal -- nafai-glantokaya
a	Acolyte -- odva-dvinsu
a	Acorn -- ei'korn |ok-kov-savas|
a	Acoustic amplifier -- ralash-ashenayek
a	Acoustic distortion -- ralash-saznek
a	Acoustic feedback -- ralash-pla'fun
a	Acoustic filter -- ralash-kapol
a	Acoustic guitar -- el'ruhik gitar
a	Acoustic resonance -- ralash-kusilaya
a	Acoustic signature -- ralash-vestra
a	Acoustic spectrum -- ralash-saktra
a	Acoustic tile -- ralash-visesh-kulk
a	Acousticophobia -- ralash-pthak
a	Acoustics (study) -- ralash-tal
a	Acquire -- prah
a	Acquired behavior -- prahl-kloshai
a	Acquired characteristics -- prahl-noshtralar
a	Acquired Immune Deficiency Syndrome (A.I.D.S.) -- Kath-Vuk t'Prahl-Tefosh'es-Pafam'es |KV-PTP|
a	Acquired immunity -- prahl-tefosh'es
a	Acquisition -- prai
a	Acquisition of signal (AOS) -- glantokaya-prai
a	Acrobat -- sagrastil'es-vo'ektau-torpersu
a	Acrophobia -- pidek-pthak
a	Acropetal -- na'umik
a	Across (prep.) -- mes'
a	Act (n., deed) -- toper
a	"Act (v.) -- per-tor (behave, perform); torah (produce an effect)"
a	Actinic radiation -- glakuv-saya
a	Actinic rays -- glakuv-ha'zehllar
a	Actinium -- r'dahn-tukh
a	Actinobiology -- saya-fiha-tal
a	"Actinodermatitis -- saya-wadi-yonshaya; yel-wadi-yontaya; yel-wadi-yonshaya"
a	Actinoid (zool.) -- yel-shidik
a	Actinomycosis -- halek-talvot-has
a	Actinotherapy -- ha'zehl-ben-gun
a	Action -- torai
a	Activate -- vitorau
a	Activated carbon -- vitor-nol-tukh
a	Activated charcoal -- vitor-yonol-tukh
a	Activation -- vitoraya
a	"Activator -- torai-vel (elect., mech.); vitorayek (biol., chem.)"
a	Active -- torupik
a	Active array -- torupik zehlaya
a	Active device -- torupik el'mish
a	Active electrode -- torupik narafek
a	Active fault -- torupik dvun-zehl
a	Active filter -- torupik kapol
a	Active margin -- torupik rihkal
a	Active resistance -- torupik tehnaya
a	Active volcano -- torupik zul-kunel
a	Activity -- toran
a	Activity coefficient -- toran-kakratulek
a	Actor -- sa-per-ithop (TGV), sa-persu (MGV)
a	Actress -- ko-per-ithop (TGV), ko-persu (MGV)
a	Actuate -- tordvun-tor
a	Actuator -- tordvunek
a	Acuity -- zat'es
a	Aculeate (biol.) -- salum-, salumik
a	Acuminate (adj.) -- wu-sfekik
a	"Acupria (Vulcan ""anemia"") -- fam-khaf-meil |svi'hasular k'yar-khaf-nalalar|"
a	Acupuncture -- lum-ben-gun
a	Acutance -- glakuv-zat'es
a	Acute (adj.) -- zat|-|
a	Acute angle -- zat-vulu
a	Acylic (bot.) -- kulanik
a	Adage -- bervun
a	Adapt -- rubilau
a	Adaptation -- rubilaya
a	Adapter, Adaptor -- rubilau-vel
a	Adaptive array -- rubilau-zehlaya
a	Adaptive radiation -- rubilau-saya
a	Adaxial (biol.) -- na-da-sfekik
a	Add (v.) -- hau
a	Add on -- fihau
a	Addend -- hau-vel
a	"Addict -- tessausu (n.); tessau (v.)"
a	Addiction -- tessaya
a	Addition -- haya
a	Additional -- hayaik
a	Additive function (math.) -- hau-is-kek
a	Additive process -- hau-torek
a	"Address -- shi'yavekh (n.); varahmau (v., speak to)"
a	Adduction -- na-dvunel, vi'le-dvunel
a	Adductor -- na-dvunek, vi'le-dvunek
a	Adendritic -- wel-gel-famik
a	Adenitis -- pi'nafek-yonshaya
a	Adenoid -- za-han-pi'nafek
a	Adept (adj.) -- ek'renkupik
a	Adequate -- khevsur-, khevsurik
a	Adhere -- terpau
a	Adhesion -- terpaya
a	Adhesive (n.) -- terpayek
a	Adhesive tape -- terzhel
a	Adiabatic (adj.) -- ri-falek'es-di'kizhik
a	Adiabatic change -- ri-falek'es-di'kizhik rubah
a	Adiabatic compressibility -- ri-falek'es-di'kizhik lerakh-yehat'es
a	Adiabatic equation -- ri-falek'es-di'kizhik vo'ihn
a	Adiabatic lapse rate -- ri-falek'es-di'kizhik sov-shen-tav
a	Adiabatic process -- ri-falek'es-di'kizhik torek
a	Adiactinic -- ri-ha'gel-torupik
a	Adipose -- thel'upik
a	Adipose tissue -- thel'upik nalatra
a	Adiposity -- thel'up'es
a	"Adit -- ek'tukh-razh; thro-ur (LGV)"
a	Adjacent (adj.) -- be-, beik
a	Adjacent to (prep.) -- be'
a	Adjective -- rub-zhit
a	Adjust -- namishau
a	Adjustable -- namishau-yehat
a	Adjustment -- namishaya
a	Administer -- ekhartau
a	Administration -- ekhartaya
a	Administrator -- ekhartausu
a	Admiral -- halitra-lan
a	Admiral, Fleet -- ek'halitra-lan
a	Admiral, Rear -- nik'el-lan
a	Admiral, Vice -- shaltra-lan
a	Admire -- doromnah-tor
a	Adnation -- kaunshaya t'rikahk-kruslar
a	Adobe (brick) -- uh'dobi, a'dobei |vrel-dok|
a	Adopt -- thanai
a	Adopted (adj.) -- thanayal-, thanayalik
a	Adopted child -- thanayal-kan
a	Adoption -- thanah
a	Adoral (adj.) -- be'ru'lutik
a	Adoration -- kerashaya
a	Adore -- kerashau
a	Adrenal gland -- abru-kapol-nafek
a	Adrift (adj.) -- rikifitan-, rikifitanik
a	Adsorb -- fiterpau
a	Adsorbent (n.) -- fiterpayek
a	Adsorption -- fiterpaya
a	Adult (n.) -- to'oveh
a	Advance -- storilaya (n.), storilau (v.)
a	Advanced (adj.) -- storil|-|
a	Advanced tactical fighter (ATF) -- storil-ask'plakik puk-hali
a	Advantage (n.) -- plik
a	Advection -- sov-yutik-dvun
a	Advection fog -- ihsek s'lamekh-masu-sov mes'samek-solektra il masutra
a	Advent (n.) -- wak-krus t'okeshtan-bek
a	Adventure (n.) -- dailissak
a	Adverb -- nosh-zhit
a	Adversary -- hahf
a	Advertise -- karbumagau
a	Advertisement -- karbumagaya
a	Advice -- na'shikh (anc.)
a	Advise -- na'shikhau
a	Advisor -- na'shikhausu
a	Advocacy -- nenastarun
a	"Advocate -- nenastaribsu (n.); nenastariben (v.)"
a	Adze -- lapan-shidek
a	Aegis -- lekva
a	Aeolian deposit -- salan-titaya
a	Aeolian tone -- salan-molu
a	Aerate -- sov-tan-tor
a	Aerated concrete -- sov-tan-nok
a	Aeration -- sov-tanan
a	Aerator -- sov-tanek
a	"Aerial (adj.) -- sov-, sovik; hash-, hashik"
a	Aerial (antenna) -- |pi'|kash-gel
a	Aerie, Eyrie -- pid-ki'an |t'skyem-kushel|
a	Aerobe -- sov-ha-vel
a	Aerobic (adj.) -- sov-ladik
a	Aerodynamic balance -- sov-dvun-vo'ektaya
a	Aerodynamic braking -- igen-tukh-vohraun
a	Aerodynamic heat transfer -- sov-dvunik falek-shan
a	Aerodynamic heating -- sov-dvun-falekan
a	Aerodynamics -- sov-dvun-tal
a	Aerodyne -- ras-sov-hali
a	Aerofoil -- aberala
a	Aerolite -- kov-tevlak
a	Aerology -- |ek'|sov-tal
a	Aeronautics -- hash-tal
a	Aerophagy -- sov-yokulan
a	Aeroplane (obs.) -- sov-hashek
a	Aerosol (n.) -- svi-sov-saganalek
a	Aerosolization -- svi-sov-saganaya
a	Aerosolize -- svi-sov-saganau
a	Aerosolized -- svi-sov-saganalik
a	Aerospace -- sov-stukh
a	Aerostat -- ta'hal-sov-hali
a	Aerothermodynamics -- sov-falek-tal
a	Aestival (adj.) -- falek-wakik
a	Afebrile -- tau-fam-, tau-famik
a	Affair -- ukhru-vishan (anc.)
a	Affect -- dau
a	"Affix -- terek (n.); terek-tor (v.)"
a	Afflict -- rasahdau
a	Affliction -- rasahdaya
a	Afforestation -- laptra-storaya
a	Aflagellar -- dvunel-pi'harr-famik
a	Afloat (adj.) -- markauli
a	Afraid -- kwes|-|
a	Africa -- Ahfrikuh
a	"African -- ahfrikan-, ahfrikanik (adj.); ahfrikansu (n.)"
a	"African-American -- ahfrikuh-uhmerikan-, ahfrikuh-uhmerikanik (adj.); ahfrikuh-uhmerikasu (n.)"
a	"Aft -- za'le (adv.); za-krus (n.)"
a	Aft parabolic thruster -- za-dahkvalu-kwitek
a	Aft plasma vent -- za-snazh-krau
a	Aft thruster assembly -- za-kwitek-feretai
a	Aft thruster compartment -- za-kwitek-sutauk
a	Aft thrusters -- za-kwiteklar
a	"After -- po' (prep.); po- (combining form)"
a	Afterbirth -- po-tukh
a	Afterburner -- saguhsh-yontayek
a	"Afterburning -- saguhsh-yontauk (adj.); saguhsh-yontaya (n.)"
a	Afterdamp -- dah-eshu t'nol-tukh
a	Aftereffect -- po-daya
a	Afterimage -- po-glakuv
a	Afterlife -- po-ha'kiv
a	Aftermath -- po-wak
a	Afternoon -- aru (anc.)
a	Aftershock -- po-hutaya
a	Afterwards -- po'le
a	Again -- va'ashiv
a	Against (prep.) -- tehn'
a	Agalactia -- fam-thas-nosh
a	Agate -- grut
a	Agateophobia -- rikohs'es-pthak
a	"Age -- ya'shakhuv (n., time lived); pal (n., period/era); ya'shakhvau (v.)"
a	Agenesis -- ritveshu
a	Agency -- svisolaizhak (government), svizhak (company)
a	Agent (person) -- svisolaisu
a	Agglutinate -- navihkau
a	Agglutination -- navihkaya
a	Agglutinin -- vihk-tukh
a	Agglutinogen -- vihk-tukh-torek
a	Aggravated (adj.) -- katachik
a	"Aggregate -- karf-kov (n., geol.); karf-tor (v.)"
a	Aggregation -- karfak
a	Aggression -- kresan
a	Aggressive (adj.) -- kres-, kresik
a	Aggressive behavior -- kres-kloshai
a	Aggressive mimicry -- kres-va'amaya
a	Agile -- sagrastil-, sagrastilik
a	Agility -- sagrastil'es
a	Aging (n.) -- shakhuvaya
a	Agitate -- pahutau
a	Agitated (adj.) -- pahutalik
a	Agliophobia -- kusut-pthak
a	Agnosia -- fam-naglashaya-nosh
a	Ago -- vesh
a	Agony -- hakusut
a	Agoraphobia -- tu'ashal-pthak
a	Agraphia -- fam-kitaya-nosh
a	Agree -- sep-wafikh (anc.)
a	Agreement -- sep-wafikhan
a	Agrestal -- risokasitalik
a	Agriculture -- urokasaya
a	Agrizoophobia -- kwai-aushfa-pthak
a	Agroecosystem -- urozh-ha-ek'torektra
a	Agronomist -- urozh-solek-talsu
a	Agronomy -- urozh-solek-tal
a	Aground (adj.) -- fisolektal-, fisolektalik
a	Ah -- ii
a	Aichmophobia -- sfek-vel-pthak
a	"Aid -- gol'nev (n.), gol-tor (v.); mamut (n., obs.), mamuk (v., obs.)"
a	Aide -- gol'nevsu
a	Aileron -- padukau-rala
a	Ailment -- has-mar
a	Ailurophobia -- kaht-pthak
a	Aim -- mokh (n.), mokh-tor (v.)
a	Air (n.) -- sov
a	Air absorption -- sov-vi-seshaya
a	Air bladder -- sov-sa'haf
a	Air brake (n., aero.) -- sov-vohrayek
a	Air-breathing (adj.) -- sov-eshan-, sov-eshanik
a	Air brush (n.) -- sov-achut
a	Air cleaner -- sov-puyek
a	Air combat -- sov-morov
a	Air combat manuvering (ACM) -- sov-morov-khardvuyan
a	Air compressor -- sov-lerakovayek
a	Air conditioner -- sov-noshek
a	Air conditioning -- sov-noshaya
a	Air conditioning duct -- sov-noshau-mev
a	Air dry (v.) -- sov-psethau
a	Air duct -- sov-mev
a	Air embolism -- sovik khaf-mev-klotaya
a	Air filter -- sov-kapol
a	Air force (AF) -- sov-halitra
a	Air force base (AFB) -- sov-halitra-sunena
a	Air intake -- sov-prah-vel
a	Air intercept missile (AIM) -- sov-fnakaunik yon-kliton
a	Air intercept rocket (AIR) -- sov-fnakaunik yon-hashek
a	Air-launched booster (ALB) -- sov-spusau-aborayek
a	Air-launched vehicle (ALV) -- sov-spusau-hali
a	Air mass -- sov-vak
a	Air pocket -- abulik sov-razh
a	Air pressure -- sov-vihish
a	Air pump -- sov-spol
a	Air purifier -- sov-dromek
a	Air raid -- sov-absakaya
a	Air raid shelter -- rau-nol t'sov-absakaya
a	Air raid siren -- she-vikayek t'sov-absakaya
a	Air shaft -- sov-ur
a	Air sickness -- hash-has-mar
a	Air speed -- fna-sov-threshan
a	Air start (v.) -- sov-palikau
a	Air superiority -- sov-ekilabu'es
a	Air support (military) -- sasov-nenikaya
a	Air-to-air missile (AAM) -- sov-sovik yon-kliton
a	Air-to-air refueling -- sov-sovik hal-tukhaya
a	Air-to-ground missile (AGM) -- sov-solektraik yon-kliton
a	Air traffic control (ATC) -- hash-halakiv-tash
a	Air traffic controller -- hash-halakiv-tashsu
a	Air valve -- sov-spunek
a	Airborne warning and control system (AWACS) -- hashanik vikaun-tashan-torektra |HVTT|
a	Aircraft -- sov-hali
a	Aircraft carrier -- sov-hali-leshek
a	Airdrop (n.) -- sov-nut
a	Airfield -- shi'sov-hali
a	Airflow -- sov-yumaya
a	Airfoil -- aberala
a	Airframe -- sov-hali-veltra (aircraft), hash-hali-veltra (missile, rocket, etc.)
a	Airglow -- sov-min
a	Airless -- sov-fam-, sov-famik
a	Airline -- sov-ifis-krozhak
a	Airliner -- sov-su-yata
a	Airlock -- fna-svep
a	Airman (pilot) -- hashsu
a	Airmanship -- hash-renkup'es
a	Airplane -- sov-hashek
a	Airplane crash -- sov-hashek-tevul
a	Airport -- shi'sov-hali
a	Airship -- |tepuhik| pa-sov-hali
a	Airshow -- sov-hali-gluvaya
a	Airspeed -- sov-threshan
a	Airspeed indicator (ASI) -- mik-yal t'sov-threshan
a	Airtight (adj.) -- sov-fenk|-|
a	Airway (med.) -- esh-mev
a	Airway obstruction -- esh-mev-klotaya
a	Airworthy -- hash-ek'manik
a	Aisle -- latyut
a	Akinesia -- fam-dvunel-nosh
a	"Alabaster -- tanaf-kov; halihalu (anc.)"
a	"Alarm (n.) -- vikaya (warning); vikayek (device)"
a	Alarm clock -- vikayek-wak-vel
a	Alarmed (adj.) -- pavikalik
a	Alate (adj.) -- ralan-, ralanik
a	Albedo -- ha'gel-haulan-tavat
a	Albino (n.) -- fam-kursu (sentient), fam-kurfa (non-sentient)
a	Albumin -- tesihk
a	Alchemical (adj.) -- fmelaf-, fmelafik
a	Alchemist -- fmel (anc.)
a	Alchemy -- fmelaf (anc.)
a	Alcohol -- naliveh
a	Alcoholic (n.) -- naliveh-tessausu
a	Alcoholism -- naliveh-tessaya
a	Ale -- eil, ei'uhl
a	Alee -- ri-salan-kharat
a	Alektorophobia -- tchihkuhn-pthak
a	Alert -- vikwam (n.), vikwam-tor (v.)
a	Alert status -- vikwam-nosh
a	Algae -- smollar
a	Algebra -- seht-su'us-ek'tal
a	Algebraic -- seht-su'us-, seht-su'usik
a	Algebraic curve -- seht-su'us-tsa
a	Algebraic function -- seht-su'us-kek
a	Algebraic number -- seht-su'us
a	Algicide -- smol-stau-tukh
a	Algology -- smol-tal
a	Algophobia -- kusut-pthak
a	Algorithm -- kilkau-torek
a	Alias -- riyeht-ahm
a	Alidade -- dah-glanekik pa'ash-pasu-skothonek
a	"Alien -- akan|-| (adj.); akansu (n.)"
a	Alien lifeform -- akan-ha-vel
a	Alienate -- akan-tor
a	Alienated (adj.) -- akanal-, akanalik
a	Align (v.) -- zehl-tor
a	Aligned (adj.) -- zehlik
a	Aligned, to be -- puzehl-tor
a	Alignment -- zehl'es
a	Alike -- kahkwa (anc.)
a	Alimentary canal -- skaun-ek'ur
a	Alimentary system -- skaun-torektra
a	Aliquot -- tukh-nisauk pi'li-fal
a	Alive (adj.) -- kaha'kiv-, kaha'kivik
a	Alkalemia -- pid-sovash-nosh
a	Alkali -- sovash
a	Alkali granite -- sovash-zasuhl
a	Alkali metals -- sovash-mokevlar
a	Alkaline -- sovash-, sovashik
a	Alkaline battery -- sovash-kipof
a	Alkaline earth metals -- sovash-solek-mokevlar
a	Alkalinity -- sovash'es
a	Alkalosis -- ritsuri-sovash-nosh
a	"All -- ek (n.); ek' (prep.)"
a	All of them -- ek'au
a	All of these -- ek'aifa
a	All of those -- ek'eifa
a	All of us -- ek'etek
a	All of you -- ek'dular
a	Allegiance -- pukrelkot
a	Allele -- tol-shid
a	Allelomorph -- tol-shid
a	Allergen -- tehn-folau-tukh
a	Allergic (adj.) -- tehn-folaunik
a	Allergy -- tehn-folaya
a	Alley -- svayut
a	Alliance -- puk'aya
a	Alliumphobia -- gar'lihk-pthak
a	Allochthonous -- kitok-wilat-shidoralik
a	Allophone (linguistics) -- ralibi-vuhnaya
a	Allow -- kal-tor
a	Allowance (money) -- kalal-donku
a	Allowed (adj.) -- kalal-, kalalik
a	Alloy (n.) -- rish-mokev
a	Alluvial -- nu-tin-, nu-tinik
a	Alluvial deposit -- nu-tin-titaya
a	Alluvial fan -- nu-tin-sovek
a	Alluvial mining -- nu-tin-vanan
a	Alluvial placer -- ek'tukh-titaya t'nu-tin
a	Alluvial plain -- nu-tin-eiktra
a	Alluvium -- nu-tin |s'masu-titaya|
a	Ally (n.) -- puk'ai'la
a	Almighty (adj.) -- maut-lauyik
a	Almost -- siyah
a	Aloft -- abu'shi
a	Alogia -- pak t'stariben-kup'es
a	Alone -- sa'awek
a	Along (prep.) -- bi'
a	Alopecia -- isachaya-pak
a	Alpha decay -- sih-nehaya
a	Alpha emitter -- sih-sayek
a	Alpha particle -- sih-pi'gal
a	Alpha radiation -- sih-saya
a	Alpha rays -- sih-zehllar
a	Alphabet -- ek'zuntra
a	Alpine (adj.) -- pid-kunel-, pid-kunelik
a	Also -- isha
a	Altar -- oslauvoskaf
a	Alter -- rubitau
a	Alteration -- rubitaya
a	Alternate (v.) -- krusitau
a	Alternate angle -- krusit-vulu
a	Alternate exterior angle -- krusit-si-vulu
a	Alternate interior angle -- krusit-tvi-vulu
a	Alternating current (AC) -- dah-kharat-katrom (DKhK)
a	Alternating series -- krusit-weizehl
a	Alternative medicine -- vath-has-tal
a	Alternator -- ek'ka-ferek
a	Although -- hemshin
a	Altimeter -- |sov-|pidek-thonek
a	Altitude -- |sov-|pidek
a	Altitude switch -- sov-pidek-dvelek
a	Altitude valve -- sov-pidek-spunek
a	"Alto -- alto-, altoyik (adj.); alto (person)"
a	Altocumulus (cloud) -- pid-tra-wan
a	Altophobia -- pidek-pthak
a	Altostratus (cloud) -- pid-tin-wan
a	Altricial -- gol-fam-pukeshtalik
a	Altruism -- vathu-tunan
a	Alula -- kar-nik-kidlar
a	Alumina -- eshu t'wan-tukh
a	Aluminum, Aluminium -- wan-tukh
a	Aluminum bronze -- wan-tukh-krish
a	Aluminum foil -- wan-tukh-thalv
a	Aluminum leaf -- wan-tukh-mor
a	Aluminum powder -- wan-tukh-grazhiv
a	Aluminum siding -- wan-tukhik vla-wein
a	Alveolitis -- esh-nala-yonshaya
a	Alveolus -- esh-nala
a	Always -- kwon-sum
a	Amalgam (chem.) -- masumok-rish-mokev
a	Amastia -- fam-thak-nosh
a	"Amateur -- riyigal-, riyigalik (adj.); riyigalsu (n.)"
a	Amathophobia -- grazhiv-pthak
a	Amaxophobia -- pthak t'solektra-hali-faun
a	Amaze -- taurau
a	Amazed, to be -- putaurau
a	Amazement -- tauraya
a	Amazing -- taurauk
a	Amazonite -- ahmuh'zan-tukh
a	Ambassador -- kevet-dutar (TGV), kevetsu (MGV)
a	"Amber -- puhku-kur (adj.); puhku (n.)"
a	Ambient (adj.) -- pa-nosh-, pa-noshik
a	Ambient noise -- pa-nosh-ralash
a	Ambient temperature -- pa-nosh-falek'es
a	Ambulance -- hasausu-hors-hali (horse-drawn), hasausu-hali (modern)
a	Ambulatory -- lates-kupik
a	Ambulophobia -- lates-pthak
a	Ambuscade (n.) -- ip-nashiv
a	Ambush -- ip-nashiv (n.), ip-nashiv-tor (v.)
a	Amend -- tonahau
a	America -- Uhmerikuh
a	"American -- uhmerikan-, uhmerikanik (adj.); uhmerikasu (person)"
a	"American Indian -- salat-uhmerikan-, salat-uhmerikanik (adj.); salat-uhmerikasu (n.)"
a	Americium -- wuh-tukh
a	Amethyst -- gahv
a	Amid (prep.) -- svi'
a	Amidships (adj.) -- khihaliyanik
a	Amino acid -- sash t'ha-torek
a	Ammeter, Ampmeter -- norak-thonek
a	Ammonia -- reh-masuyu t'sov-tukh
a	Ammonium -- skrahk-tukh
a	Ammonium nitrate -- sov-reh-eshu t'skrahk-tukh
a	Ammonium perchlorate -- yonuk-lafu t'skrahk-tukh
a	Ammonium sulfate -- vlau-keh-eshu t'skrahk-tukh
a	Ammunition (ammo) -- pohsh-tukh
a	Amnesia -- ek'vokaya-pak
a	Amnesiphobia -- vokaya-pak-pthak
a	Amniocentesis -- sudef-masu-nisan
a	Amniotic fluid -- sudef-masu
a	Amniotic sac -- sudef-masu-sa'haf
a	Amoeba -- stanak
a	Amoebic dysentery -- stanakik rasah-masu-pekh
a	Among (prep.) -- svi'
a	Among us -- akhlami
a	Among them -- ekhlami
a	Amorphous -- fam-shidik
a	Amount -- nosahp
a	Amp(ere) -- norak
a	Amperage -- norak'es
a	Amphibian (n.) -- ulef-masu-aushfa
a	Amphibious -- ulef-masutik
a	Amphibious assault vehicle -- ulef-masutik nashiv-hali
a	Amphitheater -- wehk-isan-shi'torperan
a	Amphora -- am'fora, ahm'foruh |dah-kalukalik krizh'vi-vin-tuhlek|
a	Ample -- hiyuk
a	Amplifier -- ashenayek
a	Amplitude -- tsulaya
a	Amplitude distortion -- tsulau-saznek
a	Amplitude limiter -- tsulau-greyek
a	Amplitude modulation (AM) -- tsulau-nakihtilaya |TsN|
a	Amplitude peak -- tsulau-feh
a	Amp(o)ule (med.) -- has-mashek
a	Amputate -- sanesh-tor
a	Amputation -- sanesh
a	Amputee -- saneshal-veh
a	Amulet -- zaibihk
a	Amusement park -- kertra t'mihrsh-mutaya
a	Amychophobia -- thesh-pthak
a	Amyoplasia -- fam-dvunek-storaya
a	Amyotrophia, Amyotrophy -- dvunek-pak-nosh
a	Amylum (bot.) -- |kas-|slok
a	Anabatic -- abu-dvun-, abu-dvunik
