FRST_LETTER	WORD-V
a	Askital \ _sk - i - ' t_l \ -- military (n.)
a	Asklotau -- blockade (v.)
a	Asklotaya -- blockade (n.)
a	Asteronau -- attach
a	Asteronau-mof -- clevis pin
a	Asteronaya -- attachment
a	Asteronaya-sfek -- attachment point
a	Au -- them, they
a	Aukh \ a_x \ -- gypsum
a	Ausham \ a__ - ' _m \ -- venom
a	Aushfa \ a__ - ' f_ \ -- animal (n.)
a	Aushfa-kelek -- barn, stable
a	Aushfa-palutunatra -- animal husbandry
a	Aushfa-razh -- burrow (n.)
a	Aushfa-wadi-hatik ha-vel -- epizoon
a	Aushfa-tal -- zoology
a	Aushfa-talsu -- zoologist
a	Aushfal'esk -- beast
a	Aushfamaluhr \ a__ - ' f_ - m_ - l_r , - l_r , - l_r \ -- animal(istic), beastly, savage (adj.)
a	Aushfatra \ a__ - ' f_ - tr_ \ -- fauna
a	Aushfebihk-dva -- totemism (towards an animal)
a	Aushkel \ a__ - ' kel \ -- den, lair
a	Avaru (anc.) -- trouble (n.)
a	Avaru-satalau -- troubleshoot
a	Avaru-satalausu -- troubleshooter
a	Avaru-satalaya -- troubleshooting (n.)
a	Avon \ _ - ' von \ -- hunger (n.)
a	Avon-telik -- hunger (v.)
a	Awek|-| \ _ - ' wek \ -- private (adj.)
a	Awek'es -- privacy, solitude
a	Awek-thro-yut -- driveway
a	Awekat-, Awekatik -- solitary
a	Ayau \ _ - ' ja_ \ -- tilt (v.)
a	Ayau-keh-vla -- rhombus
a	Ayau-thonek -- tiltmeter
a	Ayayik keh-vla -- rhombohedron
a	Ayayik leh-dah-muk -- rhombododecahedron
a	Azehl -- ray (math.)
a	Azehl-, Azehlik -- radial (adj.)
b	Ba'tak \ b_ - ' t_k \ (anc.) -- tradition
b	Bablivau \ b_ - bli - ' va_ \ -- designate
b	Babloputak \ b_ - blo - ' put - _k \ -- crusade (n.)
b	Bah-ker \ ' b_' - ker , ' b_ - \ (anc.) -- garden (n.)
b	Bah-tor \ b_' - ' tor , b_ - \ -- garden (v.)
b	Bahsu -- gardener
b	Bai' (obs.) -- through, via, by means of
b	Bai-lak-pa (anc.) -- self-pity
b	Bak -- rib
b	Bal -- group, set (n.)
b	Bali|-| \ ' b_ - li \ -- thick
b	Bali-thonek -- caliper(s)
b	Balkra \ ' b_l - kr_ , ' b_lk - r_ \ (anc.) -- an aromatic casserole
b	Banut \ b_ - ' nu t \ -- speak of or about
b	Bar-got (anc.) -- herb
b	Bar-kas (anc.) -- spice
b	Bashan \ b_ - ' __n \ -- migration
b	Batai \ b_ - ' ta_ \ -- sturdy (adj.)
b	Bau-tor -- disregard, ignore
b	Be' -- adjacent to, beside, close to, near, next to, in proximity to (prep.)
b	Be'es -- nearness, proximity
b	Be'hai'la \ be - ' ha_ - l_ \ (NGS) -- guest (n.)
b	Be'ru'lutik -- adoral
b	Be-, Beik -- adjacent, close, near (adj.)
b	Be-wan-kur -- off-white (color)
b	Beglanau -- notice (v.)
b	Behsu -- neighbor
b	Beidzhorsu \ ' be_ - d_or - su \ -- Bajoran (person/language)
b	Bek -- wait (n.)
b	Bek-tor -- wait (v.)
b	Belaar \ be - ' l__r \ (NGS) -- Summer (season)
b	Belk (anc.) -- scout (n.)
b	Ben -- to us
b	Ben-gun \ ben - ' gun \ (anc.) -- therapy
b	Bes -- drawing
b	Bes-tor -- draw (v.)
b	Besan -- chart, map, plot (n.)
b	Besan-tanaf -- cartography
b	Besau -- chart, map, plot (v.)
b	Besayek -- plotter (device)
b	Besu \ ' be - su \ -- companion
b	Besu'es -- companionship
b	Betau -- approach, near (v.)
b	Bezhun \ be - ' _un \ -- eye, oculus
b	Bezhun-hassu -- ophtalmologist
b	Bezhun-isach -- eyelash
b	Bezhun-kal -- eyeball (n.)
b	Bezhun-masu -- tears (n., multiple drops)
b	Bezhun-masu-mev -- lacrimal duct, tear duct
b	Bezhun-ripa'shaya -- cataract (med.)
b	Bezhun-tal -- ophtalmology
b	Bezhun-thek -- tear (n., a single drop)
b	Bezhun-wadi -- cornea
b	Bezhun-wan -- sclera
b	Bezhun-zehl -- eyebrow
b	Bi' -- along (prep.)
b	Bif-, Bifik -- sure (adj.)
b	Bikuv \ bi - ' kuv \ -- picture
b	Bikuv-kitaun -- hieroglyphic (writing)
b	Bishau -- swarm, teem (v.)
b	Bladzh -- camp (n.)
b	Bladzh-yon -- campfire
b	Bling -- cymbal
b	Bohrau -- cure (v.)
b	Bol-, Bolik -- critical, vital
b	Bol-falek'es -- critical temperature
b	Bol-mog'es -- critical volume
b	Bol-shivak -- critical mass
b	Bol-sov-masu'es -- critical humidity
b	Bol-suk'es -- critical size
b	Bol-tav -- critical rate
b	Bol-threshan -- critical speed
b	Bol-toruk'es -- critical voltage
b	Bol-vakav'es -- critical frequency
b	Bol-vihish -- critical pressure
b	Bol-vulu -- critical angle
b	Bolau -- need (v.)
b	Bolaya -- need (n.)
b	Bolaya-, Bolayatik -- essential (adj.)
b	Bosh|-| -- full
b	Bosh-khaf-masu -- plasma (med.)
b	Boshak \ ' bo_ - _k \ -- filling (n.)
b	Boshau \ bo_ - ' a_ \ -- fill (v.)
b	Bov -- average (n.)
b	Bov-, Bovik -- average (adj.)
b	Bov-tor -- average (v.)
b	Brag -- crypt, tomb
b	Bral-tukh -- gallium
b	Brash'es -- fecundity
b	Breth-tukh -- praseodymium
b	Bru -- lip (n.)
b	Bru-yonshaya -- cheilitis
b	Bruhd -- caterpillar
b	Budda-dva -- Buddhism
b	Budda-dvasu -- Buddhist (n.)
b	Buhfik \ ' b_f - ik , ' b_f - \ -- perfect
b	Buhl'es -- enthusiasm
b	Buhl-, Buhlik -- enthusiastic
b	Buhn -- coin (n.)
b	Buk -- fate, destiny
b	Bulom-tukh -- molybdenum
b	Bureki \ bu - ' re - ki \ (anc.) -- a volcanic stone used for construction
b	Burun \ bu - ' run \ -- crisis
b	Burun-, Burunik -- critical (in a crisis)
b	Burun-palutun-flanapausu -- critical care specialist
b	Burun-palutun-hassu -- critical care doctor
b	Burun-palutun-shal -- critical care unit
b	Burun-palutun-shi'has -- critical care center
b	Burun-palutunik has-golsu -- critical care nurse
b	Busnem -- abortion (med.)
b	Busnem-tor -- abort (med.)
d	D'mallu \ d  - ' m_ - __u \ (NGS) -- large, carnivorous Vulcan plant
d	D'oh-tor -- confuse, perplex, puzzle
d	D'ohan \ ' d_ - _n \ -- confusion, perplexity, puzzlement
d	D'ohik \ ' d_ - ik \ -- confused, perplexed, puzzled (adj.)
d	Da -- pebble
d	Da'Nikhirch (NGS) -- Eye of Fire, Fire-Eye, ie. the Vulcan Sun
d	Da-fek \ ' d_ - fek \ -- axle
d	Da-kuv \ d_ - ' kuv \ -- circle (n.)
d	Da-kuv-falek'es -- convection
d	Da-kuvau -- circulate
d	Da-kuvau-katrom -- circulating current
d	Da-kuvau-spol -- circulating pump
d	Da-kuvau-torektra -- circulatory system
d	Da-kuvaya -- circulation
d	Da-kuvayek -- circulator
d	Da-nel -- cycle (n.)
d	Da-nel-, Da-nelik -- cyclic (adj.)
d	Da-rala-hali, Da-rala-hashek -- helicopter
d	Da-sfek -- axis
d	Da-sfek-lerakovayek -- axial compressor
d	Da-sfek-mishu -- axial engine
d	Da-sfek-tavat -- axial ratio
d	Da-sfek-vukharat -- axial vector
d	Da-sfek-yumaya -- axial flow
d	Da-skramek \ d_ - ' skr_m - ek \ -- lathe (n.)
d	Da-tor \ d_ - ' tor \ -- rotate, turn
d	Dafel \ ' d_f - el \ -- pelvis
d	Dafel-, Dafelik -- pelvic
d	Dah'es -- duality
d	Dah-glan -- double vision, diplopia
d	Dah-guv-, Dah-guvik -- bisexual (adj.)
d	Dah-halek -- bicycle (n.)
d	Dah-ketil -- double integral
d	Dah-kharat-, Dah-kharatik -- bidirectional (adj.)
d	Dah-kharat-katrom (DKhK) -- alternating current (AC)
d	Dah-kiht -- binary code
d	Dah-kulan -- double helix
d	Dah-lan-tol -- double floor
d	Dah-leh -- twenty
d	Dah-leh'rak, dah-lehr- -- twentieth (adj.)
d	Dah-leh'veh -- twentieth (n.)
d	Dah-mashek -- emulsifier
d	Dah-masu-tukh -- deuterium
d	Dah-mavaya -- duet (n.)
d	Dah-narafek -- diode
d	Dah-pim-folayek -- dilithium reactor
d	Dah-pim-tukh -- dilithium
d	Dah-pim-viskulan -- dilithium matrix
d	Dah-rala-, Dah-ralaik -- dipterous
d	Dah-ralash-vel -- diphthong
d	Dah-sashavaya -- double exposure
d	Dah-shivaya -- paraplegia
d	Dah-stonn-pi'sef |t'shahov| -- beach cusp
d	Dah-stonn-sef -- barchan
d	Dah-svep -- double door
d	Dah-svin -- double entry
d	Dah-temok -- double wall, double bulkhead
d	Dah-tukh -- curium
d	Dah-vla-, Dah-vlaik -- bilateral (adj.)
d	Dah-vukh -- double hull
d	Dah-wak -- twice
d	Dah-weizehl -- double series
d	Dah-wek-, Dah-wekik -- diphasic
d	Dah-yel -- binary star
d	Dah-zalu -- coenzyme
d	Dah-zamasu -- double agent
d	Dah-zan-vel -- binoculars
d	Dah-zun -- digraph
d	Dahal-tor \ d_ - ' h_l - tor \ -- go around (v.)
d	Dahek \ ' d_' - ek , ' d_ - \ -- duo
d	Dahkvalu \ d_' - ' kv_ - lu , d_ - \ -- parabola
d	Dahl-tor -- detach, disengage
d	Dahli -- apart
d	Dahli-nesh-tor -- dissect
d	Dahli-neshan -- dissection
d	Dahpul-vo'ihn -- quadratic equation
d	Dahr-, Dahrik -- second, secondary (adj.)
d	Dahs-da-kuv -- equator
d	Dahsau -- divide (v.)
d	Dahsau-nosahp -- quotient
d	Dahsaya -- divide, division (n.)
d	Dahshau -- separate (v.)
d	Dahshaya -- separation
d	Dahsu'us -- binomial (n., math.)
d	Dahtau -- double (v.)
d	Dailissak -- adventure (n.)
d	Dakh (anc.) -- cast out, evict, expel, toss out
d	Dakh-ha'tanaya -- luminescence
d	Dan -- rotation, turn(ing)
d	Dan-, Danik -- most (adj.)
d	Dan-fa-, Dan-faik -- foremost (adj.)
d	Dan-glu|-| -- deepest (adj.)
d	Dan-has-bosh -- sickest (adj.)
d	Dan-karik -- strongest (adj.)
d	Dan-klon|-| -- smartest (adj.)
d	Dan-kobat|-| -- weakest (adj.)
d	Dan-lerash|-| -- hardest (adj., least soft)
d	Dan-nu'ri|-| -- youngest (adj.)
d	Dan-nuk|-| -- lowest (adj.)
d	Dan-os|-| -- oldest (adj.)
d	Dan-pid|-| -- highest (adj.)
d	Dan-ras|-| -- heaviest (adj.)
d	Dan-rom|-| -- best (adj.)
d	Dan-runemek -- clutch (mech.)
d	Dan-sahr-, Dan-sahris -- fastest, quickest (adj.)
d	Dan-slu-, Dan-sluk -- freshest (adj.)
d	Dan-ta'hal|-| -- lightest (adj., least heavy)
d	Dan-thel-, Dan-thelik -- fattest (adj.)
d	Dan-vohr-, Dan-vohris -- slowest (adj.)
d	Dan-wonil|-| -- thinnest (adj.)
d	Danan \ ' d_n - _n \ -- majority
d	Danau \ d_n - ' a_ \ -- explain
d	Danau-dunap -- encyclopedia
d	Dap -- mercy
d	Dap-lan-pa -- children's game similar to Mercy or Uncle
d	Dash -- injury
d	Dash-tor -- injure
d	Datau \ d_ - ' ta_ \ -- propel
d	Datau-tukh -- propellant (n.)
d	Dataya -- propulsion
d	Datayek -- propeller
d	Dator \ ' d_ - tor \ -- prepare
d	Dau -- affect
d	Dau-bosh -- effective
d	Dau-tukh -- hormone
d	Dawan \ ' d_ - w_n \ (anc.) -- a person who cannot be counted on
d	Daya -- effect
d	Def -- batch (n.)
d	Deik -- file (document)
d	Del -- rim
d	Desh'rak \ ' de_ - r_k \ -- north
d	Desh'rak-, Desh'rakik -- northern
d	Desh'raksu -- northerner
d	Desh-she'rak -- northeast
d	Desh-tev'rak -- northwest
d	Desh-tukh -- dolomite
d	Deshkau \ de_ - ' ka_ \ -- question (v.)
d	Deshker \ de_ - ' ker \ -- question (n.)
d	Detra -- bunch
d	Di'kish-torek -- metabolism
d	Di'kish-tor -- metabolize
d	Di'kizh \ di - ' ki_ \ -- exchange (n.)
d	Dif-tor \ dif - ' tor \ -- live a long time, live a full life
d	Dihrf -- sexual intercourse
d	Din-tor -- miss (v.)
d	Dir-, Dirik -- coarse
d	Do -- than
d	Dohn -- board, plank, playing surface for a board game
d	Dok -- brick (n.)
d	Dok-krizhiv -- brick clay
d	Dok-torvausu -- bricklayer
d	Dol-hinek -- clavicle
d	Dom -- so (exclamation)
d	Don-ka \ don - ' k_ \ (anc.) -- rich, wealthy
d	Don-kut \ don - ' kut \ (anc.) -- bonanza, financial windfall
d	Don-tak \ ' don - t_k \ (anc.) -- riches, wealth
d	Donkes-tor -- finance, fund, bankroll (v.)
d	Donketu \ don - ' ket - u \ (anc.) -- funds, monetary resources
d	Donku \ ' don - ku \ (anc.) -- money, currency
d	Dor -- honor (n.)
d	Dor-tor -- honor (v.)
d	Dor-yehat -- honorable
d	Dorli \ ' dor - li \ -- honorable (mostly obs.)
d	Dotokau \ do - to - ' ka_ \ -- fine (v., penalize)
d	Dozhuhk -- troll
d	Drahk -- throat, pharynx
d	Drahk-pi'nafek -- thyroid gland
d	Dref -- rake
d	Drichel-, Drichelik -- creepy, eerie, spooky
d	Drizh -- itch (n.)
d	Drizh-tor -- itch (v.)
d	Drizhaya -- pruritis
d	Drom|-| -- pure (adj.)
d	Drom'es -- purity
d	Drom-tor -- purify
d	Du -- you
d	Dud -- a small piece of paper, film, etc.
d	Duf -- leather
d	Duh-, Duhik -- daffy, foolish, goofy
d	Duk -- bubble (n.)
d	Dukal \ du - ' k_l \ -- ball
d	Dukal-guf-lesek -- ball-and-socket joint
d	Dukal-igen-wesh -- ball lightning
d	Dukal-kuvish -- ball bearing
d	Dukal-spunek -- ball valve
d	Dukau \ du - ' ka_ \ -- bubble (v.)
d	Dulai|-| \ du - ' la_ \ -- tough (adj.)
d	Dun -- paper
d	Dun-zhuksu -- paper-maker
d	Dunap \ dun - ' _p \ -- book (n.)
d	Dunap-krus -- chapter
d	Dunap-tsorayek -- bookcase
d	Dunapshausu -- bookbinder
d	Dunapsu -- librarian
d	Dunesh \ ' dun - e_ \ -- pamphlet, brochure, leaflet
d	Dungi|-| \ dun - ' gi \ -- will, shall (v.)
d	Dunusu -- clerk (n.)
d	Duta'es -- diplomacy
d	Duta-, Dutarik -- diplomatic
d	Duta-shan-hali -- diplomatic courier vessel
d	Duta-Sklada-Dvin T'Khasi -- Vulcan Diplomatic Courier Service
d	Dutar \ du - ' t_r \ (anc.) -- diplomat
d	Duv -- shadow (n.), umbra
d	Duv-tor -- shadow (v.)
d	Duvyan-, Duvyanik -- shady (adj.)
d	Dva -- belief
d	Dva-tor -- believe
d	Dvanik -- believed (adj.)
d	Dvar -- risk (n.)
d	Dvar-tor -- risk (v.)
d	Dvariben -- preach (v.)
d	Dvasu \ ' dv_ - su \ -- believer
d	Dvatai \ dv_ - ' ta_ \ -- doctrine, principle, tenet
d	Dvel -- choice
d	"Dvel'nahr (anc.) -- old concept of ""Vulcan-by-choice"""
d	Dvel-tor -- choose
d	Dvesh-tukh -- brass
d	Dvin-tor -- serve
d	Dvinsu \ ' dvin - su \ -- servant
d	Dvolau \ dvo - ' la_ \ -- set, adjust
d	Dvor-tukh -- astatine
d	Dvubolau \ dvu - bo - ' la_ \ -- motivate
d	Dvubolau-staribsu -- motivational speaker
d	Dvubolaya -- motivation
d	Dvubolek \ dvu - ' bo - lek \ -- motive (n.)
d	Dvudau-fek -- crankshaft
d	Dvudau-kes-wun -- crossbow
d	Dvudau-natuhn -- crankcase
d	Dvudayek -- crank (mech.)
d	Dvun -- move(ment)
d	Dvun-mesut -- drawbridge
d	Dvun-tor -- move (v.)
d	Dvun-zehl -- fault(line) (geol.)
d	Dvunek \ ' dvun - ek \ -- muscle (n.)
d	Dvunek-pak-nosh -- amyotrophia, amyotrophy
d	Dvunek-tash-svitan -- cerebellum
d	Dvunek-tersayek -- sinew
d	Dvunel \ dvun - ' el \ -- motion
d	Dvunel-pi'harr -- flagellum
d	Dwemish ni-an (NGS) -- training: isolation of identity
d	Dzhal -- mortise
d	Dzhan|-khush| -- beryl
d	Dzhan-tukh \ ' d__n - tux \ -- beryllium
d	"Dzharel \ d__ - ' rel \ (NGS) -- ""jarel"", a small, horned horse-like animal"
d	"Dzhasif \ d__ - ' sif \ (NGS) -- ""jasif"", type of crystal used to make vre-katras"
d	Dzhelu \ d_e - ' lu \ -- envy (n.)
d	Dzhih -- pimple (n.)
d	Dzhinau \ d_i - ' na_ \ -- refer
d	Dzhinaya -- reference
d	"Dzhya'an'Kahr \ d_j_ - ' _n - k_'r , - k_r , - k_r \ -- ""Jia'anKahr"", a Vulcan city"
d	Dzhya'an-tukh \ d_j_ - ' _n - tux \ -- hafnium
e	Eglus (anc.) -- religious shrine
e	Eh \ e, _ \ -- and (after a vowel sound)
e	Eifa \ ' e_ - f_ \ -- those
e	Eik -- wide
e	Eik'es \ ' e_k - es \ -- range (n.)
e	Eik-vath -- width
e	Eiksha \ e_k - ' __ \ -- dilate
e	Eiksharu -- dilation
e	Eiktra \ ' e_k - tr_ \ -- plain (geol.)
e	Ein -- some
e	Ein-veh -- someone
e	Ein-wak -- someday, sometime
e	Ein-wilat -- somewhere
